identifier,line_no,utility,community,amount,purchased_from,powerhouse_consumption_kwh,peak_consumption_kw,residential_sold_to,commercial_sold_to,com_facil_sold_to,govt_facil_sold_to,unbilled_sold_to,most_recent_fuel_purch_price,fuel_used_gallons,non_fuel_expenses,fuel_cost,total_kwh_purchased,residential_customers,commercial_customers,com_facil_customers,govt_facil_customers,unbilled_customers,other_customers,other_customers_description,diesel_kwh_generated,hydro_kwh_generated,other_1_kwh_type,other_1_kwh_generated,other_2_kwh_type,other_2_kwh_generated,umr_month,fiscal_year,calendar_year
A3325200626225003,0,RAMPART VILLAGE COUNCIL,Rampart,7202.38,NA,1388,90,22507,18025,6502,3411,0,6.0387,4476,9113.33,27029.22,0,40,5,4,6,2,0,NA,57937,0,WIND,0,NA,0,December,2026,2025
A3325200726225003,0,RAMPART VILLAGE COUNCIL,Rampart,7361.29,NA,1146,75,21398,17888,5929,4408,0,6.0387,745,11955.65,4498.83,0,40,6,4,6,2,0,NA,55184,0,WIND,0,NA,0,January,2026,2026
A3324200726225003,0,NUNAM IQUA ELECTRIC COMPANY,Nunam Iqua,12239.7,NA,1776,244,31708,41992,24699,3133,328,4.5411,8765,9405.14,39802.74,0,49,14,4,5,2,0,NA,110343,0,WIND,0,NA,0,January,2026,2026
A3318800726225003,0,CHIGNIK LAKE ELECTRIC UTILITY,Chignik Lake,6790,0,963,60,10362,3723,3668,9120,0,4.2026,2924,3000,12288.4,0,44,3,9,1,1,0,NA,30884,0,WIND,0,NA,0,January,2026,2026
A3318800826225003,0,CHIGNIK LAKE ELECTRIC UTILITY,Chignik Lake,6790,NA,963,60,10362,3725,3668,9120,0,4.7519,2924,3000,13894.56,0,44,3,9,1,1,0,NA,30884,0,WIND,0,NA,0,February,2026,2026
A3310050826225003,0,TDX ADAK GENERATING LLC,Adak,9993.56,NA,18153,207,10238,18528,15551,35682,0,5.53,8701,0,48116.53,0,68,53,13,11,0,0,NA,112810,0,WIND,0,NA,0,February,2026,2026
A3324200826225003,0,NUNAM IQUA ELECTRIC COMPANY,Nunam Iqua,10702.22,NA,1696,222,23068,34042,17218,2585,326,4.5411,6699,10027.86,30420.83,0,47,14,4,5,2,0,NA,82728,0,WIND,0,NA,0,February,2026,2026
A3325200826225003,0,RAMPART VILLAGE COUNCIL,Rampart,6940.18,NA,1458,99,18688,12777,9346,3071,0,6.0387,1599,7661.56,9655.88,0,40,6,4,6,2,0,NA,49436,0,WIND,0,NA,0,February,2026,2026
A3322000826225003,0,TDX MANLEY GENERATING LLC,Manley Hot Springs,17680.85,NA,4034,152,19084,19636,6872,11504,0,4.23,5619,0,23768.37,0,80,19,11,4,0,0,NA,71656,0,WIND,0,Solar,120,February,2026,2026
A3322000926225003,0,TDX MANLEY GENERATING LLC,Manley Hot Springs,16227.8,NA,3846,103,16357,18290,6767,12017,0,4.23,4702,0,19889.46,0,80,20,11,4,0,0,NA,62122,0,WIND,0,Solar,5760,March,2026,2026
A3319100926225003,0,CLARKS POINT VILLAGE COUNCIL,Clark's Point,10310.04,0,2631,80,10836,10439,5518,1893,0,4.1788,0,3000,0,0,51,9,6,4,2,0,NA,53805,0,WIND,0,NA,0,March,2026,2026
A3320100926225003,0,ALASKA POWER & TELEPHONE,Gustavus,38907.64,Gustavus Inc.,10712,701,145756,38200,5561,117514,0,4.5999,9428,0,43367.86,211860,509,102,7,21,0,0,NA,136440,0,WIND,0,NA,0,March,2026,2026
A3325200926225003,0,RAMPART VILLAGE COUNCIL,Rampart,6833.22,NA,1492,69,18774,32739,7537,4111,0,6.0387,3441,10103.23,20779.17,0,40,6,4,6,2,0,NA,47177,0,WIND,0,NA,0,March,2026,2026
A3325000926225003,0,PORT HEIDEN UTILITIES,Port Heiden,9064.11,0,0,0,20642,6258,2169,9939,0,4.9847,0,3000,0,0,50,21,6,11,0,0,NA,0,0,WIND,0,NA,0,March,2026,2026
A3324200926225003,0,NUNAM IQUA ELECTRIC COMPANY,Nunam Iqua,11875.72,NA,1706,230,28598,41311,17372,2929,329,4.5411,7233,13970.52,32845.78,0,47,14,4,5,2,0,NA,92166,0,WIND,0,NA,0,March,2026,2026
A3324800926225003,0,PILOT POINT ELECTRIC UTILITY,Pilot Point,4998.46,n/a,2599,105,9580,15351,4082,4131,0,5.2,3935,3152.47,20462,0,23,16,9,4,0,0,NA,44930,0,WIND,0,NA,0,March,2026,2026
A3323500926225003,0,NORTH SLOPE BOROUGH,Anaktuvuk Pass,1054.98,NA,23773,799,99891,257500,1114,3117,0,6.1891,35163,97873.92,217627.32,0,107,57,2,3,1,0,NA,504598,0,WIND,0,NA,0,March,2026,2026
A3323600926225003,0,NORTH SLOPE BOROUGH,Atqasuk,1296.31,NA,29172,615,69582,218804,7878,2712,0,5.1557,26627,104212.27,137280.82,0,68,52,2,2,1,0,NA,362489,0,WIND,0,NA,0,March,2026,2026
A3323700926225003,0,NORTH SLOPE BOROUGH,Kaktovik,970.1,NA,21451,997,92552,252481,2873,65099,0,4.1569,41108,103245.72,170881.85,0,75,46,2,5,1,0,NA,584656,0,WIND,0,NA,0,March,2026,2026
A3323800926225003,0,NORTH SLOPE BOROUGH,Nuiqsut,471.28,NA,23693,3802,98081,514814,6904,4385,0,6.5154,18632,93599.76,121394.93,0,121,71,3,3,1,0,NA,257150,0,WIND,0,NaturalGas,583626,March,2026,2026
A3323900926225003,0,NORTH SLOPE BOROUGH,Point Hope,2242.42,NA,25444,1152,250256,347391,544,3984,0,3.8227,52823,130024.6,201926.48,0,209,75,1,4,1,0,NA,684240,0,WIND,0,NA,0,March,2026,2026
A3324000926225003,0,NORTH SLOPE BOROUGH,Point Lay,369.18,NA,2441,590,40407,212573,1751,5033,0,5.742,29952,79799.58,171984.38,0,64,46,1,2,1,0,NA,368878,0,WIND,0,NA,0,March,2026,2026
A3324100926225003,0,NORTH SLOPE BOROUGH,Wainwright,2731.43,NA,34553,1173,157280,443737,12942,5586,0,4.1003,52817,114804.41,216565.55,0,152,69,3,4,1,0,NA,725200,0,WIND,0,NA,0,March,2026,2026
A3310050926225003,0,TDX ADAK GENERATING LLC,Adak,9397.51,NA,15048,180,9120,16131,14023,28625,0,5.53,8405,0,46479.65,0,68,53,13,11,0,0,NA,99780,0,WIND,0,NA,0,March,2026,2026
