identifier,line_no,utility,community,amount,purchased_from,powerhouse_consumption_kwh,peak_consumption_kw,residential_sold_to,commercial_sold_to,com_facil_sold_to,govt_facil_sold_to,unbilled_sold_to,most_recent_fuel_purch_price,fuel_used_gallons,non_fuel_expenses,fuel_cost,total_kwh_purchased,residential_customers,commercial_customers,com_facil_customers,govt_facil_customers,unbilled_customers,other_customers,other_customers_description,diesel_kwh_generated,hydro_kwh_generated,other_1_kwh_type,other_1_kwh_generated,other_2_kwh_type,other_2_kwh_generated,umr_month,fiscal_year,calendar_year
A3322100826225003,0,MANOKOTAK POWER COMPANY,Manokotak,17027.59,0,0,0,52453,11149,4705,5918,0,3.7225,0,0,0,0,129,28,5,5,5,0,NA,0,0,WIND,0,NA,0,February,2026,2026
A3322100926225003,0,MANOKOTAK POWER COMPANY,Manokotak,19603.32,0,0,0,52656,17271,9333,22380,0,3.7225,0,0,0,0,129,28,5,5,5,0,NA,0,0,WIND,0,NA,0,March,2026,2026
A3324500926225003,0,PEDRO BAY VILLAGE COUNCIL,Pedro Bay,3662.66,n/a,1346,59,8996,8594,3713,1835,0,5.7317,2250,3108.44,12896.33,0,18,16,4,1,0,0,NA,25593,0,WIND,0,NA,0,March,2026,2026
A3328900926225003,0,CITY OF WHITE MOUNTAIN,White Mountain,15459.21,NA,3257,182,33491,26437,14088,2215,0,3.4456,7564,160342.95,26062.52,0,72,26,8,4,0,0,NA,92574,0,WIND,0,NA,0,March,2026,2026
A3329001026225003,0,ALASKA VILLAGE ELECTRIC COOP,Yakutat,39532.59,NA,0,0,125589,321128,38178,77091,0,0,0,0,0,0,324,114,26,32,0,0,NA,0,0,NA,0,NA,0,April,2026,2026
A3327301026225003,0,ALASKA VILLAGE ELECTRIC COOP,Twin Hills,4091.1,NA,0,0,11565,2323,5323,7954,0,0,0,0,0,0,32,7,4,2,0,0,NA,0,0,NA,0,NA,0,April,2026,2026
A3328901026225003,0,CITY OF WHITE MOUNTAIN,White Mountain,12004.49,NA,3264,213,26744,29372,8967,1589,0,3.4456,6541,10815.45,22537.67,0,72,26,8,4,0,0,NA,74675,0,WIND,0,NA,0,April,2026,2026
A3324501026225003,0,PEDRO BAY VILLAGE COUNCIL,Pedro Bay,3491.74,n/a,1468,51,6833,7485,2436,1198,0,5.865,1965,6336.81,11524.73,0,20,15,4,1,0,0,NA,20983,0,WIND,0,NA,0,April,2026,2026
A3324201026225003,0,NUNAM IQUA ELECTRIC COMPANY,Nunam Iqua,11740.8,NA,2185,197,27455,37173,17092,6596,260,4.5411,8410,8733.82,38190.65,0,48,14,6,5,2,0,NA,101151,0,WIND,0,NA,0,April,2026,2026
A3322101026225003,0,MANOKOTAK POWER COMPANY,Manokotak,19502.93,NA,0,0,52411,13256,7985,22547,0,3.7225,0,0,0,0,129,28,5,5,5,0,NA,0,0,WIND,0,NA,0,April,2026,2026
A3325101026225003,0,PUVURNAQ POWER COMPANY,Kongiganak,23986.88,0,3928,207,54828,24585,7988,560,2496,4.701,6642,26394.28,31224.04,0,165,14,5,2,10,0,NA,80060,0,WIND,34531,NA,0,April,2026,2026
A3325601026225003,0,ST. PAUL MUNICIPAL ELECTRIC,St. Paul,29530.48,0,8456,415,51769,85803,26211,61121,0,6.55,29608,32350,193932.4,0,122,58,30,17,0,0,NA,280320,0,WIND,0,NA,0,April,2026,2026
A3321201026225003,0,ALASKA VILLAGE ELECTRIC COOP,Kotlik,13663.54,NA,0,0,68809,32159,21936,50941,0,0,0,0,0,0,124,18,7,18,0,0,NA,0,0,NA,0,NA,0,April,2026,2026
A3323501026225003,0,NORTH SLOPE BOROUGH,Anaktuvuk Pass,1245.1,NA,23904,749,93259,284782,4066,2597,0,6.1891,30962,113109.66,191626.91,0,106,57,2,3,1,0,NA,436712,0,WIND,0,NA,0,April,2026,2026
A3323601026225003,0,NORTH SLOPE BOROUGH,Atqasuk,599.36,NA,27325,506,66048,248097,2293,2120,0,5.1557,23778,121033.25,122592.23,0,68,52,2,2,1,0,NA,348675,0,WIND,0,NA,0,April,2026,2026
A3323701026225003,0,NORTH SLOPE BOROUGH,Kaktovik,669.63,NA,20047,800,65636,237603,1014,60115,0,4.1569,32936,111209.71,136911.66,0,75,48,2,5,1,0,NA,475280,0,WIND,0,NA,0,April,2026,2026
A3323801026225003,0,NORTH SLOPE BOROUGH,Nuiqsut,638.86,NA,23892,1202,78422,529341,8646,3380,0,6.5154,9359,104566.06,60977.63,0,121,72,3,3,1,0,NA,136020,0,WIND,0,NaturalGas,584140,April,2026,2026
A3323901026225003,0,NORTH SLOPE BOROUGH,Point Hope,2059.23,NA,25984,1051,196694,348086,0,3302,0,3.8227,45367,141813.2,173424.43,0,209,75,1,4,1,0,NA,584674,0,WIND,0,NA,0,April,2026,2026
A3324001026225003,0,NORTH SLOPE BOROUGH,Point Lay,276.45,NA,2629,606,33481,174123,1854,3890,0,5.742,28592,128889.9,164175.26,0,64,46,1,2,1,0,NA,352198,0,WIND,0,NA,0,April,2026,2026
A3324101026225003,0,NORTH SLOPE BOROUGH,Wainwright,1930.74,NA,28227,1077,135782,410255,6520,5556,0,4.1003,47199,135190.22,193530.06,0,152,69,3,4,1,0,NA,637940,0,WIND,0,NA,0,April,2026,2026
A3312401026225003,0,ALASKA VILLAGE ELECTRIC COOP,Alakanuk,39706.4,NA,0,0,69320,26631,35198,55047,0,0,0,0,0,0,157,18,9,15,0,0,NA,0,0,NA,0,NA,0,April,2026,2026
