identifier,line_no,actual_rate,pro_rata_rate,check,residential_rate,pce_eligible_residential_kwh,pce_eligible_com_facil_kwh,pce_eligible_community_kwh,pce_eligible_kwh_total,rate_id
A3312400426225003,10000,0.4236,0.4236,1,0.7055,66002,0,4806,70808,1
A3312400426225003,20000,0.3532,0.3532,1,0.7055,0,0,20970,20970,2
A3312400426225003,30000,0,0,0,0,0,0,0,0,A
A3312500426225003,10000,0.7383,0.7383,1,0.8507,39973,0,6080,46053,1
A3312500426225003,20000,0.6696,0.6696,1,0.8507,0,0,12312,12312,2
A3312600426225003,10000,0.5174,0.5174,1,0.789,8058,0,3538,11596,1
A3312600426225003,20000,0.437,0.437,1,0.789,0,0,219,219,2
A3312600426225003,30000,0,0,0,0,0,0,0,0,A
A3318000426225003,10000,0.2743,0.2743,1,0.5059,769620,0,37627,807247,1
A3318000426225003,20000,0.2476,0.2476,1,0.5059,0,0,267252,267252,2
A3318000426225003,30000,0,0,0,0,0,0,0,0,A
A3318000426225003,40000,0,0,0,0,0,0,0,0,A
A3312700426225003,10000,0.4501,0.4501,1,0.7582,45063,0,760,45823,1
A3312700426225003,20000,0.3662,0.3662,1,0.7582,0,0,0,0,2
A3312700426225003,30000,0,0,0,0,0,0,0,0,R
A3312800426225003,10000,0.3205,0.3205,1,0.6344,82689,0,4341,87030,1
A3312800426225003,20000,0.2718,0.2718,1,0.6344,0,0,20748,20748,2
A3312900426225003,10000,0.4116,0.4116,1,0.7129,44803,0,1764,46567,1
A3312900426225003,20000,0.3257,0.3257,1,0.7129,0,0,1469,1469,2
A3319500426225003,10000,0.5143,0.5143,1,0.7763,16240,0,1459,17699,1
A3319500426225003,20000,0.4338,0.4338,1,0.7763,0,0,0,0,2
A3313000426225003,10000,0.3843,0.3843,1,0.8077,39519,0,4263,43782,1
A3313000426225003,20000,0.2969,0.2969,1,0.8077,0,0,2529,2529,2
A3313100426225003,10000,0.4236,0.4236,1,0.7055,80750,0,6750,87500,1
A3313100426225003,20000,0.3532,0.3532,1,0.7055,0,0,38103,38103,2
A3313200426225003,10000,0.4799,0.4799,1,0.7837,77814,0,7270,85084,1
A3313200426225003,20000,0.3976,0.3976,1,0.7837,0,0,15238,15238,2
A3313300426225003,10000,0.4559,0.4559,1,0.7207,31701,0,3166,34867,1
A3313300426225003,20000,0.3723,0.3723,1,0.7207,0,0,758,758,2
A3313400426225003,10000,0.4552,0.4552,1,0.7082,24243,0,4670,28913,1
A3313400426225003,20000,0.3716,0.3716,1,0.7082,0,0,3289,3289,2
A3313400426225003,30000,0,0,0,0,0,0,0,0,A
A3313500426225003,10000,0.3985,0.3985,1,0.6579,24773,0,7152,31925,1
A3313500426225003,20000,0.3119,0.3119,1,0.6579,0,0,4303,4303,2
A3313600426225003,10000,0.4798,0.4798,1,0.7213,100012,0,7516,107528,1
A3313600426225003,20000,0.402,0.402,1,0.7213,0,0,52503,52503,2
A3313700426225003,10000,0.4285,0.4285,1,0.6704,50922,0,3985,54907,1
A3313700426225003,20000,0.3434,0.3434,1,0.6704,0,0,8317,8317,2
A3313800426225003,10000,0.4315,0.4315,1,0.6913,25617,0,4201,29818,1
A3313800426225003,20000,0.3466,0.3466,1,0.6913,0,0,4753,4753,2
A3313900426225003,10000,0.4919,0.4919,1,0.749,58751,0,4317,63068,1
A3313900426225003,20000,0.4222,0.4222,1,0.749,0,0,12220,12220,2
A3314000426225003,10000,0.4471,0.4471,1,0.7402,54592,0,7342,61934,1
A3314000426225003,20000,0.363,0.363,1,0.7402,0,0,15728,15728,2
A3314100426225003,10000,0.4758,0.4758,1,0.7662,44754,0,4673,49427,1
A3314100426225003,20000,0.3932,0.3932,1,0.7662,0,0,6974,6974,2
A3314100426225003,30000,0,0,0,0,0,0,0,0,A
A3320900426225003,10000,0.5768,0.5768,1,1.08,14768,0,1239,16007,1
A3320900426225003,20000,0.4996,0.4996,1,1.08,0,0,7957,7957,2
A3320900426225003,30000,0,0,0,0,0,0,0,0,A
A3321200426225003,10000,0.432,0.432,1,0.7163,60270,0,3731,64001,1
A3321200426225003,20000,0.3471,0.3471,1,0.7163,0,0,10396,10396,2
A3314200426225003,10000,0.4285,0.4285,1,0.7088,40786,0,3508,44294,1
A3314200426225003,20000,0.3435,0.3435,1,0.7088,0,0,744,744,2
A3314300426225003,10000,0.4001,0.4001,1,0.7843,30491,0,3395,33886,1
A3314300426225003,20000,0.3136,0.3136,1,0.7843,0,0,2957,2957,2
A3314400426225003,10000,0.3837,0.3837,1,0.6264,48880,0,8437,57317,1
A3314400426225003,20000,0.2963,0.2963,1,0.6264,0,0,9249,9249,2
A3314500426225003,10000,0.3983,0.3983,1,0.6452,24844,0,4271,29115,1
A3314500426225003,20000,0.3239,0.3239,1,0.6452,0,0,4411,4411,2
A3314600426225003,10000,0.4166,0.4166,1,0.6452,28241,0,2331,30572,1
A3314600426225003,20000,0.3309,0.3309,1,0.6452,0,0,9149,9149,2
A3314700426225003,10000,0.339,0.339,1,0.6451,58494,0,7186,65680,1
A3314700426225003,20000,0.3178,0.3178,1,0.6451,0,0,13660,13660,2
A3314800426225003,10000,0.5143,0.5143,1,0.7763,49170,0,3525,52695,1
A3314800426225003,20000,0.4338,0.4338,1,0.7763,0,0,3929,3929,2
A3314900426225003,10000,0.3831,0.3831,1,0.645,25141,0,3083,28224,1
A3314900426225003,20000,0.3084,0.3084,1,0.645,0,0,2602,2602,2
A3314900426225003,30000,0,0,0,0,0,0,0,0,A
A3315000426225003,10000,0.7608,0.7608,1,1.0582,61192,0,6506,67698,1
A3315000426225003,20000,0.7608,0.7608,1,1.0582,0,0,15001,15001,2
A3315000426225003,30000,0,0,0,0,0,0,0,0,A
A3315100426225003,10000,0.4883,0.4883,1,0.7736,70742,0,6041,76783,1
A3315100426225003,20000,0.4064,0.4064,1,0.7736,0,0,27119,27119,2
A3315200426225003,10000,0.355,0.355,1,0.6589,36553,0,6028,42581,1
A3315200426225003,20000,0.2661,0.2661,1,0.6589,0,0,9372,9372,2
A3315200426225003,30000,0,0,0,0,0,0,0,0,R
A3315300426225003,10000,0.4919,0.4919,1,0.749,54036,0,5279,59315,1
A3315300426225003,20000,0.4222,0.4222,1,0.749,0,0,8773,8773,2
A3315300426225003,30000,0,0,0,0,0,0,0,0,A
A3315400426225003,10000,0.3193,0.3193,1,0.5998,26146,0,4165,30311,1
A3315400426225003,20000,0.2285,0.2285,1,0.5998,0,0,7401,7401,2
A3315500426225003,10000,0.4201,0.4201,1,0.6721,54768,0,6258,61026,1
A3315500426225003,20000,0.3346,0.3346,1,0.6721,0,0,13655,13655,2
A3315600426225003,10000,0.339,0.339,1,0.6451,9744,0,3624,13368,1
A3315600426225003,20000,0.3178,0.3178,1,0.6451,0,0,4146,4146,2
A3315700426225003,10000,0.3528,0.3528,1,0.6347,86871,0,9413,96284,1
A3315700426225003,20000,0.3059,0.3059,1,0.6347,0,0,12962,12962,2
A3315800426225003,10000,0.401,0.401,1,0.6531,36439,0,2994,39433,1
A3315800426225003,20000,0.3145,0.3145,1,0.6531,0,0,2641,2641,2
A3315900426225003,10000,0.4545,0.4545,1,0.7635,74506,0,4590,79096,1
A3315900426225003,20000,0.3708,0.3708,1,0.7635,0,0,16192,16192,2
A3316000426225003,10000,0.4605,0.4605,1,0.7179,59381,0,4551,63932,1
A3316000426225003,20000,0.3771,0.3771,1,0.7179,0,0,9324,9324,2
A3316100426225003,10000,0.4735,0.4735,1,0.7131,83495,0,6161,89656,1
A3316100426225003,20000,0.3908,0.3908,1,0.7131,0,0,30541,30541,2
A3316200426225003,10000,0.4116,0.4116,1,0.6573,15248,0,3286,18534,1
A3316200426225003,20000,0.3257,0.3257,1,0.6573,0,0,2794,2794,2
A3316300426225003,10000,0.4323,0.4323,1,0.6641,34201,0,1009,35210,1
A3316300426225003,20000,0.3809,0.3809,1,0.6641,0,0,0,0,2
A3316400426225003,10000,0.5238,0.5238,1,0.7781,62173,0,4904,67077,1
A3316400426225003,20000,0.4438,0.4438,1,0.7781,0,0,2320,2320,2
A3316500426225003,10000,0.5768,0.5768,1,1.08,29347,0,3750,33097,1
A3316500426225003,20000,0.4996,0.4996,1,1.08,0,0,9622,9622,2
A3316500426225003,30000,0,0,0,0,0,0,0,0,A
A3316600426225003,10000,0.339,0.339,1,0.6451,69410,0,7898,77308,1
A3316600426225003,20000,0.6356,0.6356,1,0.6451,0,0,24360,24360,2
A3316600426225003,30000,0,0,0,0,0,0,0,0,A
A3316700426225003,10000,0.3011,0.3011,1,0.5299,41881,0,6919,48800,1
A3316700426225003,20000,0.2708,0.2708,1,0.5299,0,0,23531,23531,2
A3316800426225003,10000,0.3011,0.3011,1,0.5299,60622,0,4064,64686,1
A3316800426225003,20000,0.2708,0.2708,1,0.5299,0,0,4056,4056,2
A3316850426225003,10000,0.4539,0.4539,1,0.7431,23087,0,3187,26274,1
A3316850426225003,20000,0.3702,0.3702,1,0.7431,0,0,194,194,2
A3316900426225003,10000,0.4533,0.4533,1,0.7145,84742,0,10873,95615,1
A3316900426225003,20000,0.3696,0.3696,1,0.7145,0,0,10405,10405,2
A3317000426225003,10000,0.3831,0.3831,1,0.645,68522,0,7133,75655,1
A3317000426225003,20000,0.3084,0.3084,1,0.645,0,0,20000,20000,2
A3317100426225003,10000,0.3831,0.3831,1,0.645,37541,0,1646,39187,1
A3317100426225003,20000,0.3084,0.3084,1,0.645,0,0,459,459,2
A3327300426225003,10000,0.4533,0.4533,1,0.7145,11144,0,2366,13510,1
A3327300426225003,20000,0.3696,0.3696,1,0.7145,0,0,1847,1847,2
A3317200426225003,10000,0.4001,0.4001,1,0.7843,22149,0,3349,25498,1
A3317200426225003,20000,0.3136,0.3136,1,0.7843,0,0,1956,1956,2
A3317200426225003,30000,0,0,0,0,0,0,0,0,A
A3317300426225003,10000,0.5093,0.5093,1,0.7834,12288,0,1904,14192,1
A3317300426225003,20000,0.4285,0.4285,1,0.7834,0,0,1653,1653,2
A3329000426225003,10000,0.3175,0.3175,1,0.5869,111328,0,12930,124258,1
A3329000426225003,20000,0.2428,0.2428,1,0.5869,0,0,21498,21498,2
A3312500526225003,10000,0.7383,0.7383,1,0.8507,42119,0,5999,48118,1
A3312500526225003,20000,0.6696,0.6696,1,0.8507,0,0,10885,10885,2
A3312500526225003,30000,0,0,0,0,0,0,0,0,A
A3312600526225003,10000,0.5174,0.5174,1,0.789,9675,0,3274,12949,1
A3312600526225003,20000,0.437,0.437,1,0.789,0,0,22836,22836,2
A3312600526225003,30000,0,0,0,0,0,0,0,0,A
A3318000526225003,10000,0.2743,0.2743,1,0.5059,832810,0,38969,871779,1
A3318000526225003,20000,0.2476,0.2476,1,0.5059,0,0,303579,303579,2
A3318000526225003,30000,0,0,0,0,0,0,0,0,A
A3312700526225003,10000,0.4501,0.4501,1,0.7582,45629,0,762,46391,1
A3312700526225003,20000,0.3662,0.3662,1,0.7582,0,0,0,0,2
A3312700526225003,30000,0,0,0,0,0,0,0,0,A
A3312800526225003,10000,0.3205,0.3205,1,0.6344,92238,0,4632,96870,1
A3312800526225003,20000,0.2718,0.2718,1,0.6344,0,0,27317,27317,2
A3312800526225003,30000,0,0,0,0,0,0,0,0,A
A3312900526225003,10000,0.4116,0.4116,1,0.7129,48107,0,1887,49994,1
A3312900526225003,20000,0.3257,0.3257,1,0.7129,0,0,2118,2118,2
A3312900526225003,30000,0,0,0,0,0,0,0,0,A
A3313000526225003,10000,0.3843,0.3843,1,0.8077,42228,0,4283,46511,1
A3313000526225003,20000,0.2969,0.2969,1,0.8077,0,0,5439,5439,2
A3313000526225003,30000,0,0,0,0,0,0,0,0,A
A3313000526225003,40000,0,0,0,0,0,0,0,0,A
A3313100526225003,10000,0.4236,0.4236,1,0.7055,100551,0,6717,107268,1
A3313100526225003,20000,0.3532,0.3532,1,0.7055,0,0,53414,53414,2
A3313100526225003,30000,0,0,0,0,0,0,0,0,A
A3313200526225003,10000,0.4799,0.4799,1,0.7837,80931,0,7191,88122,1
A3313200526225003,20000,0.3976,0.3976,1,0.7837,0,0,17294,17294,2
A3313200526225003,30000,0,0,0,0,0,0,0,0,A
A3313300526225003,10000,0.4559,0.4559,1,0.7207,34214,0,3342,37556,1
A3313300526225003,20000,0.3723,0.3723,1,0.7207,0,0,1218,1218,2
A3313300526225003,30000,0,0,0,0,0,0,0,0,A
A3313400526225003,10000,0.4552,0.4552,1,0.7082,23328,0,4653,27981,1
A3313400526225003,20000,0.3716,0.3716,1,0.7082,0,0,5650,5650,2
A3313400526225003,30000,0,0,0,0,0,0,0,0,A
A3313500526225003,10000,0.3985,0.3985,1,0.6579,25374,0,5653,31027,1
A3313500526225003,20000,0.3119,0.3119,1,0.6579,0,0,4186,4186,2
A3313600526225003,10000,0.4798,0.4798,1,0.7213,113479,0,7538,121017,1
A3313600526225003,20000,0.402,0.402,1,0.7213,0,0,59313,59313,2
A3313600526225003,30000,0,0,0,0,0,0,0,0,A
A3313700526225003,10000,0.4285,0.4285,1,0.6704,49606,0,4071,53677,1
A3313700526225003,20000,0.3434,0.3434,1,0.6704,0,0,8640,8640,2
A3313800526225003,10000,0.4315,0.4315,1,0.6913,24571,0,4535,29106,1
A3313800526225003,20000,0.3466,0.3466,1,0.6913,0,0,5125,5125,2
A3313900526225003,10000,0.4919,0.4919,1,0.749,60839,0,4590,65429,1
A3313900526225003,20000,0.4222,0.4222,1,0.749,0,0,15721,15721,2
A3313900526225003,30000,0,0,0,0,0,0,0,0,A
A3314000526225003,10000,0.4471,0.4471,1,0.7402,58020,0,7330,65350,1
