identifier,line_no,utility,community,amount,purchased_from,powerhouse_consumption_kwh,peak_consumption_kw,residential_sold_to,commercial_sold_to,com_facil_sold_to,govt_facil_sold_to,unbilled_sold_to,most_recent_fuel_purch_price,fuel_used_gallons,non_fuel_expenses,fuel_cost,total_kwh_purchased,residential_customers,commercial_customers,com_facil_customers,govt_facil_customers,unbilled_customers,other_customers,other_customers_description,diesel_kwh_generated,hydro_kwh_generated,other_1_kwh_type,other_1_kwh_generated,other_2_kwh_type,other_2_kwh_generated,umr_month,fiscal_year,calendar_year
A3320700126225003,0,CITY OF KING COVE,King Cove,0,0,8118,212,62912,102872,65380,1990,0,0,386,0,0,0,156,121,37,5,0,0,NA,5030,251497,WIND,0,NA,0,July,2026,2025
A3320700226225003,0,CITY OF KING COVE,King Cove,0,0,7775,202,57485,82013,76280,1906,0,0,1164,1317.1,0,0,156,121,37,5,0,0,NA,14570,239405,WIND,0,NA,0,August,2026,2025
A3320700326225003,0,CITY OF KING COVE,King Cove,0,0,7573,250,68855,100370,66751,2466,0,0,82,15360.57,0,0,155,121,37,5,0,0,NA,1020,250000,WIND,0,NA,0,September,2026,2025
A3320700426225003,0,CITY OF KING COVE,King Cove,0,0,8149,191,67449,99049,81120,2230,0,0,5010,1377.5,0,0,154,121,37,5,0,0,NA,64870,206665,WIND,0,NA,0,October,2026,2025
A3320900426225003,0,ALASKA VILLAGE ELECTRIC COOP,Kobuk,13208.11,NA,0,0,15261,7437,15008,10459,0,0,0,0,0,0,32,13,2,5,0,0,NA,0,0,NA,0,NA,0,October,2026,2025
A3321200426225003,0,ALASKA VILLAGE ELECTRIC COOP,Kotlik,31256.88,NA,3360,329,57075,17372,23513,44574,0,0,12960,0,53804.5,0,122,21,8,18,0,0,NA,153352,0,NA,0,NA,0,October,2026,2025
A3327300426225003,0,ALASKA VILLAGE ELECTRIC COOP,Twin Hills,6806.73,NA,0,0,9890,0,6521,6430,0,0,0,0,0,0,33,5,4,2,0,0,NA,0,0,NA,0,NA,0,October,2026,2025
A3329000426225003,0,ALASKA VILLAGE ELECTRIC COOP,Yakutat,44671.63,NA,12764,1103,125861,234110,137366,62514,0,0,33862,0,117974.71,0,275,166,26,32,0,0,NA,625750,0,NA,0,NA,0,October,2026,2025
A3315900426225003,0,ALASKA VILLAGE ELECTRIC COOP,Savoonga,41953.12,NA,2418,399,76818,3824,53302,56579,0,0,15439,0,61798.42,0,155,28,7,29,0,0,NA,201000,0,NA,0,NA,0,October,2026,2025
A3316000426225003,0,ALASKA VILLAGE ELECTRIC COOP,Scammon Bay,32956.77,NA,6404,335,60534,5713,22267,47281,0,0,11328,0,46284.81,0,129,20,8,25,0,0,NA,149626,0,NA,0,NA,0,October,2026,2025
A3316200426225003,0,ALASKA VILLAGE ELECTRIC COOP,Shageluk,8538.6,NA,1505,103,15814,10149,8888,6439,0,0,3514,0,12906.42,0,37,8,8,5,0,0,NA,46424,0,NA,0,NA,0,October,2026,2025
A3316100426225003,0,ALASKA VILLAGE ELECTRIC COOP,Selawik,54387.54,NA,2609,429,84187,14300,43890,41999,0,0,16016,0,66264.36,0,159,21,13,20,0,0,NA,186990,0,NA,0,NA,0,October,2026,2025
A3316300426225003,0,ALASKA VILLAGE ELECTRIC COOP,Shaktoolik,15221.28,NA,11426,205,38126,13069,13071,18861,0,0,3627,0,21313.97,0,65,17,2,19,0,0,NA,101111,0,WIND,57152,NA,0,October,2026,2025
A3316400426225003,0,ALASKA VILLAGE ELECTRIC COOP,Shishmaref,36164.55,NA,4630,295,59977,14659,29722,38728,0,0,11278,0,51845.79,0,147,22,8,24,0,0,NA,148500,0,NA,0,NA,0,October,2026,2025
A3316600426225003,0,ALASKA VILLAGE ELECTRIC COOP,St. Mary's,33949.02,NA,30183,894,65634,33644,48336,56850,0,0,31626,0,123995.37,0,166,45,17,22,0,0,NA,428199,0,NA,0,NA,0,October,2026,2025
A3316500426225003,0,ALASKA VILLAGE ELECTRIC COOP,Shungnak,23897.44,NA,6742,292,26714,7918,17965,20822,0,0,11308,0,53446.09,0,58,14,9,7,0,0,NA,141440,0,NA,0,NA,0,October,2026,2025
