identifier,line_no,actual_rate,pro_rata_rate,check,residential_rate,pce_eligible_residential_kwh,pce_eligible_com_facil_kwh,pce_eligible_community_kwh,pce_eligible_kwh_total,rate_id
A3310801126225003,10000,0.0089,0.0089,1,0.2718,56330,0,6329,62659,1
A3310901126225003,10000,0.0089,0.0089,1,0.2718,232979,0,68040,301019,1
A3311201126225003,10000,0.0981,0.0981,1,0.3483,375198,0,99208,474406,1
A3311901126225003,10000,0.0981,0.0981,1,0.3483,196051,0,78610,274661,1
A3320101126225003,10000,0.3185,0.3185,1,0.5278,113844,0,4493,118337,1
A3319101126225003,10000,0.7294,0.7294,1,0.9332,9365,0,0,9365,1
A3319101126225003,20000,0.7564,0.7564,1,0.9332,0,0,1142,1142,2
A3324201026225003,10000,0.2933,0.2933,1,0.5758,25260,0,14770,40030,1
A3325001126225003,10000,0.4462,0.4462,1,0.65,11972,0,1651,13623,1
A3325501126225003,10000,0.7564,0.7564,1,1,4636,0,2940,7576,1
A3325601026225003,10000,0.3662,0.3662,1,0.57,49419,0,0,49419,1
A3325601026225003,20000,0.4362,0.4362,1,0.57,0,0,26211,26211,2
A3325601126225003,10000,0.3662,0.3662,1,0.57,49776,0,0,49776,1
A3325601126225003,20000,0.4362,0.4362,1,0.57,0,0,25463,25463,2
A3318501126225003,10000,0.7564,0.7564,1,1.12,4537,0,3780,8317,1
A3319301126225003,10000,0.3037,0.3037,1,0.93,8394,0,753,9147,1
A3319701126225003,10000,0.5152,0.5152,1,0.719,7781,0,10099,17880,1
A3319901126225003,10000,0.3345,0.3345,1,0.6723,51383,0,31780,83163,1
A3319801126225003,10000,0.7564,0.7564,1,1.2055,5814,0,0,5814,1
A3319801126225003,20000,0.7564,0.7564,1,1.2055,0,0,3920,3920,2
A3320001226225003,10000,0.2678,0.2678,1,0.53,18649,0,13020,31669,1
A3321301126225003,10000,0.2673,0.2673,1,0.4845,321167,0,11702,332869,1
A3321301126225003,20000,0.2673,0.2673,1,0.4845,0,0,25398,25398,2
A3321301126225003,30000,0.2673,0.2673,1,0.4845,0,0,83992,83992,3
A3321301126225003,40000,0.2673,0.2673,1,0.4845,0,0,19278,19278,4
A3321901126225003,10000,0.7564,0.7564,1,1.77,1831,0,630,2461,1
A3321101026225003,10000,0.2962,0.2962,1,0.5,20341,0,7333,27674,1
A3321101126225003,10000,0.2962,0.2962,1,0.5,19330,0,5678,25008,1
A3326101126225003,10000,0.6537,0.6537,1,0.92,8135,0,3444,11579,1
A3310401126225003,10000,0.7462,0.7462,1,0.95,18848,0,14155,33003,1
A3310401226225003,10000,0.7315,0.7315,1,0.95,9227,0,9460,18687,1
A3318601026225003,10000,0.2601,0.2601,1,0.639,8076,0,4620,12696,1
A3318601126225003,10000,0.2601,0.2601,1,0.639,5481,0,4620,10101,1
A3318701226225003,10000,0.4865,0.4865,1,0.8051,13417,0,3767,17184,1
A3319001226225003,10000,0.6839,0.6839,1,1.01,7938,0,5460,13398,1
A3319201226225003,10000,0.1372,0.1372,1,0.4571,288028,0,178176,466204,1
A3321801226225003,10000,0.7415,0.7415,1,0.96,7938,0,0,7938,1
A3321801226225003,20000,0.7424,0.7424,1,0.96,0,0,2173,2173,2
A3322901226225003,10000,0.3817,0.3817,1,0.9548,24544,0,2392,26936,1
A3323001126225003,10000,0.3666,0.3666,1,1.1,31123,0,3160,34283,1
A3323201226225003,10000,0.6362,0.6362,1,0.84,9340,0,2029,11369,1
A3324401226225003,10000,0.3087,0.3087,1,0.5391,19427,0,0,19427,1
A3324401226225003,20000,0.3201,0.3201,1,0.5391,0,0,4986,4986,2
