pce_id,calendar_year,umr_month_numeric,column_tested,raw_value,median_val,mad_score,anomaly_severity
331140,2025,11,most_recent_fuel_purch_price,34294,2.72,42832,Extreme
332460,2022,3,residential_customers,25971,73,17468,Extreme
332460,2022,3,commercial_customers,24989,27,4209,Extreme
332460,2022,3,com_facil_customers,24789,15,2477,Extreme
332460,2022,3,unbilled_customers,24436,2,2443,Extreme
331850,2017,7,commercial_customers,5268,17,1771,Extreme
331940,2025,6,peak_consumption_kw,7342,253,1594,Extreme
331850,2017,7,residential_customers,7544,25,1268,Extreme
331520,2016,10,residential_customers,1893,107,1205,Extreme
331520,2017,2,residential_customers,1861,108,1182,Extreme
331520,2016,8,residential_customers,1859,110,1180,Extreme
332520,2024,9,peak_consumption_kw,7368,47,988,Extreme
331790,2020,7,powerhouse_consumption_kwh,2895,2,976,Extreme
332520,2024,7,peak_consumption_kw,7368,46.5,898,Extreme
332520,2024,8,peak_consumption_kw,7368,46,898,Extreme
332520,2024,6,peak_consumption_kw,7368,45,659,Extreme
331520,2016,11,residential_customers,1880,108,598,Extreme
331520,2017,1,residential_customers,1864,107,593,Extreme
332520,2024,5,peak_consumption_kw,7368,41,549,Extreme
332520,2024,3,peak_consumption_kw,7368,51,494,Extreme
332520,2024,4,peak_consumption_kw,7368,51,494,Extreme
332880,2018,8,unbilled_sold_to,3609,5,486,Extreme
332520,2024,2,peak_consumption_kw,7358,51.5,469,Extreme
332460,2022,11,fuel_used_gallons,8054,12,452,Extreme
332660,2021,6,pce_eligible_community_kwh,2011,90,432,Extreme
332660,2021,6,com_facil_sold_to,2011,90,432,Extreme
331880,2017,4,unbilled_sold_to,627,1,422,Extreme
332660,2021,8,pce_eligible_community_kwh,1747,88.5,373,Extreme
332660,2021,8,com_facil_sold_to,1747,88.5,373,Extreme
332540,2019,3,unbilled_sold_to,45111,86,353,Extreme
332170,2017,3,diesel_kwh_generated,36914,72,345,Extreme
331550,2018,4,residential_sold_to,-940682,57680.5,300,Extreme
332660,2021,9,pce_eligible_community_kwh,1419,90.5,299,Extreme
332660,2021,9,com_facil_sold_to,1419,90.5,299,Extreme
332540,2018,12,unbilled_sold_to,62726,142,297,Extreme
332170,2017,4,fuel_used_gallons,855,2,288,Extreme
331790,2020,5,powerhouse_consumption_kwh,1678,4,282,Extreme
331920,2022,11,govt_facil_customers,455,46,276,Extreme
331920,2023,1,govt_facil_customers,444,46,268,Extreme
331920,2023,3,govt_facil_customers,444,46,268,Extreme
331970,2025,5,unbilled_customers,2668,1,267,Extreme
331610,2016,1,wind_kwh_generated,34826,88.5,265,Extreme
332070,2015,10,residential_sold_to,89264,72855,257,Extreme
331850,2017,7,com_facil_customers,2583,9,257,Extreme
331450,2017,11,wind_kwh_generated,15773,42,253,Extreme
332370,2024,12,peak_consumption_kw,21275,757,231,Extreme
332660,2022,6,pce_eligible_community_kwh,1112,90,230,Extreme
332660,2022,6,com_facil_sold_to,1112,90,230,Extreme
331790,2020,6,powerhouse_consumption_kwh,1315,4,221,Extreme
332610,2024,8,peak_consumption_kw,4005,67,221,Extreme
332270,2017,10,govt_facil_sold_to,321,1,216,Extreme
332060,2023,12,solar_kwh_generated,3010,22.5,212,Extreme
332690,2023,7,govt_facil_sold_to,4555,5769,205,Extreme
331790,2022,5,powerhouse_consumption_kwh,1200,4,202,Extreme
331790,2022,6,powerhouse_consumption_kwh,1200,4,202,Extreme
331970,2016,6,peak_consumption_kw,4255,103,200,Extreme
332420,2019,4,residential_customers,476,47,193,Extreme
332660,2021,5,pce_eligible_community_kwh,1809,90,193,Extreme
332660,2021,5,com_facil_sold_to,1809,90,193,Extreme
331870,2016,11,unbilled_sold_to,19317,740,184,Extreme
332540,2019,1,unbilled_sold_to,43461,162,180,Extreme
331980,2021,11,peak_consumption_kw,16700,316,177,Extreme
332530,2022,4,fuel_used_gallons,44292,4174,164,Extreme
331070,2016,4,powerhouse_consumption_kwh,850,125,163,Extreme
331550,2018,3,residential_sold_to,1061401,63485,163,Extreme
331880,2019,4,unbilled_sold_to,241,1,162,Extreme
332170,2019,6,diesel_kwh_generated,64708,268,162,Extreme
332660,2021,10,pce_eligible_community_kwh,1763,92,161,Extreme
332660,2021,10,com_facil_sold_to,1763,92,161,Extreme
331990,2023,5,commercial_customers,354,117,160,Extreme
331870,2016,6,unbilled_sold_to,26198,302.5,155,Extreme
331930,2017,10,govt_facil_sold_to,14115,116.5,155,Extreme
332320,2022,11,peak_consumption_kw,7202,31.5,154,Extreme
332320,2023,11,peak_consumption_kw,7202,31.5,154,Extreme
332320,2024,11,peak_consumption_kw,7202,31.5,154,Extreme
331860,2020,5,powerhouse_consumption_kwh,68390,1734.5,152,Extreme
332660,2022,5,pce_eligible_community_kwh,1444,90,152,Extreme
332660,2022,5,com_facil_sold_to,1444,90,152,Extreme
331770,2025,12,diesel_kwh_generated,2903112,62491,152,Extreme
332320,2022,10,peak_consumption_kw,7202,32.5,149,Extreme
332320,2023,10,peak_consumption_kw,7202,32.5,149,Extreme
332320,2024,10,peak_consumption_kw,7202,32.5,149,Extreme
332660,2022,9,pce_eligible_community_kwh,750,90.5,148,Extreme
332660,2022,9,com_facil_sold_to,750,90.5,148,Extreme
332540,2019,2,unbilled_sold_to,33464,153,147,Extreme
331860,2020,4,powerhouse_consumption_kwh,39606,1520,144,Extreme
331490,2016,8,residential_customers,262,53,141,Extreme
332710,2024,6,com_facil_sold_to,47673,2565.5,140,Extreme
332320,2022,9,peak_consumption_kw,7202,35,138,Extreme
332320,2023,9,peak_consumption_kw,7202,35,138,Extreme
332320,2024,9,peak_consumption_kw,7202,35,138,Extreme
332170,2020,3,diesel_kwh_generated,14723,72,137,Extreme
332660,2021,7,pce_eligible_community_kwh,1903,91,136,Extreme
332660,2021,7,com_facil_sold_to,1903,91,136,Extreme
332850,2018,8,unbilled_sold_to,1818,18,135,Extreme
332540,2019,4,unbilled_sold_to,23922,120,134,Extreme
331790,2022,4,powerhouse_consumption_kwh,1200,6,134,Extreme
332660,2022,8,pce_eligible_community_kwh,669,88.5,131,Extreme
332660,2022,8,com_facil_sold_to,669,88.5,131,Extreme
331070,2016,1,powerhouse_consumption_kwh,1098,132,130,Extreme
