id,identifier,project_code,sales_reporting_name,date,calendar_year,calendar_month,column,raw_value,carry_forward,annual_average,avg_preceding_proceeding,avg_same_month_other_years,manual_override,decision,comment
"A3310300726225003_powerhouse_consumption_kwh","A3310300726225003","331030","Akiak","2026-01-01","2026","1","powerhouse_consumption_kwh","5645","","3363","2548","2550","","raw_value",""
"A3310300726225003_residential_sold_to","A3310300726225003","331030","Akiak","2026-01-01","2026","1","residential_sold_to","76581","","58174","86604","40507","","raw_value",""
"A3310300818225003_fuel_used_gallons","A3310300818225003","331030","Akiak","2018-02-01","2018","2","fuel_used_gallons","17318","9243","8568","8862","8188","","avg_preceding_proceeding",""
"A3310300818225003_powerhouse_consumption_kwh","A3310300818225003","331030","Akiak","2018-02-01","2018","2","powerhouse_consumption_kwh","5126","2571","2930","2596","2425","","avg_preceding_proceeding",""
"A3310300826225003_residential_sold_to","A3310300826225003","331030","Akiak","2026-02-01","2026","2","residential_sold_to","86604","76581","58174","65149","31174","","raw_value",""
"A3310300924225003_com_facil_sold_to","A3310300924225003","331030","Akiak","2024-03-01","2024","3","com_facil_sold_to","212495","","49384","","14938","","avg_same_month_other_years",""
"A3310300924225003_commercial_sold_to","A3310300924225003","331030","Akiak","2024-03-01","2024","3","commercial_sold_to","294257","","67610","","34236","","avg_same_month_other_years",""
"A3310300924225003_govt_facil_sold_to","A3310300924225003","331030","Akiak","2024-03-01","2024","3","govt_facil_sold_to","22135","","5814","","3041","","annual_average",""
"A3310300924225003_residential_sold_to","A3310300924225003","331030","Akiak","2024-03-01","2024","3","residential_sold_to","260475","","87989","","35089","","avg_same_month_other_years",""
"A3310300924225003_unbilled_sold_to","A3310300924225003","331030","Akiak","2024-03-01","2024","3","unbilled_sold_to","10461","","2862","","815","","annual_average",""
