id,identifier,project_code,sales_reporting_name,date,calendar_year,calendar_month,column,raw_value,carry_forward,annual_average,avg_preceding_proceeding,avg_same_month_other_years,manual_override,decision,comment,cleaned_during_energy_stats
"A3310051226225003_diesel_kwh_generated","A3310051226225003","331005","Adak","2026-06-01","2026","6","diesel_kwh_generated","79998","67375","93306","77722","160558","","raw_value","","false"
"A3310100322225003_fuel_used_gallons","A3310100322225003","331010","Akhiok","2021-09-01","2021","9","fuel_used_gallons","1255","1165","2206","1846","2462","","raw_value","","false"
"A3310100724225003_com_facil_sold_to","A3310100724225003","331010","Akhiok","2024-01-01","2024","1","com_facil_sold_to","9947","","4753","4688","3210","","raw_value","",""
"A3310200122225003_powerhouse_consumption_kwh","A3310200122225003","331020","Akiachak","2021-07-01","2021","7","powerhouse_consumption_kwh","5962","6129","4417","5866","3694","","raw_value","","false"
"A3310200127225003_wind_kwh_generated","A3310200127225003","331020","Akiachak","2026-07-01","2026","7","wind_kwh_generated","17278","24842","21432","24842","5663","","raw_value","","false"
"A3310601126225003_powerhouse_consumption_kwh","A3310601126225003","331060","Bettles, Evansville","2026-05-01","2026","5","powerhouse_consumption_kwh","3797","4693","4329","3920","839","","raw_value","","false"
"A3310601226225003_powerhouse_consumption_kwh","A3310601226225003","331060","Bettles, Evansville","2026-06-01","2026","6","powerhouse_consumption_kwh","3146","3797","4329","3797","749","","raw_value","","false"
"A3311400622225003_powerhouse_consumption_kwh","A3311400622225003","331140","Hollis","2021-12-01","2021","12","powerhouse_consumption_kwh","2768","1534","1458","2350","1428","","raw_value","","false"
"A3311400822225003_powerhouse_consumption_kwh","A3311400822225003","331140","Hollis","2022-02-01","2022","2","powerhouse_consumption_kwh","2770","3165","1864","2840","1568","","raw_value","","false"
"A3312401126225003_commercial_sold_to","A3312401126225003","331240","Alakanuk","2026-05-01","2026","5","commercial_sold_to","0","26631","21856","26631","13238","","annual_average","","false"
"A3312500526225003_fuel_used_gallons","A3312500526225003","331250","Ambler","2025-11-01","2025","11","fuel_used_gallons","0","8451","6764","4226","8496","","raw_value","",""
"A3312500626225003_fuel_used_gallons","A3312500626225003","331250","Ambler","2025-12-01","2025","12","fuel_used_gallons","0","0","6764","0","10596","","raw_value","",""
"A3312500726225003_fuel_used_gallons","A3312500726225003","331250","Ambler","2026-01-01","2026","1","fuel_used_gallons","0","0","0","0","9940","","raw_value","",""
"A3312500826225003_fuel_used_gallons","A3312500826225003","331250","Ambler","2026-02-01","2026","2","fuel_used_gallons","0","0","0","0","9113","","raw_value","",""
"A3312500926225003_fuel_used_gallons","A3312500926225003","331250","Ambler","2026-03-01","2026","3","fuel_used_gallons","0","0","0","0","9141","","raw_value","",""
"A3312501026225003_fuel_used_gallons","A3312501026225003","331250","Ambler","2026-04-01","2026","4","fuel_used_gallons","0","0","0","0","8153","","raw_value","",""
"A3312501126225003_commercial_sold_to","A3312501126225003","331250","Ambler","2026-05-01","2026","5","commercial_sold_to","0","11701","10681","11701","3189","","annual_average","","false"
"A3312600526225003_wind_kwh_generated","A3312600526225003","331260","Anvik","2025-11-01","2025","11","wind_kwh_generated","190906","","190906","","0","0","manual_override","","false"
"A3312601126225003_com_facil_sold_to","A3312601126225003","331260","Anvik","2026-05-01","2026","5","com_facil_sold_to","0","3859","3436","3859","10535","","annual_average","","false"
"A3312700526225003_com_facil_sold_to","A3312700526225003","331270","Brevig Mission","2025-11-01","2025","11","com_facil_sold_to","762","24427","21388","12594","24051","","avg_same_month_other_years","","false"
"A3312700626225003_com_facil_sold_to","A3312700626225003","331270","Brevig Mission","2025-12-01","2025","12","com_facil_sold_to","761","762","21388","750","26263","","avg_same_month_other_years","","false"
"A3312700726225003_com_facil_sold_to","A3312700726225003","331270","Brevig Mission","2026-01-01","2026","1","com_facil_sold_to","738","761","491","712","28268","","avg_same_month_other_years","","false"
"A3312700826225003_com_facil_sold_to","A3312700826225003","331270","Brevig Mission","2026-02-01","2026","2","com_facil_sold_to","662","738","491","632","27200","","avg_same_month_other_years","","false"
"A3312700926225003_com_facil_sold_to","A3312700926225003","331270","Brevig Mission","2026-03-01","2026","3","com_facil_sold_to","525","662","491","596","28120","","avg_preceding_proceeding","","false"
"A3312701026225003_com_facil_sold_to","A3312701026225003","331270","Brevig Mission","2026-04-01","2026","4","com_facil_sold_to","529","525","491","262","26213","","avg_same_month_other_years","","false"
"A3312701126225003_com_facil_sold_to","A3312701126225003","331270","Brevig Mission","2026-05-01","2026","5","com_facil_sold_to","0","529","491","529","23728","","avg_same_month_other_years","","false"
"A3312801126225003_commercial_sold_to","A3312801126225003","331280","Chevak","2026-05-01","2026","5","commercial_sold_to","0","31015","26855","31015","15560","","avg_preceding_proceeding","","false"
"A3312801126225003_govt_facil_sold_to","A3312801126225003","331280","Chevak","2026-05-01","2026","5","govt_facil_sold_to","0","28465","37416","28465","53690","","annual_average","","false"
"A3312900626225003_powerhouse_consumption_kwh","A3312900626225003","331290","Eek","2025-12-01","2025","12","powerhouse_consumption_kwh","4306","4036","4494","4126","1702","","raw_value","","false"
"A3313000226225003_fuel_used_gallons","A3313000226225003","331300","Elim","2025-08-01","2025","8","fuel_used_gallons","3290","3663","5290","3590","7609","","raw_value","","false"
"A3313100526225003_wind_kwh_generated","A3313100526225003","331310","Emmonak","2025-11-01","2025","11","wind_kwh_generated","136673","","71968","31502","48952","","raw_value","","false"
"A3313101126225003_com_facil_sold_to","A3313101126225003","331310","Emmonak","2026-05-01","2026","5","com_facil_sold_to","0","53836","48159","53836","68236","","avg_same_month_other_years","","false"
"A3313101126225003_govt_facil_sold_to","A3313101126225003","331310","Emmonak","2026-05-01","2026","5","govt_facil_sold_to","0","71388","60607","71388","53275","","avg_same_month_other_years","","false"
"A3313200223225003_powerhouse_consumption_kwh","A3313200223225003","331320","Gambell","2022-08-01","2022","8","powerhouse_consumption_kwh","11444","5580","5493","5371","8348","","raw_value","","false"
"A3313200626225003_commercial_sold_to","A3313200626225003","331320","Gambell","2025-12-01","2025","12","commercial_sold_to","42593","42338","29274","46301","19897","","raw_value","","false"
"A3313201126225003_govt_facil_sold_to","A3313201126225003","331320","Gambell","2026-05-01","2026","5","govt_facil_sold_to","0","38435","32423","38435","39096","","avg_same_month_other_years","","false"
"A3313300526225003_powerhouse_consumption_kwh","A3313300526225003","331330","Goodnews Bay","2025-11-01","2025","11","powerhouse_consumption_kwh","8899","2710","2854","5596","1264","","raw_value","","false"
"A3313300626225003_powerhouse_consumption_kwh","A3313300626225003","331330","Goodnews Bay","2025-12-01","2025","12","powerhouse_consumption_kwh","8483","8899","2854","9126","1346","","raw_value","","false"
"A3313300726225003_peak_consumption_kw","A3313300726225003","331330","Goodnews Bay","2026-01-01","2026","1","peak_consumption_kw","482","187","251","195","","","raw_value","","false"
"A3313300726225003_powerhouse_consumption_kwh","A3313300726225003","331330","Goodnews Bay","2026-01-01","2026","1","powerhouse_consumption_kwh","9353","8483","4894","8002","1292","","raw_value","","false"
"A3313300826225003_powerhouse_consumption_kwh","A3313300826225003","331330","Goodnews Bay","2026-02-01","2026","2","powerhouse_consumption_kwh","7521","9353","4894","6586","1296","","raw_value","","false"
"A3313300926225003_powerhouse_consumption_kwh","A3313300926225003","331330","Goodnews Bay","2026-03-01","2026","3","powerhouse_consumption_kwh","3818","7521","4894","4579","1457","","raw_value","","false"
"A3313400524225003_powerhouse_consumption_kwh","A3313400524225003","331340","Grayling","2023-11-01","2023","11","powerhouse_consumption_kwh","5458","4968","3291","5568","2592","","raw_value","","false"
"A3313401126225003_com_facil_sold_to","A3313401126225003","331340","Grayling","2026-05-01","2026","5","com_facil_sold_to","0","12812","11532","12812","15508","","avg_same_month_other_years","","false"
"A3313601126225003_com_facil_sold_to","A3313601126225003","331360","Hooper Bay","2026-05-01","2026","5","com_facil_sold_to","0","61239","55488","61239","72141","","avg_same_month_other_years","","false"
"A3313601126225003_commercial_sold_to","A3313601126225003","331360","Hooper Bay","2026-05-01","2026","5","commercial_sold_to","0","44051","40227","44051","32150","","avg_same_month_other_years","","false"
"A3313601126225003_govt_facil_sold_to","A3313601126225003","331360","Hooper Bay","2026-05-01","2026","5","govt_facil_sold_to","0","77908","68509","77908","62125","","avg_same_month_other_years","","false"
"A3313801126225003_com_facil_sold_to","A3313801126225003","331380","Kaltag","2026-05-01","2026","5","com_facil_sold_to","0","8191","7200","8191","13240","","avg_same_month_other_years","","false"
"A3313801126225003_govt_facil_sold_to","A3313801126225003","331380","Kaltag","2026-05-01","2026","5","govt_facil_sold_to","0","15297","13249","15297","15570","","avg_same_month_other_years","","false"
"A3314001126225003_commercial_sold_to","A3314001126225003","331400","Kiana","2026-05-01","2026","5","commercial_sold_to","0","27843","24661","27843","17456","","avg_same_month_other_years","","false"
"A3314201126225003_commercial_sold_to","A3314201126225003","331420","Koyuk","2026-05-01","2026","5","commercial_sold_to","0","26304","25257","26304","13094","","avg_same_month_other_years","","false"
"A3314201126225003_govt_facil_sold_to","A3314201126225003","331420","Koyuk","2026-05-01","2026","5","govt_facil_sold_to","0","28227","23742","28227","24411","","avg_same_month_other_years","","false"
"A3314300626225003_fuel_used_gallons","A3314300626225003","331430","Lower Kalskag","2025-12-01","2025","12","fuel_used_gallons","20085","0","1674","0","0","0","manual_override","","false"
"A3314300626225003_wind_kwh_generated","A3314300626225003","331430","Lower Kalskag","2025-12-01","2025","12","wind_kwh_generated","22485","","22485","","0","0","manual_override","","false"
"A3314301126225003_commercial_sold_to","A3314301126225003","331430","Lower Kalskag","2026-05-01","2026","5","commercial_sold_to","0","4573","4314","4573","5018","","avg_same_month_other_years","","false"
"A3314400626225003_powerhouse_consumption_kwh","A3314400626225003","331440","Marshall","2025-12-01","2025","12","powerhouse_consumption_kwh","6648","5421","3442","6056","2469","","raw_value","","false"
"A3314400726225003_powerhouse_consumption_kwh","A3314400726225003","331440","Marshall","2026-01-01","2026","1","powerhouse_consumption_kwh","6691","6648","4728","5457","2477","","raw_value","","false"
"A3314401126225003_commercial_sold_to","A3314401126225003","331440","Marshall","2026-05-01","2026","5","commercial_sold_to","0","22455","20052","22455","10040","","avg_same_month_other_years","","false"
"A3314401126225003_govt_facil_sold_to","A3314401126225003","331440","Marshall","2026-05-01","2026","5","govt_facil_sold_to","0","42121","35093","42121","32525","","avg_same_month_other_years","","false"
"A3314501126225003_commercial_sold_to","A3314501126225003","331450","Mekoryuk","2026-05-01","2026","5","commercial_sold_to","0","11290","10424","11290","8483","","avg_same_month_other_years","","false"
"A3314600526225003_powerhouse_consumption_kwh","A3314600526225003","331460","Minto","2025-11-01","2025","11","powerhouse_consumption_kwh","5329","3820","2318","4878","710","","raw_value","","false"
"A3314600626225003_powerhouse_consumption_kwh","A3314600626225003","331460","Minto","2025-12-01","2025","12","powerhouse_consumption_kwh","5935","5329","2318","5687","992","","raw_value","","false"
"A3314600726225003_diesel_kwh_generated","A3314600726225003","331460","Minto","2026-01-01","2026","1","diesel_kwh_generated","134242","130017","109266","123438","82552","","raw_value","","false"
"A3314600726225003_powerhouse_consumption_kwh","A3314600726225003","331460","Minto","2026-01-01","2026","1","powerhouse_consumption_kwh","6045","5935","4125","4605","1219","","raw_value","","false"
"A3314600926225003_powerhouse_consumption_kwh","A3314600926225003","331460","Minto","2026-03-01","2026","3","powerhouse_consumption_kwh","4104","3275","4125","3402","888","","raw_value","","false"
"A3314701126225003_commercial_sold_to","A3314701126225003","331470","Mountain Village","2026-05-01","2026","5","commercial_sold_to","0","39373","37761","39373","30356","","avg_same_month_other_years","","false"
"A3314801126225003_com_facil_sold_to","A3314801126225003","331480","New Stuyahok","2026-05-01","2026","5","com_facil_sold_to","0","7690","6226","7690","21977","","avg_preceding_proceeding","","false"
"A3314801126225003_commercial_sold_to","A3314801126225003","331480","New Stuyahok","2026-05-01","2026","5","commercial_sold_to","0","23202","20129","23202","6584","","avg_same_month_other_years","","false"
"A3314801126225003_govt_facil_sold_to","A3314801126225003","331480","New Stuyahok","2026-05-01","2026","5","govt_facil_sold_to","0","41846","30609","41846","32412","","avg_same_month_other_years","","false"
"A3315001126225003_commercial_sold_to","A3315001126225003","331500","Noatak","2026-05-01","2026","5","commercial_sold_to","0","20731","14923","20731","10097","","avg_same_month_other_years","","false"
"A3315100726225003_powerhouse_consumption_kwh","A3315100726225003","331510","Noorvik","2026-01-01","2026","1","powerhouse_consumption_kwh","6910","3513","4605","3738","3684","","raw_value","","false"
"A3315101126225003_commercial_sold_to","A3315101126225003","331510","Noorvik","2026-05-01","2026","5","commercial_sold_to","0","21348","19733","21348","11178","","avg_same_month_other_years","","false"
"A3315200723225003_com_facil_sold_to","A3315200723225003","331520","Nulato","2023-01-01","2023","1","com_facil_sold_to","47336","32165","28555","31336","27609","","raw_value","","false"
"A3315301126225003_commercial_sold_to","A3315301126225003","331530","Nunapitchuk","2026-05-01","2026","5","commercial_sold_to","0","11994","11467","11994","9297","","avg_same_month_other_years","","false"
"A3315400626225003_fuel_used_gallons","A3315400626225003","331540","Old Harbor","2025-12-01","2025","12","fuel_used_gallons","7076","6441","4560","6210","5059","","raw_value","","false"
