id,identifier,project_code,sales_reporting_name,date,calendar_year,calendar_month,column,raw_value,source
A3310100724225003_powerhouse_consumption_kwh,A3310100724225003,331010,Akhiok,2024-01-01,2024,1,powerhouse_consumption_kwh,3852,outlier_check
A3310100724225003_govt_facil_sold_to,A3310100724225003,331010,Akhiok,2024-01-01,2024,1,govt_facil_sold_to,1269,outlier_check
A3310101224225003_fuel_used_gallons,A3310101224225003,331010,Akhiok,2024-06-01,2024,6,fuel_used_gallons,0,outlier_check
A3310100425225003_diesel_kwh_generated,A3310100425225003,331010,Akhiok,2024-10-01,2024,10,diesel_kwh_generated,71382,outlier_check
A3310100425225003_powerhouse_consumption_kwh,A3310100425225003,331010,Akhiok,2024-10-01,2024,10,powerhouse_consumption_kwh,4801,outlier_check
A3310100226225003_fuel_used_gallons,A3310100226225003,331010,Akhiok,2025-08-01,2025,8,fuel_used_gallons,0,outlier_check
A3310100226225003_diesel_kwh_generated,A3310100226225003,331010,Akhiok,2025-08-01,2025,8,diesel_kwh_generated,0,outlier_check
A3310100626225003_govt_facil_sold_to,A3310100626225003,331010,Akhiok,2025-12-01,2025,12,govt_facil_sold_to,1163,outlier_check
A3310200118225003_residential_customers,A3310200118225003,331020,Akiachak,2017-07-01,2017,7,residential_customers,136,outlier_check
A3310200320225003_diesel_kwh_generated,A3310200320225003,331020,Akiachak,2019-09-01,2019,9,diesel_kwh_generated,0,outlier_check
A3310201221225003_powerhouse_consumption_kwh,A3310201221225003,331020,Akiachak,2021-06-01,2021,6,powerhouse_consumption_kwh,6129,outlier_check
A3310201122225003_diesel_kwh_generated,A3310201122225003,331020,Akiachak,2022-05-01,2022,5,diesel_kwh_generated,0,outlier_check
A3310201122225003_peak_consumption_kw,A3310201122225003,331020,Akiachak,2022-05-01,2022,5,peak_consumption_kw,0,outlier_check
A3310201222225003_diesel_kwh_generated,A3310201222225003,331020,Akiachak,2022-06-01,2022,6,diesel_kwh_generated,0,outlier_check
A3310201222225003_peak_consumption_kw,A3310201222225003,331020,Akiachak,2022-06-01,2022,6,peak_consumption_kw,0,outlier_check
A3310200123225003_peak_consumption_kw,A3310200123225003,331020,Akiachak,2022-07-01,2022,7,peak_consumption_kw,0,outlier_check
A3310200223225003_powerhouse_consumption_kwh,A3310200223225003,331020,Akiachak,2022-08-01,2022,8,powerhouse_consumption_kwh,8293,outlier_check
A3310200323225003_unbilled_sold_to,A3310200323225003,331020,Akiachak,2022-09-01,2022,9,unbilled_sold_to,95852,outlier_check
A3310200524225003_fuel_used_gallons,A3310200524225003,331020,Akiachak,2023-11-01,2023,11,fuel_used_gallons,19885,outlier_check
A3310200624225003_fuel_used_gallons,A3310200624225003,331020,Akiachak,2023-12-01,2023,12,fuel_used_gallons,18581,outlier_check
A3310200925225003_wind_kwh_generated,A3310200925225003,331020,Akiachak,2025-03-01,2025,3,wind_kwh_generated,15919,outlier_check
A3310201025225003_wind_kwh_generated,A3310201025225003,331020,Akiachak,2025-04-01,2025,4,wind_kwh_generated,25928,outlier_check
A3310201125225003_wind_kwh_generated,A3310201125225003,331020,Akiachak,2025-05-01,2025,5,wind_kwh_generated,21949,outlier_check
A3310201225225003_wind_kwh_generated,A3310201225225003,331020,Akiachak,2025-06-01,2025,6,wind_kwh_generated,19353,outlier_check
A3310200126225003_wind_kwh_generated,A3310200126225003,331020,Akiachak,2025-07-01,2025,7,wind_kwh_generated,16988,outlier_check
A3310200226225003_wind_kwh_generated,A3310200226225003,331020,Akiachak,2025-08-01,2025,8,wind_kwh_generated,15280,outlier_check
A3310200326225003_wind_kwh_generated,A3310200326225003,331020,Akiachak,2025-09-01,2025,9,wind_kwh_generated,19003,outlier_check
A3310200826225003_wind_kwh_generated,A3310200826225003,331020,Akiachak,2026-02-01,2026,2,wind_kwh_generated,12860,outlier_check
A3310200926225003_wind_kwh_generated,A3310200926225003,331020,Akiachak,2026-03-01,2026,3,wind_kwh_generated,37362,outlier_check
A3310201026225003_wind_kwh_generated,A3310201026225003,331020,Akiachak,2026-04-01,2026,4,wind_kwh_generated,25342,outlier_check
A3310201126225003_wind_kwh_generated,A3310201126225003,331020,Akiachak,2026-05-01,2026,5,wind_kwh_generated,27737,outlier_check
A3310201226225003_wind_kwh_generated,A3310201226225003,331020,Akiachak,2026-06-01,2026,6,wind_kwh_generated,24842,outlier_check
A3310200127225003_wind_kwh_generated,A3310200127225003,331020,Akiachak,2026-07-01,2026,7,wind_kwh_generated,17278,outlier_check
A3310300818225003_fuel_used_gallons,A3310300818225003,331030,Akiak,2018-02-01,2018,2,fuel_used_gallons,17318,outlier_check
A3310300818225003_powerhouse_consumption_kwh,A3310300818225003,331030,Akiak,2018-02-01,2018,2,powerhouse_consumption_kwh,5126,outlier_check
A3310300819225003_diesel_kwh_generated,A3310300819225003,331030,Akiak,2019-02-01,2019,2,diesel_kwh_generated,0,outlier_check
A3310300819225003_powerhouse_consumption_kwh,A3310300819225003,331030,Akiak,2019-02-01,2019,2,powerhouse_consumption_kwh,0,outlier_check
A3310301119225003_diesel_kwh_generated,A3310301119225003,331030,Akiak,2019-05-01,2019,5,diesel_kwh_generated,0,outlier_check
A3310301119225003_powerhouse_consumption_kwh,A3310301119225003,331030,Akiak,2019-05-01,2019,5,powerhouse_consumption_kwh,0,outlier_check
A3310300620225003_fuel_used_gallons,A3310300620225003,331030,Akiak,2019-12-01,2019,12,fuel_used_gallons,0,outlier_check
A3310300521225003_diesel_kwh_generated,A3310300521225003,331030,Akiak,2020-11-01,2020,11,diesel_kwh_generated,0,outlier_check
A3310300521225003_powerhouse_consumption_kwh,A3310300521225003,331030,Akiak,2020-11-01,2020,11,powerhouse_consumption_kwh,0,outlier_check
A3310300123225003_powerhouse_consumption_kwh,A3310300123225003,331030,Akiak,2022-07-01,2022,7,powerhouse_consumption_kwh,0,outlier_check
A3310300123225003_govt_facil_sold_to,A3310300123225003,331030,Akiak,2022-07-01,2022,7,govt_facil_sold_to,54459,outlier_check
A3310300223225003_diesel_kwh_generated,A3310300223225003,331030,Akiak,2022-08-01,2022,8,diesel_kwh_generated,314056,outlier_check
A3310300223225003_powerhouse_consumption_kwh,A3310300223225003,331030,Akiak,2022-08-01,2022,8,powerhouse_consumption_kwh,0,outlier_check
A3310300223225003_commercial_sold_to,A3310300223225003,331030,Akiak,2022-08-01,2022,8,commercial_sold_to,267666,outlier_check
A3310300323225003_powerhouse_consumption_kwh,A3310300323225003,331030,Akiak,2022-09-01,2022,9,powerhouse_consumption_kwh,0,outlier_check
A3310300423225003_powerhouse_consumption_kwh,A3310300423225003,331030,Akiak,2022-10-01,2022,10,powerhouse_consumption_kwh,0,outlier_check
A3310300523225003_powerhouse_consumption_kwh,A3310300523225003,331030,Akiak,2022-11-01,2022,11,powerhouse_consumption_kwh,0,outlier_check
A3310300623225003_powerhouse_consumption_kwh,A3310300623225003,331030,Akiak,2022-12-01,2022,12,powerhouse_consumption_kwh,0,outlier_check
A3310300723225003_powerhouse_consumption_kwh,A3310300723225003,331030,Akiak,2023-01-01,2023,1,powerhouse_consumption_kwh,0,outlier_check
A3310300823225003_powerhouse_consumption_kwh,A3310300823225003,331030,Akiak,2023-02-01,2023,2,powerhouse_consumption_kwh,0,outlier_check
A3310300124225003_powerhouse_consumption_kwh,A3310300124225003,331030,Akiak,2023-07-01,2023,7,powerhouse_consumption_kwh,0,outlier_check
A3310300224225003_fuel_used_gallons,A3310300224225003,331030,Akiak,2023-08-01,2023,8,fuel_used_gallons,21098,outlier_check
A3310300224225003_powerhouse_consumption_kwh,A3310300224225003,331030,Akiak,2023-08-01,2023,8,powerhouse_consumption_kwh,0,outlier_check
A3310300224225003_residential_sold_to,A3310300224225003,331030,Akiak,2023-08-01,2023,8,residential_sold_to,106044,outlier_check
A3310300224225003_unbilled_sold_to,A3310300224225003,331030,Akiak,2023-08-01,2023,8,unbilled_sold_to,3461,outlier_check
A3310300324225003_diesel_kwh_generated,A3310300324225003,331030,Akiak,2023-09-01,2023,9,diesel_kwh_generated,214987,outlier_check
A3310300324225003_powerhouse_consumption_kwh,A3310300324225003,331030,Akiak,2023-09-01,2023,9,powerhouse_consumption_kwh,0,outlier_check
A3310300324225003_commercial_sold_to,A3310300324225003,331030,Akiak,2023-09-01,2023,9,commercial_sold_to,166922,outlier_check
A3310300924225003_diesel_kwh_generated,A3310300924225003,331030,Akiak,2024-03-01,2024,3,diesel_kwh_generated,799823,outlier_check
A3310300924225003_powerhouse_consumption_kwh,A3310300924225003,331030,Akiak,2024-03-01,2024,3,powerhouse_consumption_kwh,0,outlier_check
A3310300924225003_residential_sold_to,A3310300924225003,331030,Akiak,2024-03-01,2024,3,residential_sold_to,260475,outlier_check
A3310300924225003_commercial_sold_to,A3310300924225003,331030,Akiak,2024-03-01,2024,3,commercial_sold_to,294257,outlier_check
A3310300924225003_com_facil_sold_to,A3310300924225003,331030,Akiak,2024-03-01,2024,3,com_facil_sold_to,212495,outlier_check
A3310300924225003_govt_facil_sold_to,A3310300924225003,331030,Akiak,2024-03-01,2024,3,govt_facil_sold_to,22135,outlier_check
A3310300924225003_unbilled_sold_to,A3310300924225003,331030,Akiak,2024-03-01,2024,3,unbilled_sold_to,10461,outlier_check
A3310300225225003_fuel_used_gallons,A3310300225225003,331030,Akiak,2024-08-01,2024,8,fuel_used_gallons,25572,outlier_check
A3310300225225003_diesel_kwh_generated,A3310300225225003,331030,Akiak,2024-08-01,2024,8,diesel_kwh_generated,267575,outlier_check
A3310300225225003_powerhouse_consumption_kwh,A3310300225225003,331030,Akiak,2024-08-01,2024,8,powerhouse_consumption_kwh,9914,outlier_check
A3310300225225003_residential_sold_to,A3310300225225003,331030,Akiak,2024-08-01,2024,8,residential_sold_to,98245,outlier_check
A3310300126225003_fuel_used_gallons,A3310300126225003,331030,Akiak,2025-07-01,2025,7,fuel_used_gallons,15084,outlier_check
A3310300126225003_residential_sold_to,A3310300126225003,331030,Akiak,2025-07-01,2025,7,residential_sold_to,69724,outlier_check
A3310300726225003_fuel_used_gallons,A3310300726225003,331030,Akiak,2026-01-01,2026,1,fuel_used_gallons,17109,outlier_check
A3310300726225003_diesel_kwh_generated,A3310300726225003,331030,Akiak,2026-01-01,2026,1,diesel_kwh_generated,217138,outlier_check
A3310300726225003_powerhouse_consumption_kwh,A3310300726225003,331030,Akiak,2026-01-01,2026,1,powerhouse_consumption_kwh,5645,outlier_check
A3310300726225003_residential_sold_to,A3310300726225003,331030,Akiak,2026-01-01,2026,1,residential_sold_to,76581,outlier_check
A3310300826225003_residential_sold_to,A3310300826225003,331030,Akiak,2026-02-01,2026,2,residential_sold_to,86604,outlier_check
A3310400816225003_govt_facil_sold_to,A3310400816225003,331040,Akutan,2016-02-01,2016,2,govt_facil_sold_to,812,outlier_check
A3310401116225003_govt_facil_sold_to,A3310401116225003,331040,Akutan,2016-05-01,2016,5,govt_facil_sold_to,925,outlier_check
A3310401216225003_govt_facil_sold_to,A3310401216225003,331040,Akutan,2016-06-01,2016,6,govt_facil_sold_to,942,outlier_check
A3310400117225003_govt_facil_sold_to,A3310400117225003,331040,Akutan,2016-07-01,2016,7,govt_facil_sold_to,865,outlier_check
A3310400717225003_peak_consumption_kw,A3310400717225003,331040,Akutan,2017-01-01,2017,1,peak_consumption_kw,5,outlier_check
A3310401017225003_govt_facil_sold_to,A3310401017225003,331040,Akutan,2017-04-01,2017,4,govt_facil_sold_to,994,outlier_check
A3310400118225003_govt_facil_sold_to,A3310400118225003,331040,Akutan,2017-07-01,2017,7,govt_facil_sold_to,775,outlier_check
A3310400322225003_govt_facil_sold_to,A3310400322225003,331040,Akutan,2021-09-01,2021,9,govt_facil_sold_to,660,outlier_check
A3310400722225003_govt_facil_sold_to,A3310400722225003,331040,Akutan,2022-01-01,2022,1,govt_facil_sold_to,718,outlier_check
A3310401122225003_govt_facil_sold_to,A3310401122225003,331040,Akutan,2022-05-01,2022,5,govt_facil_sold_to,764,outlier_check
A3310400226225003_hydro_kwh_generated,A3310400226225003,331040,Akutan,2025-08-01,2025,8,hydro_kwh_generated,40552,outlier_check
A3312400116225003_fuel_used_gallons,A3312400116225003,331240,Alakanuk,2015-07-01,2015,7,fuel_used_gallons,11377,outlier_check
A3312400116225003_diesel_kwh_generated,A3312400116225003,331240,Alakanuk,2015-07-01,2015,7,diesel_kwh_generated,151179,outlier_check
A3312400216225003_fuel_used_gallons,A3312400216225003,331240,Alakanuk,2015-08-01,2015,8,fuel_used_gallons,12557,outlier_check
A3312400216225003_diesel_kwh_generated,A3312400216225003,331240,Alakanuk,2015-08-01,2015,8,diesel_kwh_generated,164377,outlier_check
A3312400216225003_commercial_sold_to,A3312400216225003,331240,Alakanuk,2015-08-01,2015,8,commercial_sold_to,26063,outlier_check
A3312400316225003_fuel_used_gallons,A3312400316225003,331240,Alakanuk,2015-09-01,2015,9,fuel_used_gallons,16662,outlier_check
A3312400316225003_diesel_kwh_generated,A3312400316225003,331240,Alakanuk,2015-09-01,2015,9,diesel_kwh_generated,178856,outlier_check
A3312400316225003_commercial_sold_to,A3312400316225003,331240,Alakanuk,2015-09-01,2015,9,commercial_sold_to,24582,outlier_check
A3312400416225003_fuel_used_gallons,A3312400416225003,331240,Alakanuk,2015-10-01,2015,10,fuel_used_gallons,16806,outlier_check
A3312400416225003_diesel_kwh_generated,A3312400416225003,331240,Alakanuk,2015-10-01,2015,10,diesel_kwh_generated,181913,outlier_check
A3312400416225003_commercial_sold_to,A3312400416225003,331240,Alakanuk,2015-10-01,2015,10,commercial_sold_to,23299,outlier_check
A3312400516225003_fuel_used_gallons,A3312400516225003,331240,Alakanuk,2015-11-01,2015,11,fuel_used_gallons,13776,outlier_check
A3312400516225003_diesel_kwh_generated,A3312400516225003,331240,Alakanuk,2015-11-01,2015,11,diesel_kwh_generated,196564,outlier_check
A3312400516225003_commercial_sold_to,A3312400516225003,331240,Alakanuk,2015-11-01,2015,11,commercial_sold_to,23763,outlier_check
A3312400616225003_diesel_kwh_generated,A3312400616225003,331240,Alakanuk,2015-12-01,2015,12,diesel_kwh_generated,214630,outlier_check
A3312400616225003_commercial_sold_to,A3312400616225003,331240,Alakanuk,2015-12-01,2015,12,commercial_sold_to,25113,outlier_check
A3312400716225003_fuel_used_gallons,A3312400716225003,331240,Alakanuk,2016-01-01,2016,1,fuel_used_gallons,15720,outlier_check
A3312400716225003_diesel_kwh_generated,A3312400716225003,331240,Alakanuk,2016-01-01,2016,1,diesel_kwh_generated,211743,outlier_check
A3312400716225003_commercial_sold_to,A3312400716225003,331240,Alakanuk,2016-01-01,2016,1,commercial_sold_to,25007,outlier_check
A3312400816225003_fuel_used_gallons,A3312400816225003,331240,Alakanuk,2016-02-01,2016,2,fuel_used_gallons,13782,outlier_check
A3312400816225003_diesel_kwh_generated,A3312400816225003,331240,Alakanuk,2016-02-01,2016,2,diesel_kwh_generated,187287,outlier_check
A3312400916225003_fuel_used_gallons,A3312400916225003,331240,Alakanuk,2016-03-01,2016,3,fuel_used_gallons,14196,outlier_check
A3312400916225003_diesel_kwh_generated,A3312400916225003,331240,Alakanuk,2016-03-01,2016,3,diesel_kwh_generated,188692,outlier_check
A3312401016225003_fuel_used_gallons,A3312401016225003,331240,Alakanuk,2016-04-01,2016,4,fuel_used_gallons,13309,outlier_check
A3312401016225003_diesel_kwh_generated,A3312401016225003,331240,Alakanuk,2016-04-01,2016,4,diesel_kwh_generated,182367,outlier_check
A3312401016225003_powerhouse_consumption_kwh,A3312401016225003,331240,Alakanuk,2016-04-01,2016,4,powerhouse_consumption_kwh,13266,outlier_check
A3312401116225003_fuel_used_gallons,A3312401116225003,331240,Alakanuk,2016-05-01,2016,5,fuel_used_gallons,12930,outlier_check
A3312401116225003_diesel_kwh_generated,A3312401116225003,331240,Alakanuk,2016-05-01,2016,5,diesel_kwh_generated,167393,outlier_check
A3312401116225003_powerhouse_consumption_kwh,A3312401116225003,331240,Alakanuk,2016-05-01,2016,5,powerhouse_consumption_kwh,10162,outlier_check
A3312401216225003_fuel_used_gallons,A3312401216225003,331240,Alakanuk,2016-06-01,2016,6,fuel_used_gallons,10763,outlier_check
A3312401216225003_diesel_kwh_generated,A3312401216225003,331240,Alakanuk,2016-06-01,2016,6,diesel_kwh_generated,143681,outlier_check
A3312401216225003_powerhouse_consumption_kwh,A3312401216225003,331240,Alakanuk,2016-06-01,2016,6,powerhouse_consumption_kwh,10245,outlier_check
