id,identifier,project_code,sales_reporting_name,date,calendar_year,calendar_month,column,raw_value,source,carry_forward,annual_average,avg_preceding_proceeding,avg_same_month_other_years,manual_override,decision,comment
A3310051023225003_diesel_kwh_generated,A3310051023225003,331005,Adak,2023-04-01,2023,4,diesel_kwh_generated,249556,outlier_check,137836,154424,185640,173570,NA,NA,NA
A3310050924225003_powerhouse_consumption_kwh,A3310050924225003,331005,Adak,2024-03-01,2024,3,powerhouse_consumption_kwh,77093,outlier_check,47732,33819,47732,26939,NA,NA,NA
A3310051024225003_powerhouse_consumption_kwh,A3310051024225003,331005,Adak,2024-04-01,2024,4,powerhouse_consumption_kwh,73471,outlier_check,NA,33819,NA,30111,NA,NA,NA
A3310051124225003_powerhouse_consumption_kwh,A3310051124225003,331005,Adak,2024-05-01,2024,5,powerhouse_consumption_kwh,67798,outlier_check,NA,33819,NA,25072,NA,NA,NA
A3310051224225003_powerhouse_consumption_kwh,A3310051224225003,331005,Adak,2024-06-01,2024,6,powerhouse_consumption_kwh,63535,outlier_check,NA,33819,53144,24117,NA,NA,NA
A3310050426225003_fuel_used_gallons,A3310050426225003,331005,Adak,2025-10-01,2025,10,fuel_used_gallons,5363,outlier_check,8345,10458,8345,12725,NA,NA,NA
A3310050426225003_diesel_kwh_generated,A3310050426225003,331005,Adak,2025-10-01,2025,10,diesel_kwh_generated,59230,outlier_check,106620,120605,106620,154403,NA,NA,NA
A3310050526225003_fuel_used_gallons,A3310050526225003,331005,Adak,2025-11-01,2025,11,fuel_used_gallons,5618,outlier_check,NA,10458,6830,13699,NA,NA,NA
A3310050526225003_diesel_kwh_generated,A3310050526225003,331005,Adak,2025-11-01,2025,11,diesel_kwh_generated,56322,outlier_check,NA,120605,NA,162467,NA,NA,NA
A3310050526225003_peak_consumption_kw,A3310050526225003,331005,Adak,2025-11-01,2025,11,peak_consumption_kw,0,outlier_check,180,218,185,256,NA,NA,NA
A3310050626225003_diesel_kwh_generated,A3310050626225003,331005,Adak,2025-12-01,2025,12,diesel_kwh_generated,82170,outlier_check,NA,120605,98810,165811,NA,NA,NA
A3310051126225003_fuel_used_gallons,A3310051126225003,331005,Adak,2026-05-01,2026,5,fuel_used_gallons,5639,outlier_check,8746,8390,8196,13703,NA,NA,NA
A3310051126225003_diesel_kwh_generated,A3310051126225003,331005,Adak,2026-05-01,2026,5,diesel_kwh_generated,67375,outlier_check,106298,101153,106298,170996,NA,NA,NA
A3310051226225003_diesel_kwh_generated,A3310051226225003,331005,Adak,2026-06-01,2026,6,diesel_kwh_generated,79998,outlier_check,NA,101153,88069,160558,NA,NA,NA
A3310050127225003_peak_consumption_kw,A3310050127225003,331005,Adak,2026-07-01,2026,7,peak_consumption_kw,0,outlier_check,150,176,150,241,NA,NA,NA
A3310100819225003_residential_sold_to,A3310100819225003,331010,Akhiok,2019-02-01,2019,2,residential_sold_to,18895,outlier_check,7452,6822,7584,6749,NA,NA,NA
A3310100821225003_fuel_used_gallons,A3310100821225003,331010,Akhiok,2021-02-01,2021,2,fuel_used_gallons,0,outlier_check,2235,2183,2235,2591,NA,NA,NA
A3310100821225003_fuel_cost,A3310100821225003,331010,Akhiok,2021-02-01,2021,2,fuel_cost,0,outlier_check,8580.39,8470,12876,9729,NA,NA,NA
A3310100921225003_fuel_used_gallons,A3310100921225003,331010,Akhiok,2021-03-01,2021,3,fuel_used_gallons,4473,outlier_check,NA,2183,1686,2584,NA,NA,NA
A3310100122225003_fuel_used_gallons,A3310100122225003,331010,Akhiok,2021-07-01,2021,7,fuel_used_gallons,1165,outlier_check,2909,2183,2909,2364,NA,NA,NA
A3310100222225003_pce_eligible_residential_kwh,A3310100222225003,331010,Akhiok,2021-08-01,2021,8,pce_eligible_residential_kwh,621,outlier_check,5033,6008,5866,7394,NA,NA,NA
A3310100222225003_fuel_used_gallons,A3310100222225003,331010,Akhiok,2021-08-01,2021,8,fuel_used_gallons,1165,outlier_check,NA,2183,1255,2441,NA,NA,NA
A3310100622225003_commercial_sold_to,A3310100622225003,331010,Akhiok,2021-12-01,2021,12,commercial_sold_to,19102,outlier_check,14143,10752,12496,10099,NA,NA,NA
A3310100822225003_powerhouse_consumption_kwh,A3310100822225003,331010,Akhiok,2022-02-01,2022,2,powerhouse_consumption_kwh,5199,outlier_check,774,842,774,817,NA,NA,NA
A3310100922225003_powerhouse_consumption_kwh,A3310100922225003,331010,Akhiok,2022-03-01,2022,3,powerhouse_consumption_kwh,3787,outlier_check,NA,842,869,880,NA,NA,NA
A3310100123225003_fuel_used_gallons,A3310100123225003,331010,Akhiok,2022-07-01,2022,7,fuel_used_gallons,0,outlier_check,2250,2692,2505,2364,NA,NA,NA
A3310100123225003_fuel_cost,A3310100123225003,331010,Akhiok,2022-07-01,2022,7,fuel_cost,0,outlier_check,7673.85,9387,8544,8165,NA,NA,NA
A3310100923225003_peak_consumption_kw,A3310100923225003,331010,Akhiok,2023-03-01,2023,3,peak_consumption_kw,2202,outlier_check,101,65,78,40,NA,NA,NA
A3310101223225003_residential_sold_to,A3310101223225003,331010,Akhiok,2023-06-01,2023,6,residential_sold_to,14682,outlier_check,2836,7193,7065,7232,NA,NA,NA
A3310100524225003_fuel_used_gallons,A3310100524225003,331010,Akhiok,2023-11-01,2023,11,fuel_used_gallons,0,outlier_check,2760,2760,2760,2622,NA,NA,NA
A3310100524225003_fuel_cost,A3310100524225003,331010,Akhiok,2023-11-01,2023,11,fuel_cost,0,outlier_check,9413.26,9413,9413,10000,NA,NA,NA
A3310100724225003_diesel_kwh_generated,A3310100724225003,331010,Akhiok,2024-01-01,2024,1,diesel_kwh_generated,45738,outlier_check,NA,29050,25738,24199,NA,NA,NA
A3310100724225003_powerhouse_consumption_kwh,A3310100724225003,331010,Akhiok,2024-01-01,2024,1,powerhouse_consumption_kwh,3852,outlier_check,NA,1481,2160,769,NA,NA,NA
A3310100724225003_govt_facil_sold_to,A3310100724225003,331010,Akhiok,2024-01-01,2024,1,govt_facil_sold_to,1269,outlier_check,NA,546,655,552,NA,NA,NA
A3310101224225003_fuel_used_gallons,A3310101224225003,331010,Akhiok,2024-06-01,2024,6,fuel_used_gallons,0,outlier_check,2760,2801,2760,2369,NA,NA,NA
A3310101224225003_fuel_cost,A3310101224225003,331010,Akhiok,2024-06-01,2024,6,fuel_cost,0,outlier_check,9413.26,9552,9413,9343,NA,NA,NA
A3310100425225003_diesel_kwh_generated,A3310100425225003,331010,Akhiok,2024-10-01,2024,10,diesel_kwh_generated,71382,outlier_check,24609,29050,19332,23788,NA,NA,NA
A3310100425225003_powerhouse_consumption_kwh,A3310100425225003,331010,Akhiok,2024-10-01,2024,10,powerhouse_consumption_kwh,4801,outlier_check,0,1481,641,883,NA,NA,NA
A3310100226225003_fuel_used_gallons,A3310100226225003,331010,Akhiok,2025-08-01,2025,8,fuel_used_gallons,0,outlier_check,2760,2777,2760,2441,NA,NA,NA
A3310100226225003_diesel_kwh_generated,A3310100226225003,331010,Akhiok,2025-08-01,2025,8,diesel_kwh_generated,0,outlier_check,23081,25818,28375,21809,NA,NA,NA
A3310100226225003_fuel_cost,A3310100226225003,331010,Akhiok,2025-08-01,2025,8,fuel_cost,0,outlier_check,9413.26,9471,9413,8429,NA,NA,NA
A3310100626225003_govt_facil_sold_to,A3310100626225003,331010,Akhiok,2025-12-01,2025,12,govt_facil_sold_to,1163,outlier_check,869,588,760,684,NA,NA,NA
A3310200118225003_residential_customers,A3310200118225003,331020,Akiachak,2017-07-01,2017,7,residential_customers,136,outlier_check,191,190,190,193,NA,NA,NA
A3310200320225003_diesel_kwh_generated,A3310200320225003,331020,Akiachak,2019-09-01,2019,9,diesel_kwh_generated,0,outlier_check,149198,157619,154616,159011,NA,NA,NA
A3310201221225003_powerhouse_consumption_kwh,A3310201221225003,331020,Akiachak,2021-06-01,2021,6,powerhouse_consumption_kwh,6129,outlier_check,5828,4261,5895,3030,NA,NA,NA
A3310201122225003_diesel_kwh_generated,A3310201122225003,331020,Akiachak,2022-05-01,2022,5,diesel_kwh_generated,0,outlier_check,199654,180599,199654,147810,NA,NA,NA
A3310201122225003_peak_consumption_kw,A3310201122225003,331020,Akiachak,2022-05-01,2022,5,peak_consumption_kw,0,outlier_check,383,449,383,398,NA,NA,NA
A3310201222225003_diesel_kwh_generated,A3310201222225003,331020,Akiachak,2022-06-01,2022,6,diesel_kwh_generated,0,outlier_check,NA,180599,128521,126902,NA,NA,NA
A3310201222225003_peak_consumption_kw,A3310201222225003,331020,Akiachak,2022-06-01,2022,6,peak_consumption_kw,0,outlier_check,NA,449,NA,368,NA,NA,NA
A3310200123225003_peak_consumption_kw,A3310200123225003,331020,Akiachak,2022-07-01,2022,7,peak_consumption_kw,0,outlier_check,NA,449,420,357,NA,NA,NA
A3310200223225003_powerhouse_consumption_kwh,A3310200223225003,331020,Akiachak,2022-08-01,2022,8,powerhouse_consumption_kwh,8293,outlier_check,0,2793,2000,3885,NA,NA,NA
A3310200323225003_unbilled_sold_to,A3310200323225003,331020,Akiachak,2022-09-01,2022,9,unbilled_sold_to,95852,outlier_check,2266,3785,3506,4057,NA,NA,NA
A3310200524225003_fuel_used_gallons,A3310200524225003,331020,Akiachak,2023-11-01,2023,11,fuel_used_gallons,19885,outlier_check,15149,12894,15149,12389,NA,NA,NA
A3310200524225003_fuel_cost,A3310200524225003,331020,Akiachak,2023-11-01,2023,11,fuel_cost,85175.41,outlier_check,64889.23,54083,64889,45033,NA,NA,NA
A3310200624225003_fuel_used_gallons,A3310200624225003,331020,Akiachak,2023-12-01,2023,12,fuel_used_gallons,18581,outlier_check,NA,12894,16499,13136,NA,NA,NA
A3310200624225003_fuel_cost,A3310200624225003,331020,Akiachak,2023-12-01,2023,12,fuel_cost,79589.86,outlier_check,NA,54083,70672,46762,NA,NA,NA
A3310200925225003_wind_kwh_generated,A3310200925225003,331020,Akiachak,2025-03-01,2025,3,wind_kwh_generated,15919,outlier_check,7295,3969,7295,0,NA,NA,NA
A3310201025225003_wind_kwh_generated,A3310201025225003,331020,Akiachak,2025-04-01,2025,4,wind_kwh_generated,25928,outlier_check,NA,3969,NA,0,NA,NA,NA
A3310201125225003_wind_kwh_generated,A3310201125225003,331020,Akiachak,2025-05-01,2025,5,wind_kwh_generated,21949,outlier_check,NA,3969,NA,0,NA,NA,NA
A3310201225225003_wind_kwh_generated,A3310201225225003,331020,Akiachak,2025-06-01,2025,6,wind_kwh_generated,19353,outlier_check,NA,3969,NA,0,NA,NA,NA
A3310200126225003_wind_kwh_generated,A3310200126225003,331020,Akiachak,2025-07-01,2025,7,wind_kwh_generated,16988,outlier_check,NA,3969,NA,0,NA,NA,NA
A3310200226225003_wind_kwh_generated,A3310200226225003,331020,Akiachak,2025-08-01,2025,8,wind_kwh_generated,15280,outlier_check,NA,3969,NA,0,NA,NA,NA
A3310200326225003_wind_kwh_generated,A3310200326225003,331020,Akiachak,2025-09-01,2025,9,wind_kwh_generated,19003,outlier_check,NA,3969,8396,0,NA,NA,NA
A3310200826225003_wind_kwh_generated,A3310200826225003,331020,Akiachak,2026-02-01,2026,2,wind_kwh_generated,12860,outlier_check,4601,4601,4601,3648,NA,NA,NA
A3310200926225003_wind_kwh_generated,A3310200926225003,331020,Akiachak,2026-03-01,2026,3,wind_kwh_generated,37362,outlier_check,NA,4601,NA,0,NA,NA,NA
A3310201026225003_wind_kwh_generated,A3310201026225003,331020,Akiachak,2026-04-01,2026,4,wind_kwh_generated,25342,outlier_check,NA,4601,NA,0,NA,NA,NA
A3310201126225003_wind_kwh_generated,A3310201126225003,331020,Akiachak,2026-05-01,2026,5,wind_kwh_generated,27737,outlier_check,NA,4601,NA,0,NA,NA,NA
A3310201226225003_wind_kwh_generated,A3310201226225003,331020,Akiachak,2026-06-01,2026,6,wind_kwh_generated,24842,outlier_check,NA,4601,NA,0,NA,NA,NA
A3310200127225003_wind_kwh_generated,A3310200127225003,331020,Akiachak,2026-07-01,2026,7,wind_kwh_generated,17278,outlier_check,NA,4601,NA,0,NA,NA,NA
A3310300818225003_fuel_used_gallons,A3310300818225003,331030,Akiak,2018-02-01,2018,2,fuel_used_gallons,17318,outlier_check,9243,7772,8862,8188,NA,NA,NA
A3310300818225003_powerhouse_consumption_kwh,A3310300818225003,331030,Akiak,2018-02-01,2018,2,powerhouse_consumption_kwh,5126,outlier_check,2571,2731,2596,2425,NA,NA,NA
A3310301018225003_pce_eligible_community_kwh,A3310301018225003,331030,Akiak,2018-04-01,2018,4,pce_eligible_community_kwh,13983,outlier_check,3502,2388,3502,2978,NA,NA,NA
A3310301118225003_pce_eligible_community_kwh,A3310301118225003,331030,Akiak,2018-05-01,2018,5,pce_eligible_community_kwh,11698,outlier_check,NA,2388,2069,2762,NA,NA,NA
A3310300819225003_diesel_kwh_generated,A3310300819225003,331030,Akiak,2019-02-01,2019,2,diesel_kwh_generated,0,outlier_check,117042,97895,114581,98484,NA,NA,NA
A3310300819225003_powerhouse_consumption_kwh,A3310300819225003,331030,Akiak,2019-02-01,2019,2,powerhouse_consumption_kwh,0,outlier_check,2562,2679,2556,2425,NA,NA,NA
A3310301119225003_diesel_kwh_generated,A3310301119225003,331030,Akiak,2019-05-01,2019,5,diesel_kwh_generated,0,outlier_check,103661,97895,90170,89281,NA,NA,NA
A3310301119225003_powerhouse_consumption_kwh,A3310301119225003,331030,Akiak,2019-05-01,2019,5,powerhouse_consumption_kwh,0,outlier_check,2515,2679,2644,2566,NA,NA,NA
A3310300620225003_fuel_used_gallons,A3310300620225003,331030,Akiak,2019-12-01,2019,12,fuel_used_gallons,0,outlier_check,8311,7696,9008,8675,NA,NA,NA
A3310300521225003_diesel_kwh_generated,A3310300521225003,331030,Akiak,2020-11-01,2020,11,diesel_kwh_generated,0,outlier_check,108495,99752,104335,116848,NA,NA,NA
A3310300521225003_powerhouse_consumption_kwh,A3310300521225003,331030,Akiak,2020-11-01,2020,11,powerhouse_consumption_kwh,0,outlier_check,2744,2710,2990,2626,NA,NA,NA
A3310300123225003_powerhouse_consumption_kwh,A3310300123225003,331030,Akiak,2022-07-01,2022,7,powerhouse_consumption_kwh,0,outlier_check,NA,NA,NA,3050,NA,NA,NA
A3310300123225003_govt_facil_sold_to,A3310300123225003,331030,Akiak,2022-07-01,2022,7,govt_facil_sold_to,54459,outlier_check,NA,2352,1199,1505,NA,NA,NA
A3310300223225003_diesel_kwh_generated,A3310300223225003,331030,Akiak,2022-08-01,2022,8,diesel_kwh_generated,314056,outlier_check,122632,102944,108514,101280,NA,NA,NA
A3310300223225003_powerhouse_consumption_kwh,A3310300223225003,331030,Akiak,2022-08-01,2022,8,powerhouse_consumption_kwh,0,outlier_check,NA,NA,NA,2725,NA,NA,NA
A3310300223225003_commercial_sold_to,A3310300223225003,331030,Akiak,2022-08-01,2022,8,commercial_sold_to,267666,outlier_check,21097,34877,35515,46004,NA,NA,NA
A3310300323225003_powerhouse_consumption_kwh,A3310300323225003,331030,Akiak,2022-09-01,2022,9,powerhouse_consumption_kwh,0,outlier_check,NA,NA,NA,2610,NA,NA,NA
A3310300423225003_powerhouse_consumption_kwh,A3310300423225003,331030,Akiak,2022-10-01,2022,10,powerhouse_consumption_kwh,0,outlier_check,NA,NA,NA,2653,NA,NA,NA
A3310300523225003_powerhouse_consumption_kwh,A3310300523225003,331030,Akiak,2022-11-01,2022,11,powerhouse_consumption_kwh,0,outlier_check,NA,NA,NA,2626,NA,NA,NA
A3310300623225003_powerhouse_consumption_kwh,A3310300623225003,331030,Akiak,2022-12-01,2022,12,powerhouse_consumption_kwh,0,outlier_check,NA,NA,NA,2680,NA,NA,NA
A3310300723225003_powerhouse_consumption_kwh,A3310300723225003,331030,Akiak,2023-01-01,2023,1,powerhouse_consumption_kwh,0,outlier_check,NA,NA,NA,2550,NA,NA,NA
A3310300823225003_powerhouse_consumption_kwh,A3310300823225003,331030,Akiak,2023-02-01,2023,2,powerhouse_consumption_kwh,0,outlier_check,NA,NA,NA,2425,NA,NA,NA
A3310300124225003_powerhouse_consumption_kwh,A3310300124225003,331030,Akiak,2023-07-01,2023,7,powerhouse_consumption_kwh,0,outlier_check,NA,NA,NA,3050,NA,NA,NA
A3310300224225003_pce_eligible_residential_kwh,A3310300224225003,331030,Akiak,2023-08-01,2023,8,pce_eligible_residential_kwh,54686,outlier_check,36762,33204,29930,30440,NA,NA,NA
A3310300224225003_amount,A3310300224225003,331030,Akiak,2023-08-01,2023,8,amount,19035.54,outlier_check,12526.93,11601,10288,7752,NA,NA,NA
A3310300224225003_fuel_used_gallons,A3310300224225003,331030,Akiak,2023-08-01,2023,8,fuel_used_gallons,21098,outlier_check,7000,9349,7778,7212,NA,NA,NA
A3310300224225003_powerhouse_consumption_kwh,A3310300224225003,331030,Akiak,2023-08-01,2023,8,powerhouse_consumption_kwh,0,outlier_check,NA,NA,NA,2725,NA,NA,NA
A3310300224225003_residential_sold_to,A3310300224225003,331030,Akiak,2023-08-01,2023,8,residential_sold_to,106044,outlier_check,41871,37131,32581,33826,NA,NA,NA
A3310300224225003_unbilled_sold_to,A3310300224225003,331030,Akiak,2023-08-01,2023,8,unbilled_sold_to,3461,outlier_check,1266,1197,1088,559,NA,NA,NA
A3310300224225003_fuel_cost,A3310300224225003,331030,Akiak,2023-08-01,2023,8,fuel_cost,100415.93,outlier_check,33316.5,44498,37017,28618,NA,NA,NA
A3310300324225003_diesel_kwh_generated,A3310300324225003,331030,Akiak,2023-09-01,2023,9,diesel_kwh_generated,214987,outlier_check,164626,122045,164626,99241,NA,NA,NA
A3310300324225003_powerhouse_consumption_kwh,A3310300324225003,331030,Akiak,2023-09-01,2023,9,powerhouse_consumption_kwh,0,outlier_check,NA,NA,NA,2610,NA,NA,NA
A3310300324225003_commercial_sold_to,A3310300324225003,331030,Akiak,2023-09-01,2023,9,commercial_sold_to,166922,outlier_check,27475,41694,27475,39584,NA,NA,NA
A3310300924225003_pce_eligible_residential_kwh,A3310300924225003,331030,Akiak,2024-03-01,2024,3,pce_eligible_residential_kwh,62686,outlier_check,NA,37206,NA,30038,NA,NA,NA
A3310300924225003_pce_eligible_community_kwh,A3310300924225003,331030,Akiak,2024-03-01,2024,3,pce_eligible_community_kwh,14927,outlier_check,NA,2680,NA,3056,NA,NA,NA
A3310300924225003_amount,A3310300924225003,331030,Akiak,2024-03-01,2024,3,amount,25015.59,outlier_check,NA,14608,NA,9267,NA,NA,NA
A3310300924225003_diesel_kwh_generated,A3310300924225003,331030,Akiak,2024-03-01,2024,3,diesel_kwh_generated,799823,outlier_check,NA,101460,NA,112011,NA,NA,NA
A3310300924225003_powerhouse_consumption_kwh,A3310300924225003,331030,Akiak,2024-03-01,2024,3,powerhouse_consumption_kwh,0,outlier_check,NA,2536,NA,2577,NA,NA,NA
A3310300924225003_residential_sold_to,A3310300924225003,331030,Akiak,2024-03-01,2024,3,residential_sold_to,260475,outlier_check,NA,42304,NA,35089,NA,NA,NA
A3310300924225003_commercial_sold_to,A3310300924225003,331030,Akiak,2024-03-01,2024,3,commercial_sold_to,294257,outlier_check,NA,22280,NA,34236,NA,NA,NA
A3310300924225003_com_facil_sold_to,A3310300924225003,331030,Akiak,2024-03-01,2024,3,com_facil_sold_to,212495,outlier_check,NA,16762,NA,14938,NA,NA,NA
A3310300924225003_govt_facil_sold_to,A3310300924225003,331030,Akiak,2024-03-01,2024,3,govt_facil_sold_to,22135,outlier_check,NA,2550,NA,3041,NA,NA,NA
A3310300924225003_unbilled_sold_to,A3310300924225003,331030,Akiak,2024-03-01,2024,3,unbilled_sold_to,10461,outlier_check,NA,1342,NA,815,NA,NA,NA
A3310300225225003_pce_eligible_residential_kwh,A3310300225225003,331030,Akiak,2024-08-01,2024,8,pce_eligible_residential_kwh,51632,outlier_check,NA,37206,39186,30440,NA,NA,NA
A3310300225225003_amount,A3310300225225003,331030,Akiak,2024-08-01,2024,8,amount,18548.75,outlier_check,NA,14608,13600,7752,NA,NA,NA
A3310300225225003_fuel_used_gallons,A3310300225225003,331030,Akiak,2024-08-01,2024,8,fuel_used_gallons,25572,outlier_check,NA,7524,6656,7212,NA,NA,NA
A3310300225225003_diesel_kwh_generated,A3310300225225003,331030,Akiak,2024-08-01,2024,8,diesel_kwh_generated,267575,outlier_check,NA,101460,133802,101280,NA,NA,NA
A3310300225225003_powerhouse_consumption_kwh,A3310300225225003,331030,Akiak,2024-08-01,2024,8,powerhouse_consumption_kwh,9914,outlier_check,NA,2536,2322,2725,NA,NA,NA
A3310300225225003_residential_sold_to,A3310300225225003,331030,Akiak,2024-08-01,2024,8,residential_sold_to,98245,outlier_check,NA,42304,52902,33826,NA,NA,NA
A3310300225225003_fuel_cost,A3310300225225003,331030,Akiak,2024-08-01,2024,8,fuel_cost,123397.69,outlier_check,NA,47973,32119,28618,NA,NA,NA
A3310300525225003_pce_eligible_community_kwh,A3310300525225003,331030,Akiak,2024-11-01,2024,11,pce_eligible_community_kwh,12370,outlier_check,843,2680,843,3114,NA,NA,NA
A3310300525225003_fuel_cost,A3310300525225003,331030,Akiak,2024-11-01,2024,11,fuel_cost,75525,outlier_check,68742,47973,68742,34086,NA,NA,NA
A3310300625225003_pce_eligible_community_kwh,A3310300625225003,331030,Akiak,2024-12-01,2024,12,pce_eligible_community_kwh,14446,outlier_check,NA,2680,NA,2848,NA,NA,NA
A3310300625225003_amount,A3310300625225003,331030,Akiak,2024-12-01,2024,12,amount,18652.3,outlier_check,16671.29,14608,16671,9498,NA,NA,NA
A3310300625225003_fuel_cost,A3310300625225003,331030,Akiak,2024-12-01,2024,12,fuel_cost,78394,outlier_check,NA,47973,NA,25716,NA,NA,NA
A3310300725225003_pce_eligible_community_kwh,A3310300725225003,331030,Akiak,2025-01-01,2025,1,pce_eligible_community_kwh,20343,outlier_check,NA,NA,NA,3056,NA,NA,NA
A3310300725225003_amount,A3310300725225003,331030,Akiak,2025-01-01,2025,1,amount,23196.72,outlier_check,NA,17184,16597,9719,NA,NA,NA
A3310300725225003_fuel_cost,A3310300725225003,331030,Akiak,2025-01-01,2025,1,fuel_cost,79762,outlier_check,NA,62168,NA,34010,NA,NA,NA
A3310300825225003_pce_eligible_community_kwh,A3310300825225003,331030,Akiak,2025-02-01,2025,2,pce_eligible_community_kwh,8915,outlier_check,NA,NA,NA,2634,NA,NA,NA
A3310300825225003_fuel_cost,A3310300825225003,331030,Akiak,2025-02-01,2025,2,fuel_cost,73349.5,outlier_check,NA,62168,NA,37376,NA,NA,NA
A3310300925225003_pce_eligible_community_kwh,A3310300925225003,331030,Akiak,2025-03-01,2025,3,pce_eligible_community_kwh,19939,outlier_check,NA,NA,NA,3056,NA,NA,NA
A3310300925225003_amount,A3310300925225003,331030,Akiak,2025-03-01,2025,3,amount,25128.99,outlier_check,16597.35,17184,17184,9267,NA,NA,NA
A3310300925225003_fuel_cost,A3310300925225003,331030,Akiak,2025-03-01,2025,3,fuel_cost,83847,outlier_check,NA,62168,58206,29680,NA,NA,NA
A3310301025225003_pce_eligible_community_kwh,A3310301025225003,331030,Akiak,2025-04-01,2025,4,pce_eligible_community_kwh,11077,outlier_check,NA,NA,NA,2978,NA,NA,NA
A3310301125225003_pce_eligible_community_kwh,A3310301125225003,331030,Akiak,2025-05-01,2025,5,pce_eligible_community_kwh,11443,outlier_check,NA,NA,NA,2762,NA,NA,NA
A3310301125225003_amount,A3310301125225003,331030,Akiak,2025-05-01,2025,5,amount,20852.87,outlier_check,17771.36,17184,17771,8603,NA,NA,NA
A3310301125225003_fuel_cost,A3310301125225003,331030,Akiak,2025-05-01,2025,5,fuel_cost,97403.5,outlier_check,58206.5,62168,58206,30133,NA,NA,NA
A3310300126225003_pce_eligible_residential_kwh,A3310300126225003,331030,Akiak,2025-07-01,2025,7,pce_eligible_residential_kwh,50519,outlier_check,NA,35554,27959,26988,NA,NA,NA
A3310300126225003_pce_eligible_community_kwh,A3310300126225003,331030,Akiak,2025-07-01,2025,7,pce_eligible_community_kwh,15876,outlier_check,NA,NA,NA,1413,NA,NA,NA
