identifier,project_code,sales_reporting_name,date,calendar_year,calendar_month,column,raw_value,median_val,mad_score,anomaly_severity
A3310051023225003,331005,Adak,2023-04-01,2023,4,diesel_kwh_generated,249556,164652,5,Strong
A3310050924225003,331005,Adak,2024-03-01,2024,3,powerhouse_consumption_kwh,77093,26234,7,Strong
A3310051024225003,331005,Adak,2024-04-01,2024,4,powerhouse_consumption_kwh,73471,26234,7,Strong
A3310051124225003,331005,Adak,2024-05-01,2024,5,powerhouse_consumption_kwh,67798,26234,6,Strong
A3310051224225003,331005,Adak,2024-06-01,2024,6,powerhouse_consumption_kwh,63535,26234,5,Strong
A3310050426225003,331005,Adak,2025-10-01,2025,10,fuel_used_gallons,5363,13435,5,Strong
A3310050426225003,331005,Adak,2025-10-01,2025,10,diesel_kwh_generated,59230,164652,6,Strong
A3310050526225003,331005,Adak,2025-11-01,2025,11,fuel_used_gallons,5618,13435,5,Strong
A3310050526225003,331005,Adak,2025-11-01,2025,11,diesel_kwh_generated,56322,164652,6,Strong
A3310050626225003,331005,Adak,2025-12-01,2025,12,diesel_kwh_generated,82170,164652,5,Strong
A3310051126225003,331005,Adak,2026-05-01,2026,5,fuel_used_gallons,5639,13435,5,Strong
A3310051126225003,331005,Adak,2026-05-01,2026,5,diesel_kwh_generated,67375,164652,5,Strong
A3310051226225003,331005,Adak,2026-06-01,2026,6,diesel_kwh_generated,79998,164652,5,Strong
A3310100819225003,331010,Akhiok,2019-02-01,2019,2,residential_sold_to,18895,7292,8,Strong
A3310100921225003,331010,Akhiok,2021-03-01,2021,3,fuel_used_gallons,4473,2760,5,Strong
A3310100122225003,331010,Akhiok,2021-07-01,2021,7,fuel_used_gallons,1165,2760,5,Strong
A3310100222225003,331010,Akhiok,2021-08-01,2021,8,fuel_used_gallons,1165,2760,5,Strong
A3310100322225003,331010,Akhiok,2021-09-01,2021,9,fuel_used_gallons,1255,2760,5,Strong
A3310100622225003,331010,Akhiok,2021-12-01,2021,12,commercial_sold_to,19102,9096,5,Strong
A3310100822225003,331010,Akhiok,2022-02-01,2022,2,powerhouse_consumption_kwh,5199,869,5,Strong
A3310100923225003,331010,Akhiok,2023-03-01,2023,3,peak_consumption_kw,2202,60,63,Extreme
A3310101223225003,331010,Akhiok,2023-06-01,2023,6,residential_sold_to,14682,7292,5,Strong
