intertie_id,Intertie Unique ID Name,Current ID,Communities Intertied,Month of interite,Year of intertie,AEA energy region,Source
186-0000,Adak_grid,TRUE,Adak,NA,NA,Aleutians,NA
001-0000,Akhiok_grid,TRUE,Akhiok,NA,NA,Kodiak,NA
002-0000,Akiachak_grid,TRUE,Akiachak,NA,NA,Lower Yukon-Kuskokwim,NA
003-0000,Akiak_grid,TRUE,Akiak,NA,NA,Lower Yukon-Kuskokwim,NA
004-0000,Akutan_grid,TRUE,Akutan,NA,NA,Aleutians,NA
218-0000,Alakanuk_grid,FALSE,Alakanuk,NA,NA,Lower Yukon-Kuskokwim,NA
005-0000,Allakaket_grid,TRUE,"Allakaket, Alatna",NA,NA,Yukon-Koyukuk/Upper Tanana,NA
035-0000,Ambler_grid,TRUE,Ambler,NA,NA,Northwest Arctic,NA
160-0000,Anaktuvuk Pass_grid,TRUE,Anaktuvuk Pass,NA,NA,North Slope,NA
125-0000,Angoon_grid,TRUE,Angoon,NA,NA,Southeast,NA
093-0000,Aniak_grid,TRUE,Aniak,NA,NA,Lower Yukon-Kuskokwim,NA
036-0000,Anvik_grid,TRUE,Anvik,NA,NA,Yukon-Koyukuk/Upper Tanana,NA
094-0000,Arctic Village_grid,TRUE,Arctic Village,NA,NA,Yukon-Koyukuk/Upper Tanana,NA
095-0000,Atka_grid,TRUE,Atka,NA,NA,Aleutians,NA
096-0000,Atmautluak_grid,TRUE,Atmautluak,NA,NA,Lower Yukon-Kuskokwim,NA
161-0000,Atqasuk_grid,TRUE,Atqasuk,NA,NA,North Slope,NA
097-0000,Beaver_grid,TRUE,Beaver,NA,NA,Yukon-Koyukuk/Upper Tanana,NA
034-1980,Bethel_grid,FALSE,Bethel; Napakiak,NA,1980,Lower Yukon-Kuskokwim,NA
034-1988,Bethel_grid,TRUE,"Bethel, Oscarville; Napakiak",NA,1988,Lower Yukon-Kuskokwim,NA
007-0000,Bettles_grid,TRUE,"Bettles, Evansville",NA,NA,Yukon-Koyukuk/Upper Tanana,NA
