AK Plant ID,eia_plant_id,PCE reporting ID,plant_name,OPERATOR_AK_operator Id,eia_operator_id,OPERATOR_Operator_name,INTERTIE_Current Intertie ID,INTERTIE_Current Intertie name,combined_heat_power,Grid Primary voltage (kV),Grid Primary voltage 2 (kV),Phases,Latitude,longitude,Notes
P251,NA,331005,Adak,AK-OP-088,NA,TDX Adak Generating LLC,186-0000,Adak_grid,FALSE,2.4,NA,NA,51.8725,-176.62861,NA
P107,NA,331750,Atka,AK-OP-011,NA,"Atka, City of",095-0000,Atka_grid,TRUE,7.2,NA,3,52.19611,-174.20056,NA
P261,NA,332740,Nikolski,AK-OP-096,NA,Umnak Power Company,193-0000,Nikolski_grid,TRUE,7.2,NA,NA,52.93806,-168.86778,NA
P271,54305,NA,Westward Seafoods,AK-OP-128,20523,Westward Seafoods Inc,195-0000,Unalaska_grid,TRUE,4.16,NA,3,53.858508,-166.55288,NA
P264,7503,NA,Unalaska Power Module,AK-OP-097,19454,"Unalaska, City of",195-0000,Unalaska_grid,TRUE,4.16,NA,3,53.863993,-166.512591,NA
P291,NA,332860,Unalaska,AK-OP-097,19454,"Unalaska, City of",195-0000,Unalaska_grid,TRUE,NA,NA,3,53.863993,-166.512591,Inlcudes EIA Unalaska Power Module and Dutch Harbor
P266,54422,NA,Unisea G 2,AK-OP-126,19553,Unisea Inc,195-0000,Unalaska_grid,FALSE,12.4,NA,NA,53.8796,-166.5532,NA
P263,7502,NA,Dutch Harbor,AK-OP-097,19454,"Unalaska, City of",195-0000,Unalaska_grid,TRUE,4.16,NA,3,53.892459,-166.538185,NA
P5,NA,331040,Akutan,AK-OP-004,NA,"Akutan, City of",004-0000,Akutan_grid,FALSE,7.2,NA,3,54.13556,-165.77306,NA
P141,NA,331970,False Pass,AK-OP-032,NA,"False Pass, City of",113-0000,False Pass_grid,TRUE,7.2,NA,NA,54.85394,-163.40883,NA
P177,7493,332070,King Cove,AK-OP-043,9897,"King Cove, City of",131-0000,King Cove_grid,TRUE,0.48,NA,3,55.061683,-162.3103,NA
P201,6302,NA,Purple Lake,AK-OP-108,12385,Metlakatla Power & Light,225_0000,Metlakatla_grid,FALSE,12.47,NA,3,55.091263,-131.544978,NA
P200,7168,NA,Chester Lake,AK-OP-108,12385,Metlakatla Power & Light,225_0000,Metlakatla_grid,FALSE,12.47,NA,3,55.116879,-131.545879,NA
P199,7112,NA,Centennial,AK-OP-108,12385,Metlakatla Power & Light,225_0000,Metlakatla_grid,FALSE,12.47,NA,3,55.121433,-131.560267,NA
P143,NA,331980,Cold Bay,AK-OP-034,NA,G & K Inc,114-0000,Cold Bay_grid,FALSE,7.2,NA,NA,55.18583,-162.72111,NA
P23,423,331150,Hydaburg,AK-OP-005,219,Alaska Power & Telephone Company,023-2015,Prince of Wales Is._grid,FALSE,2.4,NA,3,55.204937,-132.821435,NA
P176,58977,NA,Whitman,AK-OP-131,10210,Ketchikan Public Utilities,217-2009,SEAPA_grid,FALSE,34.5,NA,3,55.328056,-131.530833,NA
P295,1,332540,Sand Point,AK-OP-089,63560,"Sand Point Generating, LLC",187-0000,Sand Point_grid,TRUE,7.2,NA,3,55.339722,-160.497222,NA
P172,84,NA,Ketchikan,AK-OP-131,10210,Ketchikan Public Utilities,217-2009,SEAPA_grid,FALSE,34.5,NA,3,55.344641,-131.633425,NA
P173,85,NA,S W Bailey,AK-OP-131,10210,Ketchikan Public Utilities,217-2009,SEAPA_grid,FALSE,34.5,NA,3,55.357397,-131.69696,NA
P171,6580,NA,Beaver Falls,AK-OP-131,10210,Ketchikan Public Utilities,217-2009,SEAPA_grid,FALSE,34.5,NA,3,55.37975,-131.470269,NA
