Project Code,Utility,AK_operator Id,...4,...5
331005,TDX ADAK GENERATING LLC,AK-OP-088,TDX Adak Generating LLC,NA
331010,AKHIOK/KAGUYAK ELECTRIC,AK-OP-001,"Akhiok, City of",NA
331020,AKIACHAK NATIVE COMMUNITY,AK-OP-003,Akiachak Native Community,NA
331030,AKIAK CITY COUNCIL,AK-OP-002,Akiak City Council,NA
331040,CITY OF AKUTAN,AK-OP-004,"Akutan, City of",NA
331050,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331060,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331070,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331080,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331090,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331100,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331110,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331120,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331130,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331140,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331150,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331155,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331160,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331170,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331180,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331190,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331195,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331200,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331210,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331220,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331230,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
331240,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331250,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331260,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331270,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331280,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331290,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331300,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331310,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331320,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331330,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331340,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331350,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331360,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331370,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331380,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331390,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
