Project Code,Utility,AK_operator Id,...4,...5
331400,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331410,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331420,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331430,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331440,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331450,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331460,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331470,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331480,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331490,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331500,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331510,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331520,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331530,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331540,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331550,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331560,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331570,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331580,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331590,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331600,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331610,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331620,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331630,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331640,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331650,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331660,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331670,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331680,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331685,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331690,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331700,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331710,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331720,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331730,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331740,ALUTIIQ POWER COMPANY - See KARLITC,AK-OP-007,Alutiiq Power Company,NA
331740,KARLUK IRA TRIBAL COUNCIL,AK-OP-007,Alutiiq Power Company,NA
331750,CITY OF ATKA,AK-OP-011,"Atka, City of",NA
331760,ANIAK LIGHT & POWER,AK-OP-009,Aniak Light & Power,NA
331770,ARCTIC VILLAGE COUNCIL,AK-OP-010,Arctic Village Electric Company,NA
331780,ATMAUTLUAK TRIBAL UTILITIES,AK-OP-012,Atmautluak Tribal Utilities,NA
331790,BEAVER JOINT UTILITIES,AK-OP-013,Beaver Joint Utilities,NA
331800,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331810,BIRCH CREEK ELECTRIC COMPANY,AK-OP-015,Birch Creek Electric Company,NA
331820,CITY OF BUCKLAND,AK-OP-016,"Buckland, City of",NA
331830,GOLD COUNTRY ENERGY,AK-OP-139,Gold Country Energy,NA
331840,CHALKYITSIK VILLAGE COUNCIL,AK-OP-019,Chalkyitsik Village Council,NA
331850,NATIVE VILLAGE OF CHENEGA,AK-OP-020,Chenega Ira Council,NA
331860,CITY OF CHIGNIK,AK-OP-021,"Chignik, City of",NA
331870,CHIGNIK LAGOON POWER UTILITY,AK-OP-023,Chignik Lagoon Power Utility,NA
331880,CHIGNIK LAKE ELECTRIC UTILITY,AK-OP-022,Chignik Lake Electric Utility,NA
331890,CHITINA ELECTRIC INC.,AK-OP-024,Chitina Electric Inc,NA
331900,CIRCLE ELECTRIC LLC,AK-OP-025,Circle Electric Utility,NA
331910,CLARKS POINT VILLAGE COUNCIL,AK-OP-026,"Clark's Point, City of",NA
331920,CORDOVA ELECTRIC,AK-OP-027,Cordova Electric Cooperative,NA
331930,DIOMEDE JOINT UTLITIES,AK-OP-028,Diomede Joint Utilities,NA
331940,CITY OF EGEGIK,AK-OP-029,Egegik Light & Power Co,NA
331950,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
331960,ELFIN COVE UTILITY COMMISSION,AK-OP-031,Elfin Cove Utility Commission,NA
331970,CITY OF FALSE PASS,AK-OP-032,"False Pass, City of",NA
331980,G & K INC.,AK-OP-034,G & K Inc,NA
331990,CITY OF GALENA,AK-OP-033,"Galena, City of",NA
332000,GOLOVIN POWER UTILITIES,AK-OP-035,Golovin Power Utilities,NA
332010,ALASKA POWER & TELEPHONE,AK-OP-005,Alaska Power & Telephone Company,NA
332020,GWITCHYAA ZHEE UTILITY CO.,AK-OP-037,Gwitchyaa Zhee Utilities Company,NA
332020,GWITCHYAA ZHEE UTILITY COMPANY,AK-OP-037,Gwitchyaa Zhee Utilities Company,NA
332030,HUGHES POWER & LIGHT,AK-OP-038,Hughes Power & Light,NA
332040,IGIUGIG ELECTRIC COMPANY,AK-OP-039,Igiugig Electric Company,NA
332050,ILIAMNA NEWHALEN NONDALTON,AK-OP-040,"I-N-N Electric Coop, Inc",NA
332060,IPNATCHIAQ ELECTRIC COMPANY,AK-OP-042,Ipnatchiaq Electric Company,NA
332070,CITY OF KING COVE,AK-OP-043,"King Cove, City of",NA
332070,KING COVE CORPORATION,AK-OP-043,"King Cove, City of",NA
332080,KIPNUK LIGHT PLANT,AK-OP-044,Kipnuk Light Plant,NA
332090,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
332100,KOKHANOK VILLAGE COUNCIL,AK-OP-046,Kokhanok Village Council,NA
332110,NEW KOLIGANEK VILLAGE COUNCIL,AK-OP-064,New Koliganek Village Council,NA
332120,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
332130,KOTZEBUE ELECTRIC ASSOCIATION,AK-OP-048,Kotzebue Electric Association,NA
332140,CITY OF KOYUKUK,AK-OP-049,"Koyukuk, City of",NA
332150,KWETHLUK INCORPORATED,AK-OP-050,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,NA
332160,KWIG POWER COMPANY,AK-OP-051,Kwigillingok Power Company,NA
332160,KWIGILLINGOK IRA COUNCIL,AK-OP-051,Kwigillingok Power Company,NA
332170,LARSEN BAY UTILITY COMPANY,AK-OP-052,Larsen Bay Utility Company,NA
332180,LEVELOCK ELECTRICAL COOP,AK-OP-053,Levelock Electrical Coop,NA
332190,LIME VILLAGE ELECTRIC UTILITY,AK-OP-054,Lime Village Electric Utility,NA
332200,TDX MANLEY GENERATING LLC,AK-OP-090,TDX Manley Generating LLC,NA
332210,MANOKOTAK POWER COMPANY,AK-OP-056,Manokotak Power Company,NA
332220,MCGRATH LIGHT & POWER,AK-OP-057,McGrath Light & Power,NA
332230,MIDDLE KUSKOKWIM ELECTRIC COOPERATIVE INC,AK-OP-058,Middle Kuskokwim Electric,NA
332240,MIDDLE KUSKOKWIM ELECTRIC COOPERATIVE INC,AK-OP-058,Middle Kuskokwim Electric,NA
332250,MIDDLE KUSKOKWIM ELECTRIC COOPERATIVE INC,AK-OP-058,Middle Kuskokwim Electric,NA
332260,MIDDLE KUSKOKWIM ELECTRIC COOPERATIVE INC,AK-OP-058,Middle Kuskokwim Electric,NA
332270,MIDDLE KUSKOKWIM ELECTRIC COOPERATIVE INC,AK-OP-058,Middle Kuskokwim Electric,NA
332280,NAKNEK ELECTRIC,AK-OP-059,Naknek Electric Association,NA
332290,NAPAKIAK IRCINRAQ,AK-OP-060,Napakiak Ircinraq,NA
332300,NAPASKIAK ELECTRIC UTILITY,AK-OP-061,Napaskiak Electric Utility,NA
332310,NATERKAQ LIGHT PLANT,AK-OP-062,Naterkaq Light Plant (City of Chefornak),NA
332320,NELSON LAGOON ELECTRICAL COOP,AK-OP-063,Nelson Lagoon Electrical Coop,NA
332330,CITY OF NIKOLAI,AK-OP-065,"Nikolai, City of",NA
332340,CITY OF NOME,AK-OP-066,Nome Joint Utility Systems,NA
332340,NOME JOINT UTILITY SYSTEM,AK-OP-066,Nome Joint Utility Systems,NA
332350,NORTH SLOPE BOROUGH,AK-OP-067,North Slope Borough Power & Light,NA
332360,NORTH SLOPE BOROUGH,AK-OP-067,North Slope Borough Power & Light,NA
332370,NORTH SLOPE BOROUGH,AK-OP-067,North Slope Borough Power & Light,NA
332380,NORTH SLOPE BOROUGH,AK-OP-067,North Slope Borough Power & Light,NA
332390,NORTH SLOPE BOROUGH,AK-OP-067,North Slope Borough Power & Light,NA
332400,NORTH SLOPE BOROUGH,AK-OP-067,North Slope Borough Power & Light,NA
332410,NORTH SLOPE BOROUGH,AK-OP-067,North Slope Borough Power & Light,NA
332420,NUNAM IQUA ELECTRIC COMPANY,AK-OP-068,Nunam Iqua Electric Company,NA
332430,NUSHAGAK ELECTRIC AND,AK-OP-069,Nushagak Electric Cooperative,NA
332440,CITY OF OUZINKIE,AK-OP-070,"Ouzinkie, City of",NA
332450,PEDRO BAY VILLAGE COUNCIL,AK-OP-071,Pedro Bay Village Council,NA
332460,PELICAN UTILITY DISTRICT,AK-OP-072,Pelican Utility,NA
332470,NATIVE VILLAGE OF PERRYVILLE,AK-OP-073,Native Village of Perryville,NA
332480,PILOT POINT ELECTRIC UTILITY,AK-OP-074,Pilot Point Electric Utility,NA
332490,PLATINUM COMMERCIAL COMPANY LLC,AK-OP-076,Platinum Commercial Company LLC.,NA
332500,PORT HEIDEN UTILITIES,AK-OP-077,Port Heiden Utilities,NA
332510,PUVURNAQ POWER COMPANY,AK-OP-078,Puvurnaq Power Company,NA
332520,RAMPART VILLAGE COUNCIL,AK-OP-079,Rampart Village Council,NA
332530,CITY OF RUBY,AK-OP-080,"Ruby, City of",NA
332540,TDX CORPORATION,AK-OP-089,"Sand Point Generating, LLC",NA
332550,CITY OF ST. GEORGE,AK-OP-082,"Saint George, City of",NA
332560,ST. PAUL MUNICIPAL ELECTRIC,AK-OP-083,Saint Paul Municipal Electric,NA
332570,STEVENS VILLAGE IRA COUNCIL,AK-OP-081,Stevens Village Ira Council,NA
332580,TAKOTNA COMMUNITY ASSOC INC,AK-OP-084,Takotna Community Assoc Inc,NA
332590,TANALIAN ELECTRIC COOPERATIVE,AK-OP-085,Tanalian Electric Cooperative,NA
332600,TANANA POWER COMPANY INC.,AK-OP-086,Tanana Power Company Inc,NA
332610,TATITLEK VILLAGE IRA COUNCIL,AK-OP-087,Tatitlek Village Ira Council,NA
332630,CITY OF TENAKEE SPRINGS,AK-OP-092,"Tenakee Springs, City of",NA
332650,INSIDE PASSAGE ELECTRIC,AK-OP-041,Inside Passage Electric,NA
332660,INSIDE PASSAGE ELECTRIC,AK-OP-041,Inside Passage Electric,NA
332670,INSIDE PASSAGE ELECTRIC,AK-OP-041,Inside Passage Electric,NA
332680,INSIDE PASSAGE ELECTRIC,AK-OP-041,Inside Passage Electric,NA
332690,INSIDE PASSAGE ELECTRIC,AK-OP-041,Inside Passage Electric,NA
332700,INSIDE PASSAGE ELECTRIC,AK-OP-041,Inside Passage Electric,NA
332710,TULUKSAK TRADITIONAL,AK-OP-093,Tuluksak Traditional,NA
332720,TUNTUTULIAK COMMUNITY SERVICES ASSOCIATION,AK-OP-094,Tuntutuliak Community,NA
332730,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
332730,TWIN HILLS VILLAGE COUNCIL,AK-OP-006,Alaska Village Electric Cooperative,NA
332740,UMNAK POWER COMPANY,AK-OP-096,Umnak Power Company,NA
332850,UNALAKLEET VALLEY ELECTRIC,AK-OP-098,Unalakleet Valley Electric Cooperative,NA
332860,CITY OF UNALASKA,AK-OP-097,"Unalaska, City of",NA
332870,UNGUSRAQ POWER COMPANY,AK-OP-099,Ungusraq Power Company,NA
332880,VENETIE VILLAGE ELECTRIC,AK-OP-100,Venetie Village Electric,NA
332890,CITY OF WHITE MOUNTAIN,AK-OP-101,"White Mountain, City of",NA
332900,ALASKA VILLAGE ELECTRIC COOP,AK-OP-006,Alaska Village Electric Cooperative,NA
332900,YAKUTAT POWER INC.,AK-OP-006,Alaska Village Electric Cooperative,NA
