AK_operator Id,PCE_utility_code,eia_operator_id,CPCN,Operator_name,EIA_sector__name,EIA_sector__number,operator_rca_regulatory_status_name,operator__utility_type_name,operator_cpcn_status,pce_eligible,Power Generation End Use,Notes
AK-OP-001,AKHI,NA,449,"Akhiok, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-002,AKIA,NA,635,Akiak City Council,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-003,AKIANCE,192,412,Akiachak Native Community,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-004,AKUT,24486,293,"Akutan, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-005,ALASPCA,219,2,Alaska Power & Telephone Company,Electric Utility,1,Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-006,ALASVEC,221,169,Alaska Village Electric Cooperative,Electric Utility,1,Not Regulated,Electric Co-op,Active,TRUE,Retail,NA
AK-OP-007,ALUTPC,NA,683,Alutiiq Power Company,Electric Utility,1,"Regulated, rate exemption",Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-008,ANDRE,653,291,Andreanof Electric Corp,Electric Utility,1,Not Regulated,Private Electric Utility,Inactive,FALSE,Retail,NA
AK-OP-009,ANIALPC,4959,5,Aniak Light & Power,Electric Utility,1,Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-010,ARCTVC,NA,747,Arctic Village Electric Company,Electric Utility,1,Not Regulated,Electric Co-op,Active,TRUE,Retail,NA
AK-OP-011,ATKA,56256,291,"Atka, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-012,ATMATU,878,337,Atmautluak Tribal Utilities,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-013,BEAVJU,NA,420,Beaver Joint Utilities,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-014,BETHUC,1651,43,Bethel Utilities Corp,Electric Utility,1,Regulated,Private Electric Utility,Inactive,FALSE,Retail,NA
AK-OP-015,BIRCCEC,1747,767,Birch Creek Electric Company,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-016,BUCK,NA,432,"Buckland, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-018,CENTEI,6111,341,Central Electric Inc.,Electric Utility,1,Regulated,Private Electric Utility,Inactive,FALSE,Retail,NA
AK-OP-019,CHALVC,NA,682,Chalkyitsik Village Council,Electric Utility,1,"Regulated, rate exemption",Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-020,CHENVC,NA,686,Chenega Ira Council,Electric Utility,1,"Regulated, rate exemption",Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-021,CHIG,3421,297,"Chignik, City of",Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-022,CHIGLEU,NA,437,Chignik Lake Electric Utility,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-023,CHIGLPU,NA,658,Chignik Lagoon Power Utility,Electric Utility,1,"Regulated, rate exemption",Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-024,CHITE,3465,368,Chitina Electric Inc,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-025,CIRCE,NA,256,Circle Electric Utility,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-026,CLARPVC,NA,360,"Clark's Point, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-027,CORDEC,40215,160,Cordova Electric Cooperative,Electric Utility,1,Not Regulated,Electric Co-op,Active,TRUE,Retail,NA
AK-OP-028,DIOMJU,NA,383,Diomede Joint Utilities,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-029,EGEG,5553,320,Egegik Light & Power Co,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-029,EGEG,57351,320,Egegik Light & Power Co,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-030,EKWO,NA,688,"Ekwok, City of",Electric Utility,1,Not Regulated,Private Electric Utility,Inactive,FALSE,Retail,NA
AK-OP-031,ELFICEU,5721,701,Elfin Cove Utility Commission,Electric Utility,1,Not Regulated,Electric Co-op,Active,TRUE,Retail,NA
AK-OP-032,FALSPE,NA,442,"False Pass, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-033,GALE,6915,274,"Galena, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-034,GK,6866,88,G & K Inc,Electric Utility,1,Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-035,GOLOPU,NA,373,Golovin Power Utilities,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-036,GUSTE,7822,417,Gustavus Electric Co,Electric Utility,1,Regulated,Private Electric Utility,Inactive,FALSE,Retail,Utility purchased by AP&T
AK-OP-037,GWITZU,7833,63,Gwitchyaa Zhee Utilities Company,Electric Utility,1,Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-038,HUGHPL,9000,332,Hughes Power & Light,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-039,IGIUEC,9192,681,Igiugig Electric Company,Electric Utility,1,"Regulated, rate exemption",Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-040,ILIANNE,9188,280,"I-N-N Electric Coop, Inc",Electric Utility,1,Not Regulated,Electric Co-op,Active,TRUE,Retail,NA
AK-OP-041,INSIPEC,18963,240,Inside Passage Electric,Electric Utility,1,Not Regulated,Electric Co-op,Active,TRUE,Retail,Previously known as Tlingit & Haida Region El Auth
AK-OP-042,IPNAEC,9416,369,Ipnatchiaq Electric Company,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-043,KINGC,9897,289,"King Cove, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-044,KIPNLP,NA,446,Kipnuk Light Plant,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-045,KOBUVEC,NA,407,Kobuk Valley Electric Company,Electric Utility,1,Not Regulated,Electric Co-op,Inactive,FALSE,Retail,NA
AK-OP-046,KOKHVC,10455,660,Kokhanok Village Council,Electric Utility,1,"Regulated, rate exemption",Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-047,KOTLES,9898,285,Kotlik Joint Utility,Electric Utility,1,Not Regulated,Public Electric Utility,Inactive,FALSE,Retail,NA
AK-OP-048,KOTZEA,10451,17,Kotzebue Electric Association,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-049,KOYU,NA,687,"Koyukuk, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-050,KWET,9832,281,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-051,KWIGPC,10491,376,Kwigillingok Power Company,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-052,LARSBUC,10716,353,Larsen Bay Utility Company,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-053,LEVEEC,NA,330,Levelock Electrical Coop,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-054,LIMEVTC,NA,570,Lime Village Electric Utility,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-055,MANLU,11591,264,Manley Utilities,Electric Utility,1,Regulated,Private Electric Utility,Inactive,FALSE,Retail,Purchased by TDX Power
AK-OP-056,MANOPC,26317,321,Manokotak Power Company,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-057,MCGRLP,12119,44,McGrath Light & Power,Electric Utility,1,Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-058,MIDDKEC,12485,343,Middle Kuskokwim Electric,Electric Utility,1,Regulated,Electric Co-op,Active,TRUE,Retail,NA
AK-OP-059,NAKNEA,13201,22,Naknek Electric Association,Electric Utility,1,Not Regulated,Electric Co-op,Active,TRUE,Retail,NA
AK-OP-060,NAPAC,13211,319,Napakiak Ircinraq,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-061,NAPAEU,NA,625,Napaskiak Electric Utility,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-062,NATELP,3422,365,Naterkaq Light Plant (City of Chefornak),Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-063,NELSLEC,13477,340,Nelson Lagoon Electrical Coop,Electric Utility,1,Not Regulated,Electric Co-op,Active,TRUE,Retail,NA
