AK_operator Id,PCE_utility_code,eia_operator_id,CPCN,Operator_name,EIA_sector__name,EIA_sector__number,operator_rca_regulatory_status_name,operator__utility_type_name,operator_cpcn_status,pce_eligible,Power Generation End Use,Notes
AK-OP-064,NEWKVC,NA,661,New Koliganek Village Council,Electric Utility,1,"Regulated, rate exemption",Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-065,NIKO,NA,416,"Nikolai, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-066,NOMEJUS,13642,150,Nome Joint Utility Systems,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-067,NORTSB,26616,254,North Slope Borough Power & Light,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-068,NUNAIEC,NA,408,Nunam Iqua Electric Company,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-069,NUSHEC,13870,45,Nushagak Electric Cooperative,Electric Utility,1,Not Regulated,Electric Co-op,Active,TRUE,Retail,NA
AK-OP-070,OUZI,14234,357,"Ouzinkie, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-071,PEDRBV,14633,662,Pedro Bay Village Council,Electric Utility,1,"Regulated, rate exemption",Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-072,PELIU,29297,24,Pelican Utility,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-073,PERR,14832,659,Native Village of Perryville,Electric Utility,1,"Regulated, rate exemption",Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-074,PILOPEU,NA,425,Pilot Point Electric Utility,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-075,PLAT,NA,NA,"Platinum, City of",Electric Utility,1,N/A,Public Electric Utility,Inactive,FALSE,Retail,NA
AK-OP-076,PLATCC,NA,765,Platinum Commercial Company LLC.,Electric Utility,1,Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-077,PORTHU,NA,399,Port Heiden Utilities,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-078,PUVUPC,NA,395,Puvurnaq Power Company,Electric Utility,1,"Regulated, rate exemption",Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-079,RAMP,NA,759,Rampart Village Council,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-080,RUBY,NA,364,"Ruby, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-081,STEVVIC,NA,709,Stevens Village Ira Council,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-082,STGEORGE,NA,410,"Saint George, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-083,STPMEU,17898,339,Saint Paul Municipal Electric,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-084,TAKOC,NA,394,Takotna Community Assoc Inc,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-085,TANAEC,NA,447,Tanalian Electric Cooperative,Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-086,TANAPC,18474,92,Tanana Power Company Inc,Electric Utility,1,Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-087,TATIVIC,18480,586,Tatitlek Village Ira Council,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-088,TDXA,NA,684,TDX Adak Generating LLC,Electric Utility,1,Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-089,TDXC,63560,230,"Sand Point Generating, LLC",Electric Utility,1,Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-090,TDXM,56503,72,TDX Manley Generating LLC,Electric Utility,1,Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-091,TELLPC,18521,61,Teller Power Company,Electric Utility,1,Regulated,Private Electric Utility,Inactive,FALSE,Retail,Purchased by AVEC
AK-OP-092,TENAS,18541,363,"Tenakee Springs, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-093,TULUTPU,NA,664,Tuluksak Traditional,Electric Utility,1,"Regulated, rate exemption",Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-094,TUNTCSA,19267,344,Tuntutuliak Community,Electric Utility,1,"Regulated, rate exemption",Electric Co-op,Active,TRUE,Retail,NA
AK-OP-095,TWINHVC,NA,729,Twin Hills Village Council,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-096,UMNAP,NA,242,Umnak Power Company,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-097,UNAL,19454,106,"Unalaska, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-098,UNALVEC,40548,741,Unalakleet Valley Electric Cooperative,Electric Utility,1,Not Regulated,Electric Co-op,Active,TRUE,Retail,NA
AK-OP-099,UNGUPC,NA,375,Ungusraq Power Company,Electric Utility,1,Not Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-100,VENEVE,NA,663,Venetie Village Electric,Electric Utility,1,"Regulated, rate exemption",Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-101,WHITMU,20535,409,"White Mountain, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,TRUE,Retail,NA
AK-OP-102,YAKUP,30150,53,Yakutat Power Inc,Electric Utility,1,Regulated,Public Electric Utility,Inactive,FALSE,Retail,Purchased by AVEC
AK-OP-103,NA,4329,10,"Copper Valley Elec Assn, Inc",Electric Utility,1,Not Regulated,Private Electric Utility,Active,FALSE,Retail,NA
AK-OP-104,NA,7353,13,Golden Valley Elec Assn Inc,Electric Utility,1,Regulated,Private Electric Utility,Active,FALSE,Retail,NA
AK-OP-105,NA,19558,32,Homer Electric Assn Inc,Electric Utility,1,Regulated,Private Electric Utility,Active,FALSE,Retail,NA
AK-OP-106,NA,10433,16,Kodiak Electric Assn Inc,Electric Utility,1,Regulated,Electric Co-op,Active,FALSE,Retail,NA
AK-OP-107,NA,11824,18,Matanuska Electric Assn Inc,Electric Utility,1,Regulated,Electric Co-op,Active,FALSE,Retail,NA
AK-OP-108,NA,12385,NA,Metlakatla Power & Light,Electric Utility,1,N/A,Private Electric Utility,N/A,FALSE,Retail,Exempted from RCA jurisdiction
AK-OP-109,NA,599,121,Anchorage Municipal Light and Power,Electric Utility,1,Regulated,Public Electric Utility,Inactive,FALSE,Retail,Purchased by Chugach Electric Association
AK-OP-110,NA,14856,212,Petersburg Borough - (AK),Electric Utility,1,Not Regulated,Public Electric Utility,Active,FALSE,Retail,NA
AK-OP-111,NA,16955,108,City of Seward - (AK),Electric Utility,1,Not Regulated,Public Electric Utility,Active,FALSE,Retail,NA
AK-OP-112,NA,49803,640,Alaska Electric & Energy Coop,Electric Utility,1,Regulated,Subsidiary,Active,FALSE,Wholesale,NA
AK-OP-113,NA,58488,742,Alaska Environmental Power,NAICS-22 Non-Cogen,2,Regulated,Independent Power Producer,Active,FALSE,Wholesale,Wind farm selling to GVEA
AK-OP-114,NA,986,520,Aurora Energy LLC,NAICS-22 Cogen,3,Regulated,Independent Power Producer,Active,FALSE,Wholesale,Coal power selling to GVEA
AK-OP-115,NA,58422,NA,Fire Island Wind LLC,NAICS-22 Non-Cogen,2,N/A,Independent Power Producer,N/A,FALSE,Wholesale,Exempted from RCA regulation
AK-OP-116,NA,19272,720,Doyon Utilities - Fort Greely,Commercial NAICS Non-Cogen,4,Not Regulated,Military,Active,FALSE,Consumed by facility,NA
AK-OP-117,NA,19277,227,TDX North Slope Generating Co,Electric Utility,1,Regulated,Private Electric Utility,Active,FALSE,Consumed by facility,NA
AK-OP-117,NA,57494,227,TDX North Slope Generating Co,Electric Utility,1,Regulated,Private Electric Utility,Active,FALSE,Consumed by facility,NA
AK-OP-118,NA,56389,726,Doyon Utilities - Ft. Wainwright,Electric Utility,1,Not Regulated,Military,Active,FALSE,Consumed by facility,NA
AK-OP-120,NA,22199,NA,U S Air Force-Eielson AFB,Commercial NAICS Cogen,5,N/A,Military,N/A,FALSE,Consumed by facility,NA
AK-OP-121,NA,179,NA,Agrium US Inc,Industrial NAICS Cogen,7,N/A,Industrial,N/A,FALSE,Consumed by facility,NA
AK-OP-122,NA,58368,724,"Doyon Utilities, LLC",Commercial NAICS Non-Cogen,4,Regulated,Private Electric Utility,Active,FALSE,Consumed by facility,JBER
AK-OP-124,NA,60123,NA,Southeast Alaska Power Agency,Commercial NAICS Non-Cogen,4,N/A,State Government,N/A,FALSE,Wholesale,Also EIA ID 60770
AK-OP-124,NA,60770,NA,Southeast Alaska Power Agency,Commercial NAICS Non-Cogen,4,N/A,State Government,N/A,FALSE,Wholesale,Also EIA ID 60123
AK-OP-125,NA,18617,NA,Tesoro Alaska Company LLC,Industrial NAICS Cogen,7,N/A,Industrial,N/A,FALSE,Consumed by facility,NA
AK-OP-126,NA,19553,NA,Unisea Inc,Industrial NAICS Non-Cogen,6,N/A,Industrial,N/A,FALSE,Consumed by facility,NA
AK-OP-127,NA,19511,452,University of Alaska,Commercial NAICS Cogen,4,Not Regulated,Industrial,Active,FALSE,Consumed by facility,NA
AK-OP-128,NA,20523,NA,Westward Seafoods Inc,Industrial NAICS Cogen,7,N/A,Industrial,N/A,FALSE,Consumed by facility,NA
AK-OP-129,NA,42889,NA,Alaska Energy Authority,NA,NA,N/A,State Government,N/A,FALSE,Wholesale,Bradley Lake
AK-OP-130,NA,17271,100,"Sitka, City & Borough of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,FALSE,Retail,NA
AK-OP-131,NA,10210,103,Ketchikan Public Utilities,Electric Utility,1,Not Regulated,Public Electric Utility,Active,FALSE,Retail,NA
AK-OP-132,NA,3522,8,Chugach Electric Assn Inc,Electric Utility,1,Regulated,Electric Co-op,Active,FALSE,Retail,NA
AK-OP-133,NA,213,1,Alaska Electric Light & Power Company,Electric Utility,1,Regulated,Private Electric Utility,Active,FALSE,Retail,NA
AK-OP-134,NA,1276,214,Barrow Utilities & Electric Cooperative Inc.,Electric Utility,1,Not Regulated,Electric Co-op,Active,FALSE,Retail,NA
AK-OP-135,NA,21015,111,"Wrangell, City of",Electric Utility,1,Not Regulated,Public Electric Utility,Active,FALSE,Retail,NA
AK-OP-137,NA,26754,91,Paxson Inn & Lodge,NA,NA,Not Regulated,Public Electric Utility,Active,FALSE,Retail,NA
AK-OP-138,KINGCC,9897,289,King Cove Corporation,Electric Utility,1,Not Regulated,Public Electric Utility,Inactive,FALSE,Retail,NA
AK-OP-139,GOLDCE,56739,341,Gold Country Energy,Electric Utility,1,Regulated,Private Electric Utility,Active,TRUE,Retail,NA
AK-OP-140,NA,288,345,"Alaska Electric Generation & Transmission Cooperative, Inc.",Electric Utility,1,Regulated,Private Electric Utility,Active,FALSE,Wholesale,NA
AK-OP-141,NA,NA,523,Alaska Industrial Development & Export Authority,Electric Utility,1,Not Regulated,State Government,Active,FALSE,Wholesale,AIDEA - Healy Clean Coal Plant
AK-OP-142,NA,NA,549,Alaska Industrial Development & Export Authority,Electric Utility,1,Not Regulated,State Government,Active,FALSE,Wholesale,Snettisham Hydroelectric Project
AK-OP-143,NA,NA,735,"Aleutian Wind Energy, LLC",Electric Utility,1,Regulated,Independent Power Producer,Active,FALSE,Wholesale,TDX subsidiary. Wind farm selling power to Sand Point
AK-OP-144,NA,219,573,"BBL Hydro, INC.",Electric Utility,1,Regulated,Subsidiary,Active,FALSE,Wholesale,Subsidiary of AP&T .
AK-OP-145,NA,NA,704,Chena Power Company,Electric Utility,1,Not Regulated,Private Electric Utility,Active,FALSE,Consumed by facility,Chena Hot Springs
AK-OP-146,NA,219,521,"Goat Lake Hydro, Inc.",Electric Utility,1,Regulated,Subsidiary,Active,FALSE,Wholesale,Subsidiary of AP&T .
AK-OP-147,NA,NA,NA,Ivanof Bay,NA,NA,N/A,NA,N/A,FALSE,NA,NA
AK-OP-148,NA,NA,748,Kodiak,Electric Utility,1,Not Regulated,Public Electric Utility,Active,FALSE,Retail,NA
AK-OP-149,NA,NA,710,"Kwaan Electric Transmission Intertie Cooperative, Inc.",Electric Utility,1,Regulated,Private Electric Utility,Active,FALSE,Retail,Connects to Admiralty Island/Greens Creek Mine
AK-OP-150,NA,NA,NA,"PB Energy, Inc",NA,NA,N/A,NA,N/A,FALSE,Consumed by facility,Dry Spruce Bay Hydroelectric near Port Bailey
AK-OP-151,NA,65807,NA,"Energy 49, LLC",Commercial NAICS Non-Cogen,NA,N/A,Independent Power Producer,N/A,FALSE,Wholesale,Houston Solar PV
AK-OP-152,NA,NA,NA,"South Fork Hydro, LLC",Commercial NAICS Non-Cogen,NA,N/A,Independent Power Producer,N/A,FALSE,Wholesale,NA
AK-OP-154,NA,NA,NA,SSRAA,Industrial NAICS Non-Cogen,6,N/A,Industrial,Active,FALSE,Consumed by facility,NA
AK-OP-155,NA,NA,749,TDX Saint Paul Wind,Electric Utility,1,Regulated,Private Electric Utility,Active,FALSE,Wholesale,Wind farm selling power to City of St. Paul
AK-OP-156,NA,NA,377,Thomas Bay Power Authority,Electric Utility,1,Not Regulated,Private Electric Utility,Revoked,FALSE,Retail,NA
AK-OP-157,NA,NA,71,Weisner Trading Co.,Electric Utility,1,Not Regulated,Private Electric Utility,Active,FALSE,Retail,Rampart
AK-OP-158,NA,NA,59,"Weldon S. Holmes, d/b/a Semloh Supply",Electric Utility,1,Not Regulated,Private Electric Utility,Active,FALSE,Retail,Lake Minchumina
AK-OP-159,NA,60222,760,"Haida Energy, Inc.",Commercial NAICS Non-Cogen,NA,Regulated,Independent Power Producer,N/A,FALSE,Wholesale,Joint Venture of Haida Corporation and AP&T. Supplies power to Prince of Wales
AK-OP-160,NA,60223,NA,Ketchikan Electric Company,NA,NA,N/A,Subsidiary,N/A,FALSE,Wholesale,Joint venture of Ketchikan Public Utilities and AP&T
AK-OP-161,NA,431,NA,Alyeska Seafoods Inc,Commercial NAICS Non-Cogen,4,N/A,Industrial,N/A,FALSE,Consumed by facility,NA
AK-OP-162,NA,14313,NA,Ounalshka Corp,Commercial NAICS Non-Cogen,4,N/A,Industrial,N/A,FALSE,Consumed by facility,NA
AK-OP-163,NA,9183,NA,Icicle Seafoods Inc,Commercial NAICS Non-Cogen,4,N/A,Industrial,N/A,FALSE,Consumed by facility,NA
AK-OP-164,NA,14956,NA,Phillips Alaska Inc,Commercial NAICS Non-Cogen,4,N/A,Industrial,N/A,FALSE,Consumed by facility,NA
AK-OP-165,NA,14852,NA,Peter Pan Seafoods,Commercial NAICS Non-Cogen,4,N/A,Industrial,N/A,FALSE,Consumed by facility,NA
AK-OP-166,NA,1388,NA,BP Exploration Alaska,Commercial NAICS Non-Cogen,4,N/A,Industrial,N/A,FALSE,Consumed by facility,NA
AK-OP-168,NA,13972,NA,Offshore Systems Inc,Commercial NAICS Non-Cogen,4,N/A,Industrial,N/A,FALSE,Consumed by facility,NA
AK-OP-169,NA,14811,NA,Conoco Phillips Alaska Inc,Commercial NAICS Non-Cogen,4,N/A,Industrial,N/A,FALSE,Consumed by facility,NA
AK-OP-171,NA,409,NA,"Arctic Utilities, Inc",Electric Utility,1,Regulated,Private Electric Utility,Inactive,FALSE,Consumed by facility,NA
AK-OP-172,NA,18877,NA,City of Thorne Bay,Electric Utility,1,N/A,Public Electric Utility,N/A,FALSE,Retail,NA
AK-OP-173,NA,13880,NA,"NUI Energy Brokers, Inc",NA,NA,NA,NA,N/A,FALSE,NA,NA
AK-OP-174,NA,22200,NA,U S Army-Ft Wainwright,Commercial NAICS Cogen,5,N/A,Military,N/A,FALSE,Consumed by facility,NA
AK-OP-175,NA,NA,780,Municipality of Anchorage d/b/a Anchorage Hydropower,Commercial NAICS Non-Cogen,4,Regulated,Independent Power Producer,Active,FALSE,Wholesale,Operates Eklutna Hydro
AK-OP-181,NA,NA,785,"Gustavus Utility Service, Inc.",Commercial NAICS Non-Cogen,4,Regulated,Subsidiary,Active,FALSE,Wholesale,Wholly owned subsidiary of AP&T. Provdes hydropower to Gustavus
AK-OP-177,NA,NA,NA,"Ram Valley, LLC",Commercial NAICS Non-Cogen,4,N/A,Independent Power Producer,N/A,FALSE,Wholesale,NA
AK-OP-178,NA,NA,NA,Noatak IPP,Commercial NAICS Non-Cogen,4,N/A,Independent Power Producer,N/A,FALSE,Wholesale,Unsure if name is correct
AK-OP-179,NA,NA,NA,Shungnak Kobuk IPP,Commercial NAICS Non-Cogen,4,N/A,Independent Power Producer,N/A,FALSE,Wholesale,Unsure if name is correct
AK-OP-180,NA,NA,NA,"Sustainable Energy for Galena, Alaska",NA,NA,N/A,Independent Power Producer,N/A,FALSE,NA,"Not operational. Joint Venture of Louden Tribal Council, Galena City Council, and Galena City School District"
AK-OP-182,NA,NA,781,"Ounalashka Chena Power, LLC",NA,NA,N/A,Independent Power Producer,Active,FALSE,NA,Not operational
AK-OP-183,NA,60349,NA,"Juneau Hydropower, Inc",NA,NA,N/A,Independent Power Producer,N/A,FALSE,NA,Not operational
AK-OP-176,NA,NA,NA,Alaska Renewable Energy Partners,NA,NA,N/A,NA,N/A,FALSE,NA,Not operational
AK-OP-184,NA,NA,NA,"Banner Wind, LLC",Commercial NAICS Non-Cogen,4,N/A,Independent Power Producer,N/A,FALSE,Wholesale,Sold to Nome Joint Utilities
AK-OP-185,NA,NA,NA,"Enerdyne, LLC",NA,NA,NA,Independent Power Producer,N/A,FALSE,NA,NA
AK-OP-186,NA,NA,NA,Minchumina Power Company,NA,NA,NA,Private Electric Utility,NA,NA,NA,NA
