fiscal_year,pce_base_rate,pce_ceiling,percent_funding,residential_maximum_monthly
2001,0.12,0.525,NA,500
2002,0.12,0.525,NA,500
2003,0.12,0.525,NA,500
2004,0.12,0.525,NA,500
2005,0.12,0.525,NA,500
2006,0.12,0.525,NA,500
2007,0.1287,0.525,NA,500
2008,0.1287,0.525,NA,500
2009,0.1283,1,NA,500
2010,0.1412,1,NA,500
2011,0.1439,1,NA,500
2012,0.1342,1,NA,500
2013,0.143,1,NA,500
2014,0.1406,1,NA,500
2015,0.1482,1,NA,500
2016,0.1582,1,NA,500
2017,0.167,1,NA,500
2018,0.1758,1,NA,500
2019,0.1902,1,NA,500
2020,0.191,1,NA,500
2021,0.2063,1,NA,500
2022,0.2003,1,NA,500
2023,0.1958,1,NA,750
2024,0.1935,1,NA,750
2025,0.1992,1,NA,750
2026,NA,1,NA,750
