intertie_id,current_id,communities_intertied,month_of_intertie,year_of_intertie
140-0000,TRUE,Levelock,NA,NA
141-0000,TRUE,Lime Village,NA,NA
142-0000,TRUE,Manokotak,NA,NA
143-0000,TRUE,McGrath,NA,NA
144-0000,TRUE,Chuathbaluk,NA,NA
145-0000,TRUE,Crooked Creek,NA,NA
146-0000,TRUE,Red Devil,NA,NA
147-0000,TRUE,Sleetmute,NA,NA
148-0000,TRUE,Stony River,NA,NA
149-1980,TRUE,Shungnak; Kobuk,NA,1980
150-0000,TRUE,"Naknek, South Naknek, King Salmon",NA,NA
153-0000,TRUE,Napaskiak,NA,NA
154-0000,TRUE,Chefornak,NA,NA
155-0000,TRUE,Perryville,NA,NA
156-0000,TRUE,Nelson Lagoon,NA,NA
157-0000,TRUE,Koliganek,NA,NA
158-0000,TRUE,Nikolai,NA,NA
159-0000,TRUE,Nome,NA,NA
160-0000,TRUE,Anaktuvuk Pass,NA,NA
161-0000,TRUE,Atqasuk,NA,NA
162-0000,TRUE,Kaktovik,NA,NA
163-0000,TRUE,Nuiqsut,NA,NA
164-0000,TRUE,Point Hope,NA,NA
165-0000,TRUE,Point Lay,NA,NA
166-0000,TRUE,Wainwright,NA,NA
167-0000,TRUE,Nunam Iqua,NA,NA
169-0000,TRUE,"Dillingham, Aleknagik",NA,NA
170-0000,TRUE,Ouzinkie,NA,NA
171-0000,TRUE,Pedro Bay,NA,NA
172-0000,TRUE,Pelican,NA,NA
173-0000,TRUE,Pilot Point,NA,NA
174-0000,TRUE,Platinum,NA,NA
175-0000,TRUE,Port Heiden,NA,NA
176-0000,TRUE,Kongiganak,NA,NA
177-0000,TRUE,Rampart,NA,NA
178-0000,TRUE,Ruby,NA,NA
179-0000,TRUE,Saint George,NA,NA
180-0000,TRUE,Saint Paul,NA,NA
181-0000,TRUE,Stevens Village,NA,NA
182-0000,TRUE,Takotna,NA,NA
183-0000,TRUE,Port Alsworth,NA,NA
184-0000,TRUE,Tanana,NA,NA
185-0000,TRUE,Tatitlek,NA,NA
186-0000,TRUE,Adak,NA,NA
187-0000,TRUE,Sand Point,NA,NA
188-0000,TRUE,Manley Hot Springs,NA,NA
189-0000,TRUE,Tenakee Springs,NA,NA
