ak_operator_id,pce_utility_code,operator_utility_type_name,rca_regulatory_status_name,operator_cpcn_status,pce_eligible,power_generation_end_use
AK-OP-001,AKHI,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-002,AKIA,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-003,AKIANCE,Private Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-004,AKUT,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-005,ALASPCA,Private Electric Utility,Regulated,Active,TRUE,Retail
AK-OP-006,ALASVEC,Electric Co-op,Not Regulated,Active,TRUE,Retail
AK-OP-007,ALUTPC,Private Electric Utility,"Regulated, rate exemption",Active,TRUE,Retail
AK-OP-008,ANDRE,Private Electric Utility,Not Regulated,Inactive,FALSE,Retail
AK-OP-009,ANIALPC,Private Electric Utility,Regulated,Active,TRUE,Retail
AK-OP-010,ARCTVC,Electric Co-op,Not Regulated,Active,TRUE,Retail
AK-OP-011,ATKA,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-012,ATMATU,Private Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-013,BEAVJU,Private Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-014,BETHUC,Private Electric Utility,Regulated,Inactive,FALSE,Retail
AK-OP-015,BIRCCEC,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-016,BUCK,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-018,CENTEI,Private Electric Utility,Regulated,Inactive,FALSE,Retail
AK-OP-019,CHALVC,Private Electric Utility,"Regulated, rate exemption",Active,TRUE,Retail
AK-OP-020,CHENVC,Private Electric Utility,"Regulated, rate exemption",Active,TRUE,Retail
AK-OP-021,CHIG,Private Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-022,CHIGLEU,Private Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-023,CHIGLPU,Private Electric Utility,"Regulated, rate exemption",Active,TRUE,Retail
AK-OP-024,CHITE,Private Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-025,CIRCE,Private Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-026,CLARPVC,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-027,CORDEC,Electric Co-op,Not Regulated,Active,TRUE,Retail
AK-OP-028,DIOMJU,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-029,EGEG,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-030,EKWO,Private Electric Utility,Not Regulated,Inactive,FALSE,Retail
AK-OP-031,ELFICEU,Electric Co-op,Not Regulated,Active,TRUE,Retail
AK-OP-032,FALSPE,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-033,GALE,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-034,GK,Private Electric Utility,Regulated,Active,TRUE,Retail
AK-OP-035,GOLOPU,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-036,GUSTE,Private Electric Utility,Regulated,Inactive,FALSE,Retail
AK-OP-037,GWITZU,Private Electric Utility,Regulated,Active,TRUE,Retail
AK-OP-038,HUGHPL,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-039,IGIUEC,Private Electric Utility,"Regulated, rate exemption",Active,TRUE,Retail
AK-OP-040,ILIANNE,Electric Co-op,Not Regulated,Active,TRUE,Retail
AK-OP-041,INSIPEC,Electric Co-op,Not Regulated,Active,TRUE,Retail
AK-OP-042,IPNAEC,Private Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-043,KINGC,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-044,KIPNLP,Private Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-045,KOBUVEC,Electric Co-op,Not Regulated,Inactive,FALSE,Retail
AK-OP-046,KOKHVC,Public Electric Utility,"Regulated, rate exemption",Active,TRUE,Retail
AK-OP-047,KOTLES,Public Electric Utility,Not Regulated,Inactive,FALSE,Retail
AK-OP-048,KOTZEA,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-049,KOYU,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-050,KWET,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-051,KWIGPC,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-052,LARSBUC,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-053,LEVEEC,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-054,LIMEVTC,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-055,MANLU,Private Electric Utility,Regulated,Inactive,FALSE,Retail
AK-OP-056,MANOPC,Private Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-057,MCGRLP,Private Electric Utility,Regulated,Active,TRUE,Retail
AK-OP-058,MIDDKEC,Electric Co-op,Regulated,Active,TRUE,Retail
AK-OP-059,NAKNEA,Electric Co-op,Not Regulated,Active,TRUE,Retail
AK-OP-060,NAPAC,Private Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-061,NAPAEU,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-062,NATELP,Private Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-063,NELSLEC,Electric Co-op,Not Regulated,Active,TRUE,Retail
AK-OP-064,NEWKVC,Private Electric Utility,"Regulated, rate exemption",Active,TRUE,Retail
AK-OP-065,NIKO,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-066,NOMEJUS,Private Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-067,NORTSB,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-068,NUNAIEC,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-069,NUSHEC,Electric Co-op,Not Regulated,Active,TRUE,Retail
AK-OP-070,OUZI,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-071,PEDRBV,Private Electric Utility,"Regulated, rate exemption",Active,TRUE,Retail
AK-OP-072,PELIU,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-073,PERR,Public Electric Utility,"Regulated, rate exemption",Active,TRUE,Retail
AK-OP-074,PILOPEU,Public Electric Utility,Not Regulated,Active,TRUE,Retail
AK-OP-075,PLAT,Public Electric Utility,N/A,Inactive,FALSE,Retail
AK-OP-076,PLATCC,Private Electric Utility,Regulated,Active,TRUE,Retail
