pce_id,sales_reporter_id,sales_reporting_name,intertie_id,intertie_name,cpcn_id,eia_id,communities_reported
331060,SR-29,"Bettles, Evansville",007-0000,Bettles_grid,2,219,"Bettles, Evansville"
331810,SR-30,Birch Creek,098-0000,Birch Creek_grid,767,1747,Birch Creek
331270,SR-31,Brevig Mission,039-0000,Brevig Mission_grid,169,221,Brevig Mission
331820,SR-32,Buckland,099-0000,Buckland_grid,432,NA,Buckland
331830,SR-33,Central,116-0000,Central_grid,341,56739,Central
331840,SR-34,Chalkyitsik,100-0000,Chalkyitsik_grid,682,NA,Chalkyitsik
332310,SR-35,Chefornak,154-0000,Chefornak_grid,365,3422,Chefornak
331850,SR-36,Chenega Bay,101-0000,Chenega_grid,686,NA,Chenega Bay
331280,SR-37,Chevak,040-0000,Chevak_grid,169,221,Chevak
331860,SR-38,Chignik,104-0000,Chignik_grid,297,3421,Chignik
331870,SR-39,Chignik Lagoon,102-0000,Chignik Lagoon_grid,658,NA,Chignik Lagoon
331880,SR-40,Chignik Lake,103-0000,Chignik Lake_grid,437,NA,Chignik Lake
332660,SR-41,Chilkat Valley,032-1998,Haines_grid,240,18963,Chilkat Valley
332690,SR-213,Chilkat Valley/Klukwan,032-1998,Haines_grid,240,18963,Chilkat Valley/Klukwan
331070,SR-42,Chistochina,026-2012,Slana_grid,2,219,Chistochina
331890,SR-43,Chitina,105-0000,Chitina_grid,368,3465,Chitina
332230,SR-44,Chuathbaluk,144-0000,Chuathbaluk_grid,343,12485,Chuathbaluk
NA,SR-3,Chugach Electric Assn Inc,215-1985,Railbelt_grid,8,3522,"In addition to Anchorage, the CEA service area includes eight other communities."
331900,SR-45,Circle,106-0000,Circle_grid,256,NA,Circle
331910,SR-46,Clark's Point,107-0000,Clark's Point_grid,360,NA,Clark's Point
331080,SR-47,Coffman Cove,023-2015,Prince of Wales Is._grid,2,219,Coffman Cove
331980,SR-48,Cold Bay,114-0000,Cold Bay_grid,88,6866,Cold Bay
NA,SR-192,"Copper Valley Elec Assn, Inc",216-0000,CopperValley_grid,10,4329,"In addition to Valdez, the CVEA service area includes 14 other communities."
331920,SR-49,"Cordova, Eyak",014-1990,Cordova_grid,160,40215,"Cordova, Eyak"
331090,SR-50,Craig,023-2015,Prince of Wales Is._grid,2,219,Craig
332240,SR-51,Crooked Creek,145-0000,Crooked Creek_grid,343,12485,Crooked Creek
332060,SR-52,Deering,130-0000,Deering_grid,369,9416,Deering
332430,SR-53,"Dillingham, Aleknagik",169-0000,Dillingham_grid,45,13870,"Dillingham, Aleknagik"
331930,SR-54,Diomede,110-0000,Diomede_grid,383,NA,Diomede
331100,SR-55,"Dot Lake, Dot Lake Village",015-2008,Tok_grid,2,219,"Dot Lake, Dot Lake Village"
331110,SR-56,"Eagle, Eagle Village",009-0000,Eagle_grid,2,219,"Eagle, Eagle Village"
331290,SR-57,Eek,041-0000,Eek_grid,169,221,Eek
331940,SR-58,Egegik,111-0000,Egegik_grid,320,5553,Egegik
NA,SR-58,Egegik,111-0000,Egegik_grid,320,57351,Egegik
331950,SR-59,Ekwok,065-2016,New_Stuyahok_grid,688,NA,Ekwok
331960,SR-60,Elfin Cove,112-0000,Elfin Cove_grid,701,5721,Elfin Cove
331300,SR-61,Elim,043-0000,Elim_grid,169,221,Elim
331310,SR-62,Emmonak,045-2016,Emmonak_grid,169,221,Emmonak
331970,SR-63,False Pass,113-0000,False Pass_grid,442,NA,False Pass
332020,SR-64,Fort Yukon,119-0000,Fort Yukon_grid,63,7833,Fort Yukon
331990,SR-65,Galena,115-0000,Galena_grid,274,6915,Galena
331320,SR-66,Gambell,046-0000,Gambell_grid,169,221,Gambell
NA,SR-4,Golden Valley Elec Assn Inc,215-1985,Railbelt_grid,13,7353,"In addition to Fairbanks, the GVEA service area includes 25 other communities."
332000,SR-67,Golovin,117-0000,Golovin_grid,373,NA,Golovin
331330,SR-68,Goodnews Bay,047-0000,Goodnews Bay_grid,169,221,Goodnews Bay
331340,SR-69,Grayling,048-0000,Grayling_grid,169,221,Grayling
332010,SR-70,Gustavus,118-0000,Gustavus_grid,2,219,Gustavus
331120,SR-71,"Haines, Covenant Life",032-1998,Haines_grid,2,219,"Haines, Covenant Life"
331130,SR-72,Healy Lake,011-0000,Healy Lake_grid,2,219,Healy Lake
331140,SR-73,Hollis,023-2015,Prince of Wales Is._grid,2,219,Hollis
331350,SR-74,Holy Cross,049-0000,Holy Cross_grid,169,221,Holy Cross
NA,SR-5,Homer Electric Assn Inc,215-1985,Railbelt_grid,32,19558,"In addition to Homer, the HEA service area includes 29 other communities"
332670,SR-75,Hoonah,128-0000,Hoonah_grid,240,18963,Hoonah
331360,SR-76,Hooper Bay,050-0000,Hooper Bay_grid,169,221,Hooper Bay
332030,SR-77,Hughes,120-0000,Hughes_grid,332,9000,Hughes
331370,SR-78,Huslia,051-0000,Huslia_grid,169,221,Huslia
331150,SR-79,Hydaburg,023-2015,Prince of Wales Is._grid,2,219,Hydaburg
332040,SR-80,Igiugig,121-0000,Igiugig_grid,681,9192,Igiugig
332050,SR-81,"Iliamna, Newhalen, Nondalton",123-1983,Newhalen_grid,280,9188,"Iliamna, Newhalen, Nondalton"
332680,SR-82,Kake,129-0000,Kake_grid,240,18963,Kake
332370,SR-83,Kaktovik,162-0000,Kaktovik_grid,254,26616,Kaktovik
331720,SR-84,Kalskag,052-0000,Kalskag_grid,169,221,Kalskag
331380,SR-85,Kaltag,054-0000,Kaltag_grid,169,221,Kaltag
331740,SR-86,Karluk,092-0000,Karluk_grid,683,NA,Karluk
331390,SR-87,Kasigluk,055-2006,Kasigluk_grid,169,221,Kasigluk
NA,SR-6,Ketchikan Public Utilities,217-2009,SEAPA_grid,103,10210,"Ketchikan, Saxman"
331400,SR-88,Kiana,057-0000,Kiana_grid,169,221,Kiana
332070,SR-89,King Cove,131-0000,King Cove_grid,289,9897,King Cove
332080,SR-90,Kipnuk,132-0000,Kipnuk_grid,446,NA,Kipnuk
331410,SR-91,Kivalina,058-0000,Kivalina_grid,169,221,Kivalina
331155,SR-92,Klawock,023-2015,Prince of Wales Is._grid,2,219,Klawock
332700,SR-93,Klukwan,032-1998,Haines_grid,240,18963,Klukwan
332090,SR-94,Kobuk,149-1980,Shungnak_grid,169,221,Kobuk
NA,SR-7,Kodiak Electric Assn Inc,223-0000,Kodiak_grid,16,10433,"The KEA service area includes the communities of Port Lions, Chiniak, Womens Bay and Woody Island."
332100,SR-95,Kokhanok,134-0000,Kokhanok_grid,660,10455,Kokhanok
332110,SR-96,Koliganek,157-0000,Koliganek_grid,661,NA,Koliganek
332510,SR-97,Kongiganak,176-0000,Kongiganak_grid,395,NA,Kongiganak
332120,SR-98,Kotlik,059-0000,Kotlik_grid,169,221,Kotlik
332130,SR-99,Kotzebue,135-0000,Kotzebue_grid,17,10451,Kotzebue
331420,SR-100,Koyuk,060-0000,Koyuk_grid,169,221,Koyuk
332140,SR-101,Koyukuk,136-0000,Koyukuk_grid,687,NA,Koyukuk
332150,SR-102,Kwethluk,137-0000,Kwethluk_grid,281,9832,Kwethluk
332160,SR-103,Kwigillingok,138-0000,Kwigillingok_grid,376,10491,Kwigillingok
332170,SR-104,Larsen Bay,139-0000,Larsen Bay_grid,353,10716,Larsen Bay
332180,SR-105,Levelock,140-0000,Levelock_grid,330,NA,Levelock
332190,SR-106,Lime Village,141-0000,Lime Village_grid,570,NA,Lime Village
331430,SR-107,Lower Kalskag,052-0000,Kalskag_grid,169,221,Lower Kalskag
332200,SR-108,Manley Hot Springs,188-0000,Manley Hot Springs_grid,72,56503,Manley Hot Springs
332210,SR-109,Manokotak,142-0000,Manokotak_grid,321,26317,Manokotak
331440,SR-110,Marshall,061-0000,Marshall_grid,169,221,Marshall
NA,SR-8,Matanuska Electric Assn Inc,215-1985,Railbelt_grid,18,11824,"In addition to Wasilla, the MEA service area includes 28 other communities."
332220,SR-111,McGrath,143-0000,McGrath_grid,44,12119,McGrath
331450,SR-112,Mekoryuk,062-0000,Mekoryuk_grid,169,221,Mekoryuk
331160,SR-113,Mentasta Lake,026-2012,Slana_grid,2,219,Mentasta Lake
NA,SR-195,Metlakatla Power & Light,225_0000,Metlakatla_grid,0,12385,Metlakatla
331460,SR-114,Minto,063-0000,Minto_grid,169,221,Minto
331470,SR-115,Mountain Village,075-2020,Mountain Village_grid,169,221,Mountain Village
NA,SR-207,"NUI Energy Brokers, Inc",NA,NA,0,13880,NA
332280,SR-116,"Naknek, South Naknek, King Salmon",150-0000,Naknek_grid,22,13201,"Naknek, South Naknek, King Salmon"
332290,SR-117,Napakiak,034-1988,Bethel_grid,319,13211,Napakiak
332300,SR-118,Napaskiak,153-0000,Napaskiak_grid,625,NA,Napaskiak
331170,SR-119,Naukati Bay,023-2015,Prince of Wales Is._grid,2,219,Naukati Bay
332320,SR-120,Nelson Lagoon,156-0000,Nelson Lagoon_grid,340,13477,Nelson Lagoon
331480,SR-121,New Stuyahok,065-2016,New_Stuyahok_grid,169,221,New Stuyahok
332870,SR-122,Newtok,196-0000,Newtok_grid,375,NA,Newtok
331490,SR-123,Nightmute,088-2008,Toksook Bay_grid,169,221,Nightmute
332330,SR-124,Nikolai,158-0000,Nikolai_grid,416,NA,Nikolai
332740,SR-125,Nikolski,193-0000,Nikolski_grid,242,NA,Nikolski
331500,SR-126,Noatak,066-0000,Noatak_grid,169,221,Noatak
332340,SR-127,Nome,159-0000,Nome_grid,150,13642,Nome
331510,SR-128,Noorvik,067-0000,Noorvik_grid,169,221,Noorvik
331180,SR-129,"Northway, Northway Village, Northway Junction",012-0000,Northway_grid,2,219,"Northway, Northway Village, Northway Junction"
332380,SR-130,Nuiqsut,163-0000,Nuiqsut_grid,254,26616,Nuiqsut
331520,SR-131,Nulato,068-0000,Nulato_grid,169,221,Nulato
332420,SR-132,Nunam Iqua,167-0000,Nunam Iqua_grid,408,NA,Nunam Iqua
331530,SR-133,Nunapitchuk,055-2006,Kasigluk_grid,169,221,Nunapitchuk
331540,SR-134,Old Harbor,069-0000,Old Harbor_grid,169,221,Old Harbor
332440,SR-135,Ouzinkie,170-0000,Ouzinkie_grid,357,14234,Ouzinkie
NA,SR-9,Paxson Inn and Lodge,226_0000,Paxson_grid,91,26754,Paxson
332450,SR-136,Pedro Bay,171-0000,Pedro Bay_grid,662,14633,Pedro Bay
332460,SR-137,Pelican,172-0000,Pelican_grid,24,29297,Pelican
332470,SR-138,Perryville,155-0000,Perryville_grid,659,14832,Perryville
NA,SR-198,"Petersburg, City of",217-2009,SEAPA_grid,212,14856,Petersburg
332480,SR-139,Pilot Point,173-0000,Pilot Point_grid,425,NA,Pilot Point
331550,SR-140,Pilot Station,070-0000,Pilot Station_grid,169,221,Pilot Station
331560,SR-141,Pitkas Point,075-2020,Saint Mary's_grid,169,221,Pitkas Point
332490,SR-142,Platinum,174-0000,Platinum_grid,0,NA,Platinum
332390,SR-143,Point Hope,164-0000,Point Hope_grid,254,26616,Point Hope
332400,SR-144,Point Lay,165-0000,Point Lay_grid,254,26616,Point Lay
332590,SR-145,Port Alsworth,183-0000,Port Alsworth_grid,447,NA,Port Alsworth
332500,SR-146,Port Heiden,175-0000,Port Heiden_grid,399,NA,Port Heiden
331570,SR-147,Quinhagak,071-0000,Quinhagak_grid,169,221,Quinhagak
332520,SR-148,Rampart,177-0000,Rampart_grid,759,NA,Rampart
332250,SR-149,Red Devil,146-0000,Red Devil_grid,343,12485,Red Devil
332530,SR-150,Ruby,178-0000,Ruby_grid,364,NA,Ruby
331580,SR-151,Russian Mission,072-0000,Russian Mission_grid,169,221,Russian Mission
332550,SR-152,Saint George,179-0000,Saint George_grid,410,NA,Saint George
331660,SR-153,"Saint Mary's, Andreafsky",075-2020,Saint Mary's_grid,169,221,"Saint Mary's, Andreafsky"
331670,SR-154,Saint Michael,084-2015,Stebbins_grid,169,221,Saint Michael
332560,SR-155,Saint Paul,180-0000,Saint Paul_grid,339,17898,Saint Paul
332540,SR-156,Sand Point,187-0000,Sand Point_grid,230,63560,Sand Point
331590,SR-157,Savoonga,076-0000,Savoonga_grid,169,221,Savoonga
331600,SR-158,Scammon Bay,077-0000,Scammon Bay_grid,169,221,Scammon Bay
331610,SR-159,Selawik,078-0000,Selawik_grid,169,221,Selawik
NA,SR-199,"Seward, City of",215-1985,Railbelt_grid,108,16955,"The City of Seward service area includes the communities of Crown Point, Primrose, Bear Creek and Lowell Point."
331620,SR-160,Shageluk,079-0000,Shageluk_grid,169,221,Shageluk
331630,SR-161,Shaktoolik,080-0000,Shaktoolik_grid,169,221,Shaktoolik
331640,SR-162,Shishmaref,081-0000,Shishmaref_grid,169,221,Shishmaref
331650,SR-163,Shungnak,149-1980,Shungnak_grid,169,221,Shungnak
NA,SR-193,"Sitka, City & Borough of",219-0000,Sitka_grid,100,17271,Sitka
331190,SR-164,Skagway,032-1998,Haines_grid,2,219,Skagway
331195,SR-165,Slana,026-2012,Slana_grid,2,219,Slana
332260,SR-166,Sleetmute,147-0000,Sleetmute_grid,343,12485,Sleetmute
NA,SR-212,Southeast Alaska Power Agency,217-2009,SEAPA_grid,0,60770,"Provides power to Ketchikan, Wrangell, Petersburg"
331680,SR-167,Stebbins,084-2015,Stebbins_grid,169,221,Stebbins
332570,SR-168,Stevens Village,181-0000,Stevens Village_grid,709,NA,Stevens Village
332270,SR-169,Stony River,148-0000,Stony River_grid,343,12485,Stony River
NA,SR-10,TDX North Slope Generating Co,224_0000,Deadhorse_grid,227,19277,Deadhorse
332580,SR-170,Takotna,182-0000,Takotna_grid,394,NA,Takotna
332600,SR-171,Tanana,184-0000,Tanana_grid,92,18474,Tanana
332610,SR-172,Tatitlek,185-0000,Tatitlek_grid,586,18480,Tatitlek
331685,SR-173,Teller,085-0000,Teller_grid,61,18521,Teller
332620,SR-173,Teller,085-0000,Teller_grid,61,18521,Teller
332630,SR-174,Tenakee Springs,189-0000,Tenakee Springs_grid,363,18541,Tenakee Springs
331200,SR-175,Tetlin,015-2008,Tok_grid,2,219,Tetlin
331210,SR-176,"Thorne Bay, City of",NA,ThorneBay_grid,0,18877,Thorne Bay
331690,SR-177,Togiak,086-2020,Togiak_grid,169,221,Togiak
331220,SR-178,"Tok, Tanacross",015-2008,Tok_grid,2,219,"Tok, Tanacross"
331700,SR-179,Toksook Bay,088-2008,Toksook Bay_grid,169,221,Toksook Bay
332710,SR-180,Tuluksak,190-0000,Tuluksak_grid,664,NA,Tuluksak
332720,SR-181,Tuntutuliak,191-0000,Tuntutuliak_grid,344,19267,Tuntutuliak
331710,SR-182,Tununak,088-2008,Toksook Bay_grid,169,221,Tununak
332730,SR-183,Twin Hills,086-2020,Togiak_grid,169,NA,Twin Hills
NA,SR-201,U S Air Force-Eielson AFB,215-1985,Railbelt_grid,0,22199,U S Air Force-Eielson AFB
NA,SR-208,U S Army-Ft Wainwright,215-1985,Railbelt_grid,0,22200,U S Army-Ft Wainwright
332850,SR-184,Unalakleet,194-0000,Unalakleet_grid,741,40548,Unalakleet
332860,SR-185,Unalaska,195-0000,Unalaska_grid,106,19454,Unalaska
NA,SR-209,Unisea Inc,NA,NA,0,19553,NA
NA,SR-210,University of Alaska,215-1985,Railbelt_grid,452,19511,University of Alaska
332880,SR-186,Venetie,197-0000,Venetie_grid,663,NA,Venetie
332410,SR-187,Wainwright,166-0000,Wainwright_grid,254,26616,Wainwright
331730,SR-188,Wales,090-0000,Wales_grid,169,221,Wales
331230,SR-189,Whale Pass,213-0000,Whale_Pass_grid,2,219,Whale Pass
332890,SR-190,White Mountain,198-0000,WhiteMountain_grid,409,20535,White Mountain
NA,SR-200,"Wrangell, City of",217-2009,SEAPA_grid,111,21015,Wrangell
332900,SR-191,Yakutat,091-0000,Yakutat_grid,169,221,Yakutat
