identifier,project_code,stage_code,shortcut_dimension_4_code,line_no,sales_reporter_id,sales_reporting_name,ak_operator_id,operator_name,plant_id,plant_name,intertie_id,intertie_name,utility,community,amount,purchased_from,purchased_from_2,powerhouse_consumption_kwh,peak_consumption_kw,residential_sold_to,commercial_sold_to,com_facil_sold_to,govt_facil_sold_to,unbilled_sold_to,most_recent_fuel_purch_price,fuel_used_gallons,non_fuel_expenses,fuel_cost,total_kwh_purchased,total_kwh_purchased_2,residential_customers,commercial_customers,com_facil_customers,govt_facil_customers,unbilled_customers,other_customers,other_customers_description,diesel_kwh_generated,hydro_kwh_generated,natural_gas_kwh_generated,wind_kwh_generated,solar_kwh_generated,other_kwh_generated,calendar_month,fiscal_year,calendar_year,pce_eligible_residential_kwh,pce_eligible_com_facil_kwh,pce_eligible_community_kwh,pce_eligible_total_kwh,actual_rate,pro_rata_rate,residential_rate,effective_residential_rate,residential_kwh_per_customer_per_month,pce_residential_kwh_per_customer_per_month
A3313000116225003,331300,01,16,0,SR-61,Elim,AK-OP-006,Alaska Village Electric Cooperative,P50,Elim,043-0000,Elim_grid,ALASKA VILLAGE ELECTRIC COOP,ELIM,15895.06,NA,NA,1384,NA,35530,29466,8299,16296,0,4.0779,6659,NA,27154.07,0,NA,92,17,9,19,0,0,NA,95208,0,NA,NA,NA,NA,7,2016,2015,31578,0,8299,39877,0.4026,0.4026,0.6247,0.2221,386.19565217391306,343.2391304347826
A3313100116225003,331310,01,16,0,SR-62,Emmonak,AK-OP-006,Alaska Village Electric Cooperative,P51,Emmonak,045-2016,Emmonak_grid,ALASKA VILLAGE ELECTRIC COOP,EMMONAK,44876.12,NA,NA,6152,NA,75642,191364,58870,38137,0,3.9997,28579,NA,93873.44,0,NA,203,50,11,30,0,0,NA,372836,0,NA,0,NA,NA,7,2016,2015,65506,0,58869,124375,0.377,0.377,0.6062,0.22919999999999996,372.62068965517244,322.6896551724138
A3313200116225003,331320,01,16,0,SR-66,Gambell,AK-OP-006,Alaska Village Electric Cooperative,P52,Gambell,046-0000,Gambell_grid,ALASKA VILLAGE ELECTRIC COOP,GAMBELL,19284.35,NA,NA,4681,NA,49857,26630,10637,22648,0,4.0461,7427,NA,26840.44,0,NA,162,18,11,29,0,0,NA,100980,0,NA,21415,NA,NA,7,2016,2015,45409,0,10637,56046,0.3474,0.3474,0.582,0.2346,307.75925925925924,280.3024691358025
A3313300116225003,331330,01,16,0,SR-68,Goodnews Bay,AK-OP-006,Alaska Village Electric Cooperative,P82,Goodnews Bay,047-0000,Goodnews Bay_grid,ALASKA VILLAGE ELECTRIC COOP,GOODNEWS BAY,10933.92,NA,NA,1670,NA,23177,7075,3978,3163,0,4.0056,3435,NA,12442.94,0,NA,77,7,10,7,0,0,NA,41097,0,NA,NA,NA,NA,7,2016,2015,21862,0,3978,25840,0.4242,0.4242,0.6474,0.22319999999999995,301,283.9220779220779
A3313400116225003,331340,01,16,0,SR-69,Grayling,AK-OP-006,Alaska Village Electric Cooperative,P83,Grayling,048-0000,Grayling_grid,ALASKA VILLAGE ELECTRIC COOP,GRAYLING,9109.74,NA,NA,2614,NA,17671,8253,7077,3944,0,3.7478,3327,NA,12469.26,0,NA,63,6,10,5,0,0,NA,41953,0,NA,NA,NA,NA,7,2016,2015,16391,0,7077,23468,0.3945,0.3945,0.6162,0.22169999999999995,280.4920634920635,260.1746031746032
A3313500116225003,331350,01,16,0,SR-74,Holy Cross,AK-OP-006,Alaska Village Electric Cooperative,P84,Holy Cross,049-0000,Holy Cross_grid,ALASKA VILLAGE ELECTRIC COOP,HOLY CROSS,8490.17,NA,NA,2440,NA,19506,5243,5192,5334,0,3.7312,3111,NA,9214.78,0,NA,74,6,12,9,0,0,NA,38656,0,NA,NA,NA,NA,7,2016,2015,17093,0,5192,22285,0.3838,0.3838,0.6049,0.2211,263.5945945945946,230.98648648648648
A3313600116225003,331360,01,16,0,SR-76,Hooper Bay,AK-OP-006,Alaska Village Electric Cooperative,P53,Hooper Bay,050-0000,Hooper Bay_grid,ALASKA VILLAGE ELECTRIC COOP,HOOPER BAY,31391.12,NA,NA,5116,NA,72292,67860,17945,35520,0,4.066,15323,NA,48583.1,0,NA,254,40,12,30,0,0,NA,210424,0,NA,1158,NA,NA,7,2016,2015,68974,0,17945,86919,0.3664,0.3664,0.5972,0.23079999999999995,284.61417322834643,271.5511811023622
A3313700116225003,331370,01,16,0,SR-78,Huslia,AK-OP-006,Alaska Village Electric Cooperative,P85,Huslia,051-0000,Huslia_grid,ALASKA VILLAGE ELECTRIC COOP,HUSLIA,14643.64,NA,NA,2822,NA,39767,2867,5529,10965,0,3.9264,4710,NA,17070.45,0,NA,103,8,16,12,0,0,NA,63751,0,NA,NA,NA,NA,7,2016,2015,32168,0,5529,37697,0.3906,0.3906,0.6121,0.22149999999999995,386.0873786407767,312.31067961165047
A3313800116225003,331380,01,16,0,SR-85,Kaltag,AK-OP-006,Alaska Village Electric Cooperative,P86,Kaltag,054-0000,Kaltag_grid,ALASKA VILLAGE ELECTRIC COOP,KALTAG,8222.92,NA,NA,1047,NA,18721,6244,2882,16563,0,3.6607,3827,NA,14009.88,0,NA,69,10,10,14,0,0,NA,48699,0,NA,NA,1030,NA,7,2016,2015,17856,0,2882,20738,0.3969,0.3969,0.6187,0.22180000000000005,271.3188405797101,258.7826086956522
A3313900116225003,331390,01,16,0,SR-87,Kasigluk,AK-OP-006,Alaska Village Electric Cooperative,P54,Kasigluk,055-2006,Kasigluk_grid,ALASKA VILLAGE ELECTRIC COOP,KASIGLUK,23157.74,NA,NA,11113,NA,52120,18806,21689,18258,0,4.0216,13982,NA,50547.73,0,NA,118,16,9,14,0,0,NA,184982,0,NA,17913,NA,NA,7,2016,2015,43523,0,21689,65212,0.3613,0.3613,0.5928,0.2315,441.6949152542373,368.83898305084745
A3314000116225003,331400,01,16,0,SR-88,Kiana,AK-OP-006,Alaska Village Electric Cooperative,P55,Kiana,057-0000,Kiana_grid,ALASKA VILLAGE ELECTRIC COOP,KIANA,22725.28,NA,NA,2995,NA,46685,17754,13132,12202,0,4.3233,7692,NA,26762.78,0,NA,123,13,12,6,0,0,NA,98978,0,NA,NA,NA,NA,7,2016,2015,38409,0,13132,51541,0.4475,0.4475,0.6719,0.22440000000000004,379.5528455284553,312.2682926829268
A3314100116225003,331410,01,16,0,SR-91,Kivalina,AK-OP-006,Alaska Village Electric Cooperative,P56,Kivalina,058-0000,Kivalina_grid,ALASKA VILLAGE ELECTRIC COOP,KIVALINA,15541.37,NA,NA,4019,NA,35332,8516,5994,14831,0,4.325,5656,NA,24462.2,0,NA,86,8,10,6,0,0,NA,74919,0,NA,NA,NA,NA,7,2016,2015,29205,0,5994,35199,0.4443,0.4443,0.6686,0.2243,410.83720930232556,339.59302325581393
A3314200116225003,331420,01,16,0,SR-100,Koyuk,AK-OP-006,Alaska Village Electric Cooperative,P58,Koyuk,060-0000,Koyuk_grid,ALASKA VILLAGE ELECTRIC COOP,KOYUK,13062.62,NA,NA,1241,NA,29482,20233,7228,18512,0,4.0984,5642,NA,23123.17,0,NA,86,12,9,18,0,0,NA,79800,0,NA,NA,NA,NA,7,2016,2015,25154,0,7228,32382,0.4067,0.4067,0.629,0.2223,342.8139534883721,292.48837209302326
A3314400116225003,331440,01,16,0,SR-110,Marshall,AK-OP-006,Alaska Village Electric Cooperative,P59,Marshall,061-0000,Marshall_grid,ALASKA VILLAGE ELECTRIC COOP,MARSHALL,17789.2,NA,NA,3472,NA,41674,18994,9187,27336,0,3.7249,7656,NA,28517.83,0,NA,112,20,15,8,0,0,NA,103288,0,NA,NA,NA,NA,7,2016,2015,37128,0,9187,46315,0.3866,0.3866,0.6078,0.2212,372.0892857142857,331.5
A3314500116225003,331450,01,16,0,SR-112,Mekoryuk,AK-OP-006,Alaska Village Electric Cooperative,P87,Mekoryuk,062-0000,Mekoryuk_grid,ALASKA VILLAGE ELECTRIC COOP,MEKORYUK,9569.33,NA,NA,3959,NA,21733,10576,5217,10224,0,4.0187,3652,NA,12815.6,0,NA,85,17,11,11,0,0,NA,48992,0,NA,6429,NA,NA,7,2016,2015,20399,0,5217,25616,0.3662,0.3662,0.6025,0.2363,255.68235294117648,239.98823529411766
A3314600116225003,331460,01,16,0,SR-114,Minto,AK-OP-006,Alaska Village Electric Cooperative,P88,Minto,063-0000,Minto_grid,ALASKA VILLAGE ELECTRIC COOP,MINTO,9442.49,NA,NA,2896,NA,19617,8207,7562,6031,0,3.2667,3814,NA,10655.55,0,NA,76,12,5,10,0,0,NA,47272,0,NA,NA,NA,NA,7,2016,2015,18466,0,7562,26028,0.3717,0.3717,0.5922,0.22049999999999997,258.11842105263156,242.97368421052633
A3314700116225003,331470,01,16,0,SR-115,Mountain Village,AK-OP-006,Alaska Village Electric Cooperative,P60,Mountain Village,075-2020,Mountain Village_grid,ALASKA VILLAGE ELECTRIC COOP,MT. VILLAGE,30740.39,NA,NA,5083,NA,65360,41916,18687,42619,0,4.0283,14270,NA,49692.42,0,NA,180,23,18,24,0,0,NA,184820,0,NA,NA,NA,NA,7,2016,2015,59819,0,18687,78506,0.3968,0.3968,0.6186,0.22180000000000005,363.1111111111111,332.3277777777778
A3314800116225003,331480,01,16,0,SR-121,New Stuyahok,AK-OP-006,Alaska Village Electric Cooperative,P61,New Stuyahok,065-2016,New_Stuyahok_grid,ALASKA VILLAGE ELECTRIC COOP,NEW STUYAHOK,17417.87,NA,NA,2546,NA,37928,19107,6432,17281,0,4.4224,6674,NA,27627.02,0,NA,99,19,10,22,0,0,NA,85484,0,NA,NA,NA,NA,7,2016,2015,34952,0,6432,41384,0.4234,0.4234,0.6466,0.22319999999999995,383.1111111111111,353.050505050505
A3315000116225003,331500,01,16,0,SR-126,Noatak,AK-OP-006,Alaska Village Electric Cooperative,P62,Noatak,066-0000,Noatak_grid,ALASKA VILLAGE ELECTRIC COOP,NOATAK,37244.38,NA,NA,4473,NA,53820,18522,12598,14538,0,7.1032,8217,NA,57251.95,0,NA,117,11,9,15,0,0,NA,111358,0,NA,NA,NA,NA,7,2016,2015,45848,0,12598,58446,0.6425,0.6425,0.8772,0.2347,460,391.86324786324786
A3315100116225003,331510,01,16,0,SR-128,Noorvik,AK-OP-006,Alaska Village Electric Cooperative,P63,Noorvik,067-0000,Noorvik_grid,ALASKA VILLAGE ELECTRIC COOP,NOORVIK,25929.56,NA,NA,2356,NA,53346,16038,13425,11258,0,4.3919,8436,NA,37050.07,0,NA,129,13,10,19,0,0,NA,101739,0,NA,NA,NA,NA,7,2016,2015,44278,0,13425,57703,0.4526,0.4526,0.6773,0.2247,413.5348837209302,343.2403100775194
A3315200116225003,331520,01,16,0,SR-131,Nulato,AK-OP-006,Alaska Village Electric Cooperative,P90,Nulato,068-0000,Nulato_grid,ALASKA VILLAGE ELECTRIC COOP,NULATO,16025.7,NA,NA,1516,NA,29595,3284,13525,10878,0,3.6994,4890,NA,18090.07,0,NA,106,10,17,13,0,0,NA,61438,0,NA,NA,NA,NA,7,2016,2015,26810,0,13525,40335,0.4052,0.4052,0.6274,0.22219999999999995,279.1981132075472,252.9245283018868
A3315400116225003,331540,01,16,0,SR-134,Old Harbor,AK-OP-006,Alaska Village Electric Cooperative,P91,Old Harbor,069-0000,Old Harbor_grid,ALASKA VILLAGE ELECTRIC COOP,OLD HARBOR,14566.39,NA,NA,2249,NA,28028,10037,13112,5959,0,3.8073,4636,NA,13849.77,0,NA,94,19,11,4,0,0,NA,63375,0,NA,NA,NA,NA,7,2016,2015,25599,0,13112,38711,0.3856,0.3856,0.6068,0.2212,298.17021276595744,272.32978723404256
A3315500116225003,331550,01,16,0,SR-140,Pilot Station,AK-OP-006,Alaska Village Electric Cooperative,P65,Pilot Station,070-0000,Pilot Station_grid,ALASKA VILLAGE ELECTRIC COOP,PILOT STATION,20839.06,NA,NA,2245,NA,43307,21220,15327,29752,0,3.7216,9849,NA,27462.95,0,NA,136,12,11,12,0,0,NA,120223,0,NA,NA,NA,NA,7,2016,2015,40484,0,15327,55811,0.3808,0.3808,0.6017,0.2209,318.43382352941177,297.6764705882353
A3315700116225003,331570,01,16,0,SR-147,Quinhagak,AK-OP-006,Alaska Village Electric Cooperative,P66,Quinhagak,071-0000,Quinhagak_grid,ALASKA VILLAGE ELECTRIC COOP,QUINHAGAK,24965.92,NA,NA,2151,NA,61760,40715,15593,17174,0,4.1157,8828,NA,30415.99,0,NA,181,22,16,11,0,0,NA,129919,0,NA,13121,NA,NA,7,2016,2015,56390,0,15593,71983,0.3473,0.3473,0.584,0.23669999999999997,341.21546961325964,311.54696132596683
A3315800116225003,331580,01,16,0,SR-151,Russian Mission,AK-OP-006,Alaska Village Electric Cooperative,P93,Russian Mission,072-0000,Russian Mission_grid,ALASKA VILLAGE ELECTRIC COOP,RUSSIAN MISSION,10430.11,NA,NA,1578,NA,26753,8044,2199,19657,0,3.6981,4774,NA,17654.73,0,NA,73,13,5,8,0,0,NA,61947,0,NA,NA,NA,NA,7,2016,2015,24603,0,2199,26802,0.3895,0.3895,0.6109,0.2214,366.47945205479454,337.027397260274
A3315900116225003,331590,01,16,0,SR-157,Savoonga,AK-OP-006,Alaska Village Electric Cooperative,P68,Savoonga,076-0000,Savoonga_grid,ALASKA VILLAGE ELECTRIC COOP,SAVOONGA,20713.68,NA,NA,3413,NA,59934,28118,11565,32283,0,4.0074,10239,NA,41031.77,0,NA,162,15,8,22,0,0,NA,133058,0,NA,11358,NA,NA,7,2016,2015,49633,0,11565,61198,0.3437,0.3437,0.5727,0.229,369.962962962963,306.37654320987656
A3316000116225003,331600,01,16,0,SR-158,Scammon Bay,AK-OP-006,Alaska Village Electric Cooperative,P69,Scammon Bay,077-0000,Scammon Bay_grid,ALASKA VILLAGE ELECTRIC COOP,SCAMMON BAY,20751.63,NA,NA,2966,NA,45691,13355,10977,34324,0,4.0563,8759,NA,29853.3,0,NA,124,17,8,20,0,0,NA,116401,0,NA,NA,NA,NA,7,2016,2015,40175,0,10977,51152,0.4114,0.4114,0.6339,0.22250000000000003,368.4758064516129,323.991935483871
A3316100116225003,331610,01,16,0,SR-159,Selawik,AK-OP-006,Alaska Village Electric Cooperative,P70,Selawik,078-0000,Selawik_grid,ALASKA VILLAGE ELECTRIC COOP,SELAWIK,30762.64,NA,NA,3222,NA,58525,29483,27017,18906,0,4.3079,10591,NA,45624.97,0,NA,175,31,15,21,0,0,NA,140541,0,NA,4010,NA,NA,7,2016,2015,51088,0,27017,78105,0.4057,0.4057,0.6292,0.2235,334.42857142857144,291.93142857142857
A3316200116225003,331620,01,16,0,SR-160,Shageluk,AK-OP-006,Alaska Village Electric Cooperative,P94,Shageluk,079-0000,Shageluk_grid,ALASKA VILLAGE ELECTRIC COOP,SHAGELUK,5204.46,NA,NA,1918,NA,8548,6657,4133,3670,0,3.7711,2579,NA,7545.12,0,NA,35,5,7,5,0,0,NA,27036,0,NA,NA,NA,NA,7,2016,2015,7532,0,4133,11665,0.4523,0.4523,0.677,0.22470000000000007,244.22857142857143,215.2
A3316300116225003,331630,01,16,0,SR-161,Shaktoolik,AK-OP-006,Alaska Village Electric Cooperative,P95,Shaktoolik,080-0000,Shaktoolik_grid,ALASKA VILLAGE ELECTRIC COOP,SHAKTOOLIK,9290.94,NA,NA,4800,NA,30840,22820,4714,17113,0,4.0966,4921,NA,20159.37,0,NA,63,13,5,16,0,0,NA,65245,0,NA,19235,NA,NA,7,2016,2015,24362,0,4714,29076,0.3221,0.3221,0.5571,0.23500000000000004,489.5238095238095,386.6984126984127
A3316400116225003,331640,01,16,0,SR-162,Shishmaref,AK-OP-006,Alaska Village Electric Cooperative,P71,Shishmaref,081-0000,Shishmaref_grid,ALASKA VILLAGE ELECTRIC COOP,SHISHMAREF,24280.96,NA,NA,3991,NA,48731,29545,10733,20413,0,4.3631,8192,NA,35741.7,0,NA,142,17,10,25,0,0,NA,112887,0,NA,NA,NA,NA,7,2016,2015,45531,0,10733,56264,0.4351,0.4351,0.6589,0.22380000000000003,343.17605633802816,320.64084507042253
A3316500116225003,331650,01,16,0,SR-163,Shungnak,AK-OP-006,Alaska Village Electric Cooperative,P72,Shungnak,149-1980,Shungnak_grid,ALASKA VILLAGE ELECTRIC COOP,SHUNGNAK,14169.91,NA,NA,4750,NA,23035,14820,6727,6648,0,5.5445,7200,NA,40230.72,0,NA,59,15,10,5,0,0,NA,94038,0,NA,NA,NA,NA,7,2016,2015,20079,0,6727,26806,0.5327,0.5327,0.7616,0.2289000000000001,390.4237288135593,340.3220338983051
A3316600116225003,331660,01,16,0,SR-153,"Saint Mary's, Andreafsky",AK-OP-006,Alaska Village Electric Cooperative,P67,Saint Mary's,075-2020,Saint Mary's_grid,ALASKA VILLAGE ELECTRIC COOP,ST. MARY'S,27715.85,NA,NA,2840,NA,53467,53114,26927,39581,0,3.6579,15235,NA,42229.9,0,NA,160,56,15,22,0,0,NA,199359,0,NA,NA,NA,NA,7,2016,2015,48555,0,26927,75482,0.3793,0.3793,0.6002,0.22089999999999993,334.16875,303.46875
A3316700116225003,331670,01,16,0,SR-154,Saint Michael,AK-OP-006,Alaska Village Electric Cooperative,P73,Saint Michael,084-2015,Stebbins_grid,ALASKA VILLAGE ELECTRIC COOP,ST. MICHAEL,18667.74,NA,NA,3745,NA,35470,33885,18836,20896,0,4.1002,8440,NA,34605.69,0,NA,87,20,8,19,0,0,NA,117828,0,NA,NA,NA,NA,7,2016,2015,29402,0,18836,48238,0.4,0.4,0.6219,0.2219,407.7011494252874,337.95402298850576
A3316800116225003,331680,01,16,0,SR-167,Stebbins,AK-OP-006,Alaska Village Electric Cooperative,P74,Stebbins,084-2015,Stebbins_grid,ALASKA VILLAGE ELECTRIC COOP,STEBBINS,19629.99,NA,NA,3896,NA,43038,24245,10389,16681,0,4.0667,7672,NA,26601.89,0,NA,125,24,12,20,0,0,NA,103227,0,NA,NA,NA,NA,7,2016,2015,39305,0,10389,49694,0.3993,0.3993,0.6212,0.2219,344.304,314.44
A3316850116225003,331685,01,16,0,SR-173,Teller,AK-OP-006,Alaska Village Electric Cooperative,P96,Teller,085-0000,Teller_grid,ALASKA VILLAGE ELECTRIC COOP,TELLER,9597.92,NA,NA,2502,NA,19554,11535,3024,12346,0,4.0424,5300,NA,21424.72,0,NA,73,12,7,18,0,0,NA,53184,0,NA,NA,NA,NA,7,2016,2015,18707,0,3024,21731,0.4417,0.4417,0.6658,0.22409999999999997,267.86301369863014,256.26027397260276
A3316900116225003,331690,01,16,0,SR-177,Togiak,AK-OP-006,Alaska Village Electric Cooperative,P75,Togiak,086-2020,Togiak_grid,ALASKA VILLAGE ELECTRIC COOP,TOGIAK,38215.46,NA,NA,4895,NA,87889,149671,17452,23414,0,4.3727,22100,NA,82287.14,0,NA,224,37,19,34,0,0,NA,295046,0,NA,NA,NA,NA,7,2016,2015,74077,0,17452,91529,0.4204,0.4204,0.6434,0.223,392.36160714285717,330.70089285714283
A3317000116225003,331700,01,16,0,SR-179,Toksook Bay,AK-OP-006,Alaska Village Electric Cooperative,P76,Toksook Bay,088-2008,Toksook Bay_grid,ALASKA VILLAGE ELECTRIC COOP,TOKSOOK BAY,21918.42,NA,NA,9015,NA,51147,23532,20212,17248,0,3.9641,15171,NA,53688.65,0,NA,131,25,12,9,0,0,NA,206284,0,NA,28863,NA,NA,7,2016,2015,45748,0,20212,65960,0.3401,0.3401,0.5697,0.22959999999999997,390.4351145038168,349.22137404580155
A3317200116225003,331720,01,16,0,SR-84,Kalskag,AK-OP-006,Alaska Village Electric Cooperative,P77,Upper Kalskag,052-0000,Kalskag_grid,ALASKA VILLAGE ELECTRIC COOP,UPPER KALSKAG,7509.87,NA,NA,2351,NA,23552,12891,325,8570,0,3.9766,6438,NA,22390.72,0,NA,59,21,2,9,0,0,NA,86495,0,NA,NA,NA,NA,7,2016,2015,18644,0,325,18969,0.3959,0.3959,0.6176,0.2217000000000001,399.1864406779661,316
A3317300116225003,331730,01,16,0,SR-188,Wales,AK-OP-006,Alaska Village Electric Cooperative,P98,Wales,090-0000,Wales_grid,ALASKA VILLAGE ELECTRIC COOP,WALES,8373.68,NA,NA,1884,NA,12962,10225,6157,7322,0,4.327,3879,NA,16784.43,0,NA,46,15,6,10,0,0,NA,42047,0,NA,NA,NA,NA,7,2016,2015,11491,0,6157,17648,0.4815,0.4815,0.7077,0.2262,281.7826086956522,249.80434782608697
A3317400116225003,331740,01,16,0,SR-86,Karluk,AK-OP-007,Alutiiq Power Company,P100,Karluk,092-0000,Karluk_grid,ALUTIIQ POWER COMPANY - SEE KARLITC,KARLUK,2900.85,NA,NA,189,35,3932,7089,2460,0,0,4.4584,1487,9499.95,6629.64,0,NA,15,9,4,1,2,0,NA,14657,0,NA,NA,NA,NA,7,2016,2015,3358,0,2460,5818,0.4986,0.4986,0.7,0.20139999999999997,262.1333333333333,223.86666666666667
A3318000116225003,331800,01,16,0,SR-28,"Bethel, Oscarville",AK-OP-006,Alaska Village Electric Cooperative,P47,Bethel,034-1988,Bethel_grid,ALASKA VILLAGE ELECTRIC COOP,BETHEL; OSCARVILLE,191988.44,NA,NA,80574,NA,705029,1713535,85231,385783,0,4.4493,232419,NA,857323.97,0,NA,1839,782,25,89,0,0,NA,3173000,0,NA,NA,NA,NA,7,2016,2015,584555,0,85231,669786,0.2883,0.2883,0.4465,0.1582,383.3762914627515,317.8656878738445
A3318200116225003,331820,01,16,0,SR-32,Buckland,AK-OP-016,"Buckland, City of",P113,Buckland,099-0000,Buckland_grid,CITY OF BUCKLAND,BUCKLAND,10113.21,NA,NA,2529,234,45111,38475,7649,0,362,4.5624,6806,3679.03,31051.69,0,NA,98,17,10,0,2,0,NA,94036,0,NA,3195,NA,NA,7,2016,2015,36347,0,5547,41894,0.2414,0.2414,0.4741,0.2327,460.31632653061223,370.88775510204084
