identifier,project_code,stage_code,shortcut_dimension_4_code,line_no,sales_reporter_id,sales_reporting_name,ak_operator_id,operator_name,plant_id,plant_name,intertie_id,intertie_name,utility,community,amount,purchased_from,purchased_from_2,powerhouse_consumption_kwh,peak_consumption_kw,residential_sold_to,commercial_sold_to,com_facil_sold_to,govt_facil_sold_to,unbilled_sold_to,most_recent_fuel_purch_price,fuel_used_gallons,non_fuel_expenses,fuel_cost,total_kwh_purchased,total_kwh_purchased_2,residential_customers,commercial_customers,com_facil_customers,govt_facil_customers,unbilled_customers,other_customers,other_customers_description,diesel_kwh_generated,hydro_kwh_generated,natural_gas_kwh_generated,wind_kwh_generated,solar_kwh_generated,other_kwh_generated,calendar_month,fiscal_year,calendar_year,pce_eligible_residential_kwh,pce_eligible_com_facil_kwh,pce_eligible_community_kwh,pce_eligible_total_kwh,actual_rate,pro_rata_rate,residential_rate,effective_residential_rate,residential_kwh_per_customer_per_month,pce_residential_kwh_per_customer_per_month
A3310200116225003,331020,01,16,0,SR-13,Akiachak,AK-OP-003,Akiachak Native Community,P3,Akiachak,002-0000,Akiachak_grid,AKIACHAK NATIVE COMMUNITY,AKIACHAK,22090.16,NA,NA,3900,325,47764,11593,14865,27881,7615,3.7826,10013,109436.2,37875.17,0,NA,184,16,11,17,4,0,NA,127341,0,NA,NA,NA,NA,7,2016,2015,44822,0,14865,59687,0.3701,0.3701,0.6,0.2299,259.5869565217391,243.59782608695653
A3310900116225003,331090,01,16,0,SR-50,Craig,AK-OP-005,Alaska Power & Telephone Company,P20,Craig,023-2015,Prince of Wales Is._grid,ALASKA POWER & TELEPHONE,CRAIG,8338.51,BLACK BEAR LAKE / SOUTH FORK,NA,13486,5107,262355,795804,107988,34760,0,3.21,45332,NA,145515.72,1948948,NA,661,297,46,23,0,0,NA,648599,0,NA,NA,NA,NA,7,2016,2015,194187,0,83860,278047,0.0301,0.0301,0.2607,0.2306,396.90620272314675,293.77760968229956
A3311100116225003,331110,01,16,0,SR-56,"Eagle, Eagle Village",AK-OP-005,Alaska Power & Telephone Company,P34,Eagle,009-0000,Eagle_grid,ALASKA POWER & TELEPHONE,EAGLE; EAGLE VILLAGE,9296.73,NA,NA,344,108,25678,12661,389,7684,0,3.15,4040,NA,12726,0,NA,134,19,7,18,0,0,NA,52080,0,NA,NA,3037,NA,7,2016,2015,22967,0,389,23356,0.398,0.398,0.7075,0.3095,191.62686567164178,171.3955223880597
A3311200116225003,331120,01,16,0,SR-71,"Haines, Covenant Life",AK-OP-005,Alaska Power & Telephone Company,P22,Haines,032-1998,Haines_grid,ALASKA POWER & TELEPHONE,HAINES; COVENANT LIFE,12963.76,GOAT LAKE/KASIDAYA/IPEC/LUTAK,NA,14800,2053,391783,392600,70071,72785,0,3.52,1137,NA,4002.24,1039145,NA,1106,338,33,29,0,0,NA,15120,0,NA,NA,NA,NA,7,2016,2015,306331,0,69771,376102,0.0346,0.0346,0.2648,0.2302,354.23417721518985,276.97197106690777
A3312400116225003,331240,01,16,0,SR-16,Alakanuk,AK-OP-006,Alaska Village Electric Cooperative,P45,Alakanuk,045-2016,Emmonak_grid,ALASKA VILLAGE ELECTRIC COOP,ALAKANUK,26194.86,NA,NA,2615,NA,54266,18042,15045,49130,0,4.0189,11377,NA,36011.62,0,NA,164,17,10,8,0,0,NA,151179,0,NA,NA,NA,NA,7,2016,2015,49692,0,15045,64737,0.4114,0.4114,0.634,0.2226,330.890243902439,303
A3312500116225003,331250,01,16,0,SR-18,Ambler,AK-OP-006,Alaska Village Electric Cooperative,P46,Ambler,035-0000,Ambler_grid,ALASKA VILLAGE ELECTRIC COOP,AMBLER,19214.9,NA,NA,2318,NA,35377,12461,13622,14720,0,5.4374,6300,NA,25257.96,0,NA,83,12,13,8,0,0,NA,83518,0,NA,NA,NA,NA,7,2016,2015,26272,0,13622,39894,0.4906,0.4906,0.7173,0.22670000000000007,426.2289156626506,316.5301204819277
A3312600116225003,331260,01,16,0,SR-22,Anvik,AK-OP-006,Alaska Village Electric Cooperative,P79,Anvik,036-0000,Anvik_grid,ALASKA VILLAGE ELECTRIC COOP,ANVIK,6311.77,NA,NA,1250,NA,10803,6192,4177,4403,0,3.73,2526,NA,9421.98,0,NA,41,10,8,12,0,0,NA,28332,0,NA,NA,NA,NA,7,2016,2015,10288,0,4177,14465,0.4365,0.4365,0.6604,0.2239,263.4878048780488,250.9268292682927
A3312700116225003,331270,01,16,0,SR-31,Brevig Mission,AK-OP-006,Alaska Village Electric Cooperative,P48,Brevig Mission,039-0000,Brevig Mission_grid,ALASKA VILLAGE ELECTRIC COOP,BREVIG MISSION,14906.09,NA,NA,3070,NA,31701,7017,11645,19809,0,3.8365,5529,NA,21212.01,0,NA,83,9,10,15,0,0,NA,74619,0,NA,NA,NA,NA,7,2016,2015,27986,0,11645,39631,0.3852,0.3852,0.6064,0.2212000000000001,381.93975903614455,337.1807228915663
A3312800116225003,331280,01,16,0,SR-37,Chevak,AK-OP-006,Alaska Village Electric Cooperative,P49,Chevak,040-0000,Chevak_grid,ALASKA VILLAGE ELECTRIC COOP,CHEVAK,24300.02,NA,NA,7534,NA,62549,31280,17010,34259,0,3.8763,9847,NA,38170.91,0,NA,202,20,11,21,0,0,NA,128632,0,NA,33787,NA,NA,7,2016,2015,57888,0,17010,74898,0.329,0.329,0.5668,0.23779999999999996,309.6485148514852,286.5742574257426
A3312900116225003,331290,01,16,0,SR-57,Eek,AK-OP-006,Alaska Village Electric Cooperative,P80,Eek,041-0000,Eek_grid,ALASKA VILLAGE ELECTRIC COOP,EEK,14390.03,NA,NA,1128,NA,29030,13197,5833,7352,0,4.0525,4756,NA,15759.96,0,NA,105,14,9,9,0,0,NA,59900,0,NA,NA,NA,NA,7,2016,2015,27720,0,5833,33553,0.4313,0.4313,0.6549,0.2236,276.4761904761905,264
