pce_reporting_id,sales_reporter_id,sales_reporting_name,intertie_id,intertie_name
332260,SR-166,Sleetmute,147-0000,Sleetmute_grid
331680,SR-167,Stebbins,084-2015,Stebbins_grid
332570,SR-168,Stevens Village,181-0000,Stevens Village_grid
332270,SR-169,Stony River,148-0000,Stony River_grid
332580,SR-170,Takotna,182-0000,Takotna_grid
332600,SR-171,Tanana,184-0000,Tanana_grid
332610,SR-172,Tatitlek,185-0000,Tatitlek_grid
331685,SR-173,Teller,085-0000,Teller_grid
332620,SR-173,Teller,085-0000,Teller_grid
332630,SR-174,Tenakee Springs,189-0000,Tenakee Springs_grid
331200,SR-175,Tetlin,015-2008,Tok_grid
331210,SR-176,"Thorne Bay, City of",NA,ThorneBay_grid
331690,SR-177,Togiak,086-2020,Togiak_grid
331220,SR-178,"Tok, Tanacross",015-2008,Tok_grid
331700,SR-179,Toksook Bay,088-2008,Toksook Bay_grid
332710,SR-180,Tuluksak,190-0000,Tuluksak_grid
332720,SR-181,Tuntutuliak,191-0000,Tuntutuliak_grid
331710,SR-182,Tununak,088-2008,Toksook Bay_grid
332730,SR-183,Twin Hills,086-2020,Togiak_grid
332850,SR-184,Unalakleet,194-0000,Unalakleet_grid
332860,SR-185,Unalaska,195-0000,Unalaska_grid
332880,SR-186,Venetie,197-0000,Venetie_grid
332410,SR-187,Wainwright,166-0000,Wainwright_grid
331730,SR-188,Wales,090-0000,Wales_grid
331230,SR-189,Whale Pass,213-0000,Whale_Pass_grid
332890,SR-190,White Mountain,198-0000,WhiteMountain_grid
332900,SR-191,Yakutat,091-0000,Yakutat_grid
