project_code,ak_operator_id,operator_name
331010,AK-OP-001,"Akhiok, City of"
331020,AK-OP-003,Akiachak Native Community
331030,AK-OP-002,Akiak City Council
331040,AK-OP-004,"Akutan, City of"
331050,AK-OP-005,Alaska Power & Telephone Company
331060,AK-OP-005,Alaska Power & Telephone Company
331070,AK-OP-005,Alaska Power & Telephone Company
331080,AK-OP-005,Alaska Power & Telephone Company
331090,AK-OP-005,Alaska Power & Telephone Company
331100,AK-OP-005,Alaska Power & Telephone Company
331110,AK-OP-005,Alaska Power & Telephone Company
331120,AK-OP-005,Alaska Power & Telephone Company
331130,AK-OP-005,Alaska Power & Telephone Company
331140,AK-OP-005,Alaska Power & Telephone Company
331150,AK-OP-005,Alaska Power & Telephone Company
331155,AK-OP-005,Alaska Power & Telephone Company
331160,AK-OP-005,Alaska Power & Telephone Company
331170,AK-OP-005,Alaska Power & Telephone Company
331180,AK-OP-005,Alaska Power & Telephone Company
331190,AK-OP-005,Alaska Power & Telephone Company
331195,AK-OP-005,Alaska Power & Telephone Company
331200,AK-OP-005,Alaska Power & Telephone Company
331210,AK-OP-005,Alaska Power & Telephone Company
331220,AK-OP-005,Alaska Power & Telephone Company
331230,AK-OP-005,Alaska Power & Telephone Company
332010,AK-OP-005,Alaska Power & Telephone Company
331240,AK-OP-006,Alaska Village Electric Cooperative
331250,AK-OP-006,Alaska Village Electric Cooperative
331260,AK-OP-006,Alaska Village Electric Cooperative
331270,AK-OP-006,Alaska Village Electric Cooperative
331280,AK-OP-006,Alaska Village Electric Cooperative
331290,AK-OP-006,Alaska Village Electric Cooperative
331300,AK-OP-006,Alaska Village Electric Cooperative
331310,AK-OP-006,Alaska Village Electric Cooperative
331320,AK-OP-006,Alaska Village Electric Cooperative
331330,AK-OP-006,Alaska Village Electric Cooperative
331340,AK-OP-006,Alaska Village Electric Cooperative
331350,AK-OP-006,Alaska Village Electric Cooperative
331360,AK-OP-006,Alaska Village Electric Cooperative
331370,AK-OP-006,Alaska Village Electric Cooperative
331380,AK-OP-006,Alaska Village Electric Cooperative
331390,AK-OP-006,Alaska Village Electric Cooperative
331400,AK-OP-006,Alaska Village Electric Cooperative
331410,AK-OP-006,Alaska Village Electric Cooperative
331420,AK-OP-006,Alaska Village Electric Cooperative
331430,AK-OP-006,Alaska Village Electric Cooperative
331440,AK-OP-006,Alaska Village Electric Cooperative
331450,AK-OP-006,Alaska Village Electric Cooperative
331460,AK-OP-006,Alaska Village Electric Cooperative
331470,AK-OP-006,Alaska Village Electric Cooperative
331480,AK-OP-006,Alaska Village Electric Cooperative
331490,AK-OP-006,Alaska Village Electric Cooperative
331500,AK-OP-006,Alaska Village Electric Cooperative
331510,AK-OP-006,Alaska Village Electric Cooperative
331520,AK-OP-006,Alaska Village Electric Cooperative
331530,AK-OP-006,Alaska Village Electric Cooperative
331540,AK-OP-006,Alaska Village Electric Cooperative
331550,AK-OP-006,Alaska Village Electric Cooperative
331560,AK-OP-006,Alaska Village Electric Cooperative
331570,AK-OP-006,Alaska Village Electric Cooperative
331580,AK-OP-006,Alaska Village Electric Cooperative
331590,AK-OP-006,Alaska Village Electric Cooperative
331600,AK-OP-006,Alaska Village Electric Cooperative
331610,AK-OP-006,Alaska Village Electric Cooperative
331620,AK-OP-006,Alaska Village Electric Cooperative
331630,AK-OP-006,Alaska Village Electric Cooperative
331640,AK-OP-006,Alaska Village Electric Cooperative
331650,AK-OP-006,Alaska Village Electric Cooperative
331660,AK-OP-006,Alaska Village Electric Cooperative
331670,AK-OP-006,Alaska Village Electric Cooperative
331680,AK-OP-006,Alaska Village Electric Cooperative
331685,AK-OP-006,Alaska Village Electric Cooperative
331690,AK-OP-006,Alaska Village Electric Cooperative
331700,AK-OP-006,Alaska Village Electric Cooperative
331710,AK-OP-006,Alaska Village Electric Cooperative
331720,AK-OP-006,Alaska Village Electric Cooperative
331730,AK-OP-006,Alaska Village Electric Cooperative
331800,AK-OP-006,Alaska Village Electric Cooperative
331950,AK-OP-006,Alaska Village Electric Cooperative
332090,AK-OP-006,Alaska Village Electric Cooperative
332120,AK-OP-006,Alaska Village Electric Cooperative
332730,AK-OP-006,Alaska Village Electric Cooperative
332900,AK-OP-006,Alaska Village Electric Cooperative
331740,AK-OP-007,Alutiiq Power Company
331760,AK-OP-009,Aniak Light & Power
331770,AK-OP-010,Arctic Village Electric Company
331750,AK-OP-011,"Atka, City of"
331780,AK-OP-012,Atmautluak Tribal Utilities
331790,AK-OP-013,Beaver Joint Utilities
331810,AK-OP-015,Birch Creek Electric Company
331820,AK-OP-016,"Buckland, City of"
331840,AK-OP-019,Chalkyitsik Village Council
331850,AK-OP-020,Chenega Ira Council
331870,AK-OP-023,Chignik Lagoon Power Utility
331880,AK-OP-022,Chignik Lake Electric Utility
331860,AK-OP-021,"Chignik, City of"
331890,AK-OP-024,Chitina Electric Inc
331900,AK-OP-025,Circle Electric Utility
331910,AK-OP-026,"Clark's Point, City of"
331920,AK-OP-027,Cordova Electric Cooperative
331930,AK-OP-028,Diomede Joint Utilities
331940,AK-OP-029,Egegik Light & Power Co
331960,AK-OP-031,Elfin Cove Utility Commission
331970,AK-OP-032,"False Pass, City of"
331980,AK-OP-034,G & K Inc
331990,AK-OP-033,"Galena, City of"
331830,AK-OP-139,Gold Country Energy
332000,AK-OP-035,Golovin Power Utilities
332020,AK-OP-037,Gwitchyaa Zhee Utilities Company
332030,AK-OP-038,Hughes Power & Light
332050,AK-OP-040,"I-N-N Electric Coop, Inc"
332040,AK-OP-039,Igiugig Electric Company
332650,AK-OP-041,Inside Passage Electric
332660,AK-OP-041,Inside Passage Electric
332670,AK-OP-041,Inside Passage Electric
332680,AK-OP-041,Inside Passage Electric
332690,AK-OP-041,Inside Passage Electric
332700,AK-OP-041,Inside Passage Electric
332060,AK-OP-042,Ipnatchiaq Electric Company
332070,AK-OP-043,"King Cove, City of"
332080,AK-OP-044,Kipnuk Light Plant
332100,AK-OP-046,Kokhanok Village Council
332130,AK-OP-048,Kotzebue Electric Association
332140,AK-OP-049,"Koyukuk, City of"
332150,AK-OP-050,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia
332160,AK-OP-051,Kwigillingok Power Company
332170,AK-OP-052,Larsen Bay Utility Company
332180,AK-OP-053,Levelock Electrical Coop
332190,AK-OP-054,Lime Village Electric Utility
332210,AK-OP-056,Manokotak Power Company
332220,AK-OP-057,McGrath Light & Power
332230,AK-OP-058,Middle Kuskokwim Electric
332240,AK-OP-058,Middle Kuskokwim Electric
332250,AK-OP-058,Middle Kuskokwim Electric
332260,AK-OP-058,Middle Kuskokwim Electric
332270,AK-OP-058,Middle Kuskokwim Electric
332280,AK-OP-059,Naknek Electric Association
332290,AK-OP-060,Napakiak Ircinraq
332300,AK-OP-061,Napaskiak Electric Utility
332310,AK-OP-062,Naterkaq Light Plant (City of Chefornak)
332470,AK-OP-073,Native Village of Perryville
332320,AK-OP-063,Nelson Lagoon Electrical Coop
332110,AK-OP-064,New Koliganek Village Council
332330,AK-OP-065,"Nikolai, City of"
332340,AK-OP-066,Nome Joint Utility Systems
332350,AK-OP-067,North Slope Borough Power & Light
332360,AK-OP-067,North Slope Borough Power & Light
332370,AK-OP-067,North Slope Borough Power & Light
332380,AK-OP-067,North Slope Borough Power & Light
332390,AK-OP-067,North Slope Borough Power & Light
332400,AK-OP-067,North Slope Borough Power & Light
332410,AK-OP-067,North Slope Borough Power & Light
332420,AK-OP-068,Nunam Iqua Electric Company
332430,AK-OP-069,Nushagak Electric Cooperative
332440,AK-OP-070,"Ouzinkie, City of"
332450,AK-OP-071,Pedro Bay Village Council
332460,AK-OP-072,Pelican Utility
332480,AK-OP-074,Pilot Point Electric Utility
332490,AK-OP-076,Platinum Commercial Company LLC.
332500,AK-OP-077,Port Heiden Utilities
332510,AK-OP-078,Puvurnaq Power Company
332520,AK-OP-079,Rampart Village Council
332530,AK-OP-080,"Ruby, City of"
332550,AK-OP-082,"Saint George, City of"
332560,AK-OP-083,Saint Paul Municipal Electric
332540,AK-OP-089,"Sand Point Generating, LLC"
332570,AK-OP-081,Stevens Village Ira Council
331005,AK-OP-088,TDX Adak Generating LLC
332200,AK-OP-090,TDX Manley Generating LLC
332580,AK-OP-084,Takotna Community Assoc Inc
332590,AK-OP-085,Tanalian Electric Cooperative
332600,AK-OP-086,Tanana Power Company Inc
332610,AK-OP-087,Tatitlek Village Ira Council
332630,AK-OP-092,"Tenakee Springs, City of"
332710,AK-OP-093,Tuluksak Traditional
332720,AK-OP-094,Tuntutuliak Community
332740,AK-OP-096,Umnak Power Company
332850,AK-OP-098,Unalakleet Valley Electric Cooperative
332860,AK-OP-097,"Unalaska, City of"
332870,AK-OP-099,Ungusraq Power Company
332880,AK-OP-100,Venetie Village Electric
332890,AK-OP-101,"White Mountain, City of"
