identifier,project_code,stage_code,line_no,sales_reporter_id,sales_reporting_name,ak_operator_id,operator_name,plant_id,plant_name,intertie_id,intertie_name,utility,community,amount,purchased_from,purchased_from_2,powerhouse_consumption_kwh,peak_consumption_kw,residential_sold_to,commercial_sold_to,com_facil_sold_to,govt_facil_sold_to,unbilled_sold_to,most_recent_fuel_purch_price,non_fuel_expenses,fuel_cost,total_kwh_purchased,total_kwh_purchased_2,residential_customers,commercial_customers,com_facil_customers,govt_facil_customers,unbilled_customers,other_customers,other_customers_description,hydro_kwh_generated,natural_gas_kwh_generated,wind_kwh_generated,solar_kwh_generated,other_kwh_generated,calendar_month,fiscal_year,calendar_year,pce_eligible_residential_kwh,pce_eligible_com_facil_kwh,pce_eligible_community_kwh,pce_eligible_total_kwh,actual_rate,pro_rata_rate,residential_rate,effective_residential_rate,residential_kwh_per_customer_per_month,pce_residential_kwh_per_customer_per_month,fuel_used_gallons,diesel_kwh_generated,diesel_efficiency,imputed_residential_rate,imputed_pro_rata_rate,imputed_effective_residential_rate,imputed_most_recent_fuel_purch_price,imputed_fuel_used_gallons,imputed_fuel_cost,imputed_non_fuel_expenses,imputed_diesel_efficiency,imputed_diesel_kwh_generated,imputed_hydro_kwh_generated,imputed_natural_gas_kwh_generated,imputed_solar_kwh_generated,imputed_other_kwh_generated,imputed_powerhouse_consumption_kwh,imputed_peak_consumption_kw,imputed_residential_sold_to,imputed_commercial_sold_to,imputed_com_facil_sold_to,imputed_govt_facil_sold_to,imputed_unbilled_sold_to,imputed_residential_customers,imputed_commercial_customers,imputed_com_facil_customers,imputed_govt_facil_customers,imputed_unbilled_customers,imputed_other_customers,imputed_total_kwh_purchased,cleaned_during_energy_statistics
A3310050317225003,331005,03,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,21508.09,NA,NA,8455,220,27523,52770,17790,19952,0,4.5943,69623.36,55917.23,0,NA,94,70,7,19,0,0,NA,0,NA,NA,NA,NA,9,2017,2016,20587,0,12110,32697,0.6578,0.6578,1.1972,0.5394,292.79787234042556,219.01063829787233,12171,162607,0.07484917623472544,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050417225003,331005,04,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,21329.17,NA,NA,11807,240,25015,53726,19177,23113,0,4.5943,64171.62,54515.96,0,NA,95,69,7,19,0,0,NA,0,NA,NA,NA,NA,10,2017,2016,19444,0,12981,32425,0.6578,0.6578,1.1973,0.5395,263.3157894736842,204.67368421052632,11866,169336,0.07007369962677754,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050517225003,331005,05,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,22965.77,NA,NA,14758,225,23353,56016,23449,24489,0,4.5943,59217.99,54676.76,0,NA,94,69,7,18,0,0,NA,0,NA,NA,NA,NA,11,2017,2016,18792,0,16121,34913,0.6578,0.6578,1.1972,0.5394,248.43617021276592,199.91489361702128,11901,174305,0.0682768710019793,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050617225003,331005,06,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,18120.45,NA,NA,15548,236,20472,38322,24513,25504,0,4.3608,56896.48,52826.73,0,NA,94,68,7,18,0,0,NA,0,NA,NA,NA,NA,12,2017,2016,16761,0,17741,34502,0.5252,0.5252,1.1022,0.5770000000000001,217.7872340425532,178.30851063829786,12114,172579,0.07019394016653242,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050717225003,331005,07,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,18653.53,NA,NA,21400,234,19829,30995,27454,22508,0,4.3608,64843.12,53698.89,0,NA,94,67,7,18,0,0,NA,0,NA,NA,NA,NA,1,2017,2017,16267,0,19250,35517,0.5252,0.5252,1.0576,0.5324000000000001,210.9468085106383,173.0531914893617,12314,174358,0.07062480643274183,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050817225003,331005,08,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,18239.67,NA,NA,22851,255,19766,31470,32050,27253,0,4.361,49785.35,54106.93,0,NA,94,68,7,18,0,0,NA,0,NA,NA,NA,NA,2,2017,2017,15829,0,18900,34729,0.5252,0.5252,1.1022,0.5770000000000001,210.2765957446809,168.39361702127658,12407,184132,0.06738100927595421,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050917225003,331005,09,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,11575.2,NA,NA,19256,250,17014,28035,22983,20710,0,3.8105,53406.61,40334.14,0,NA,94,67,7,18,0,0,NA,0,NA,NA,NA,NA,3,2017,2017,13959,0,17199,31158,0.3715,0.3715,0.9404,0.5689,181,148.5,10585,153737,0.0688513500328483,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310051017225003,331005,10,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,8056.72,NA,NA,23205,292,18000,34818,11325,20344,0,3.8105,36011.61,44720.03,0,NA,92,68,7,18,0,0,NA,0,NA,NA,NA,NA,4,2017,2017,15002,0,6685,21687,0.3715,0.3715,0.9403,0.5688,195.65217391304347,163.06521739130434,11736,168289,0.06973717830636583,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310051117225003,331005,11,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,9311.65,NA,NA,21778,234,17611,40748,15572,20113,0,3.8105,61386.31,49631.76,0,NA,93,68,7,18,0,0,NA,0,NA,NA,NA,NA,5,2017,2017,14833,0,10232,25065,0.3715,0.3715,0.9401,0.5686,189.36559139784947,159.49462365591398,13025,174358,0.07470262333818924,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310051217225003,331005,12,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,11263.49,NA,NA,18696,268,17901,42066,13887,17547,0,3.8197,43801.41,46546.86,0,NA,93,68,7,18,0,0,NA,0,NA,NA,NA,NA,6,2017,2017,14736,0,8897,23633,0.4766,0.4766,1.0598,0.5832,192.48387096774192,158.4516129032258,12186,161588,0.07541401589226923,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050118225003,331005,01,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,11527.05,NA,NA,18948,257,19131,55333,12978,17889,0,3.8197,67510.82,52421.56,0,NA,93,68,7,18,0,0,NA,0,NA,NA,NA,NA,7,2018,2017,15577,0,8609,24186,0.4766,0.4766,1.06,0.5834,205.70967741935485,167.49462365591398,13724,154956,0.08856707710575905,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050218225003,331005,02,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,12183.33,NA,NA,19139,262,23175,52920,12113,16622,0,3.8197,48531.44,51879.17,0,NA,93,72,7,18,0,0,NA,0,NA,NA,NA,NA,8,2018,2017,17808,0,7755,25563,0.4766,0.4766,1.0156,0.539,249.19354838709677,191.48387096774192,13582,154405,0.08796347268547003,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050318225003,331005,03,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,12787.03,NA,NA,19972,248,20692,33123,16476,16726,0,3.82,68484.77,48674.44,0,NA,94,68,7,18,0,0,NA,0,NA,NA,NA,NA,9,2018,2017,16588,0,10124,26712,0.4787,0.4787,1.0189,0.5401999999999999,220.12765957446808,176.46808510638297,12742,149661,0.0851390809897034,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050418225003,331005,04,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,12334.18,NA,NA,23670,300,22824,43661,18115,19885,0,3.82,42374.29,55435.84,0,NA,110,68,7,18,0,0,NA,0,NA,NA,NA,NA,10,2018,2017,13519,0,12247,25766,0.4787,0.4787,1.1654,0.6867,207.4909090909091,122.9,14512,173039,0.08386548697114524,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050518225003,331005,05,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,13044.1,NA,NA,23777,278,22456,45099,19538,19713,0,3.82,39163.92,55745.26,0,NA,96,71,7,18,0,0,NA,0,NA,NA,NA,NA,11,2018,2017,14045,0,13204,27249,0.4787,0.4787,1.165,0.6863,233.91666666666663,146.30208333333334,14593,173161,0.08427417259082588,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050618225003,331005,06,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,19404.94,NA,NA,25720,310,23388,25571,20020,24154,0,3.82,92540.55,52494.44,0,NA,114,74,7,18,0,0,NA,0,NA,NA,NA,NA,12,2018,2017,14170,0,13386,27556,0.7042,0.7042,1.4029,0.6987,205.1578947368421,124.29824561403508,13742,165732,0.08291699852774359,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050718225003,331005,07,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,18854.96,NA,NA,26798,263,28271,26971,18320,24585,0,3.82,67946.27,55496.96,0,NA,117,74,7,18,0,0,NA,0,NA,NA,NA,NA,1,2018,2018,14821,0,11954,26775,0.7042,0.7042,1.4027,0.6985,241.63247863247864,126.67521367521368,14528,170496,0.0852102102102102,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050818225003,331005,08,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,20661.23,NA,NA,27991,301,30515,47592,21809,24857,0,3.82,56087.94,60023.66,0,NA,116,74,7,17,0,0,NA,0,NA,NA,NA,NA,2,2018,2018,13965,0,15375,29340,0.7042,0.7042,1.4027,0.6985,263.0603448275862,120.38793103448276,15713,190529,0.08247038508573498,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050918225003,331005,09,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,21636.64,NA,NA,24442,302,31411,29620,21266,18904,0,3.82,152725.34,47891.34,0,NA,126,72,7,17,0,0,NA,0,NA,NA,NA,NA,3,2018,2018,12717,0,14916,27633,0.783,0.783,1.618,0.8350000000000001,249.2936507936508,100.92857142857144,12537,174432,0.07187328013208585,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310051018225003,331005,10,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,24059.24,NA,NA,25349,295,24653,40803,24024,21420,0,3.82,859414.35,50416.36,0,NA,117,115,7,0,0,0,NA,0,NA,NA,NA,NA,4,2018,2018,14829,0,15898,30727,0.783,0.783,1.529,0.7459999999999999,210.7094017094017,126.74358974358974,13198,186807,0.07065045742397233,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310051118225003,331005,11,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,19310.35,NA,NA,24377,293,16254,45902,19325,16034,0,3.82,62021.02,48429.96,0,NA,98,103,7,17,0,0,NA,0,NA,NA,NA,NA,5,2018,2018,11386,0,13224,24610,0.783,0.783,1.5292,0.7461999999999999,165.85714285714286,116.18367346938776,12678,159048,0.07971178512147277,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310051218225003,331005,12,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,16416.37,NA,NA,23533,294,17909,52254,16942,16275,0,4.13,69019.47,52042.13,0,NA,101,104,7,17,0,0,NA,0,NA,NA,NA,NA,6,2018,2018,11620,0,10957,22577,0.7204,0.7204,1.4341,0.7136999999999999,177.31683168316832,115.04950495049503,12601,164924,0.07640488952487207,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
