identifier,project_code,stage_code,line_no,sales_reporter_id,sales_reporting_name,ak_operator_id,operator_name,plant_id,plant_name,intertie_id,intertie_name,utility,community,amount,purchased_from,purchased_from_2,powerhouse_consumption_kwh,peak_consumption_kw,residential_sold_to,commercial_sold_to,com_facil_sold_to,govt_facil_sold_to,unbilled_sold_to,most_recent_fuel_purch_price,non_fuel_expenses,fuel_cost,total_kwh_purchased,total_kwh_purchased_2,residential_customers,commercial_customers,com_facil_customers,govt_facil_customers,unbilled_customers,other_customers,other_customers_description,hydro_kwh_generated,natural_gas_kwh_generated,wind_kwh_generated,solar_kwh_generated,other_kwh_generated,calendar_month,fiscal_year,calendar_year,pce_eligible_residential_kwh,pce_eligible_com_facil_kwh,pce_eligible_community_kwh,pce_eligible_total_kwh,actual_rate,pro_rata_rate,residential_rate,effective_residential_rate,residential_kwh_per_customer_per_month,pce_residential_kwh_per_customer_per_month,fuel_used_gallons,diesel_kwh_generated,diesel_efficiency,imputed_residential_rate,imputed_pro_rata_rate,imputed_effective_residential_rate,imputed_most_recent_fuel_purch_price,imputed_fuel_used_gallons,imputed_fuel_cost,imputed_non_fuel_expenses,imputed_diesel_efficiency,imputed_diesel_kwh_generated,imputed_hydro_kwh_generated,imputed_natural_gas_kwh_generated,imputed_solar_kwh_generated,imputed_other_kwh_generated,imputed_powerhouse_consumption_kwh,imputed_peak_consumption_kw,imputed_residential_sold_to,imputed_commercial_sold_to,imputed_com_facil_sold_to,imputed_govt_facil_sold_to,imputed_unbilled_sold_to,imputed_residential_customers,imputed_commercial_customers,imputed_com_facil_customers,imputed_govt_facil_customers,imputed_unbilled_customers,imputed_other_customers,imputed_total_kwh_purchased,cleaned_during_energy_statistics
A3310050516225003,331005,05,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,25941.47,NA,NA,13240,272,22747,42164,20631,22191,0,5.27,96638.99,72104.14,0,NA,85,74,7,18,0,0,NA,0,NA,NA,NA,NA,11,2016,2015,18036,0,14403,32439,0.7997,0.7997,1.5934,0.7937,267.61176470588236,212.18823529411765,13682,169274,0.08082753405720902,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050616225003,331005,06,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,18181.63,NA,NA,13080,319,23562,39065,22605,25875,0,4.63,60045.63,65713.59,0,NA,85,75,7,18,0,0,NA,0,NA,NA,NA,NA,12,2016,2015,18021,0,15957,33978,0.5351,0.5351,1.104,0.5689000000000001,277.2,212.0117647058823,14193,174541,0.08131613775559897,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050716225003,331005,07,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,19506,NA,NA,13640,257,24279,42288,25542,22150,0,4.63,61311.76,66033.06,0,NA,88,74,7,18,0,0,NA,0,NA,NA,NA,NA,1,2016,2016,19163,0,17290,36453,0.5351,0.5351,1.1041,0.5690000000000001,275.89772727272725,217.76136363636363,14262,163117,0.08743417301691424,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050816225003,331005,08,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,19250.22,NA,NA,13440,235,27275,37693,23340,22124,0,4.63,64229.13,67116.48,0,NA,90,72,7,18,0,0,NA,0,NA,NA,NA,NA,2,2016,2016,19451,0,16524,35975,0.5351,0.5351,1.1041,0.5690000000000001,303.05555555555554,216.12222222222223,14496,161351,0.08984140166469375,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050916225003,331005,09,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,26103.66,NA,NA,12480,236,23837,37235,25020,21529,0,4.62,75407.24,61547.64,0,NA,91,70,7,18,0,0,NA,0,NA,NA,NA,NA,3,2016,2016,18100,0,17290,35390,0.7376,0.7376,1.3173,0.5796999999999999,261.94505494505495,198.9010989010989,13322,158198,0.08421092554899556,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310051016225003,331005,10,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,26689.32,NA,NA,14000,312,27317,45816,23329,22382,0,4.62,56814.72,70450.38,0,NA,92,70,7,18,0,0,NA,0,NA,NA,NA,NA,4,2016,2016,19723,0,16461,36184,0.7376,0.7376,1.3173,0.5796999999999999,296.92391304347825,214.3804347826087,15249,184816,0.08250909012206735,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310051116225003,331005,11,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,23859.15,NA,NA,13240,280,23739,55824,19964,17211,0,4.62,68932.11,63146.16,0,NA,92,70,7,18,0,0,NA,0,NA,NA,NA,NA,5,2016,2016,18375,0,13972,32347,0.7376,0.7376,1.3173,0.5796999999999999,258.0326086956522,199.7282608695652,13668,163825,0.0834304898519762,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310051216225003,331005,12,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,22600.5,NA,NA,14120,300,22966,58305,18187,19879,0,4.62,58480.2,66495.66,0,NA,96,70,7,19,0,0,NA,0,NA,NA,NA,NA,6,2016,2016,18048,0,12827,30875,0.732,0.732,1.2754,0.5434000000000001,239.22916666666663,188,14393,164907,0.08727949692857186,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050117225003,331005,01,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,20106.58,NA,NA,11160,185,21111,50974,14292,17009,0,4.62,83662.85,60055.38,0,NA,96,70,7,19,0,0,NA,0,NA,NA,NA,NA,7,2017,2016,17584,0,9884,27468,0.732,0.732,1.2754,0.5434000000000001,219.90625,183.16666666666663,12999,132812,0.09787519200072282,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
A3310050217225003,331005,02,0,SR-11,Adak,AK-OP-088,TDX Adak Generating LLC,P251,Adak,186-0000,Adak_grid,TDX ADAK GENERATING LLC,ADAK,23079.23,NA,NA,8720,240,26398,51988,16511,17978,0,4.62,81686.22,55024.2,0,NA,94,70,7,19,0,0,NA,0,NA,NA,NA,NA,8,2017,2016,20574,0,10955,31529,0.732,0.732,1.2754,0.5434000000000001,280.82978723404256,218.87234042553192,11910,169941,0.07008314650378661,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
