identifier,line_no,utility,community,amount,purchased_from,powerhouse_consumption_kwh,peak_consumption_kw,residential_sold_to,commercial_sold_to,com_facil_sold_to,govt_facil_sold_to,unbilled_sold_to,most_recent_fuel_purch_price,fuel_used_gallons,non_fuel_expenses,fuel_cost,total_kwh_purchased,residential_customers,commercial_customers,com_facil_customers,govt_facil_customers,unbilled_customers,other_customers,other_customers_description,diesel_kwh_generated,hydro_kwh_generated,other_1_kwh_type,other_1_kwh_generated,other_2_kwh_type,other_2_kwh_generated,umr_month,fiscal_year,calendar_year
A3317200116225003,0,ALASKA VILLAGE ELECTRIC COOP,Upper Kalskag,7509.87,NA,2351,0,23552,12891,325,8570,0,3.9766,6438,0,22390.72,0,59,21,2,9,0,0,NA,86495,0,NA,0,NA,0,July,2016,2015
A3317300116225003,0,ALASKA VILLAGE ELECTRIC COOP,Wales,8373.68,NA,1884,0,12962,10225,6157,7322,0,4.327,3879,0,16784.43,0,46,15,6,10,0,0,NA,42047,0,NA,0,NA,0,July,2016,2015
A3317000116225003,0,ALASKA VILLAGE ELECTRIC COOP,Toksook Bay,21918.42,NA,9015,0,51147,23532,20212,17248,0,3.9641,15171,0,53688.65,0,131,25,12,9,0,0,NA,206284,0,wind,28863,NA,0,July,2016,2015
A3317400116225003,0,ALUTIIQ POWER COMPANY - See KARLITC,Karluk,2900.85,NA,189,35,3932,7089,2460,0,0,4.4584,1487,9499.95,6629.64,0,15,9,4,1,2,0,NA,14657,0,NA,0,NA,0,July,2016,2015
A3318000116225003,0,ALASKA VILLAGE ELECTRIC COOP,Bethel; Oscarville,191988.44,NA,80574,0,705029,1713535,85231,385783,0,4.4493,232419,0,857323.97,0,1839,782,25,89,0,0,NA,3173000,0,NA,0,NA,0,July,2016,2015
A3318200116225003,0,CITY OF BUCKLAND,Buckland,10113.21,NA,2529,234,45111,38475,7649,0,362,4.5624,6806,3679.03,31051.69,0,98,17,10,0,2,0,NA,94036,0,wind,3195,NA,0,July,2016,2015
A3319500116225003,0,ALASKA VILLAGE ELECTRIC COOP,Ekwok,7389.12,NA,2071,0,17453,7202,1661,4567,0,4.0425,2871,0,10881.09,0,51,18,6,3,0,0,NA,35562,0,NA,0,NA,0,July,2016,2015
A3319900116225003,0,CITY OF GALENA,Galena,26076.21,NA,17382,602,57717,137183,29626,33997,0,3.6505,24973,94477.57,91163.94,0,186,116,9,42,0,0,NA,342920,0,NA,0,NA,0,July,2016,2015
A3320300116225003,0,HUGHES POWER & LIGHT,Hughes,9431.82,NA,3832,132,14206,7445,5314,243,0,5.0602,2818,2035.55,14259.64,0,37,11,3,2,0,0,NA,30596,0,NA,0,NA,0,July,2016,2015
A3320500116225003,0,ILIAMNA NEWHALEN NONDALTON,Iliamna; Newhalen; Nondalton,14766.41,NA,28006,545,59016,92174,20477,20503,0,4.6716,0,83676.23,0,0,188,96,15,9,0,0,NA,0,244433,NA,0,NA,0,July,2016,2015
A3320700116225003,0,CITY OF KING COVE,King Cove,6486.19,NA,4607,759,77973,89658,137213,2959,0,3.4205,1630,0,5575.42,0,191,201,32,6,0,0,NA,23000,328000,NA,0,NA,0,July,2016,2015
A3321100116225003,0,NEW KOLIGANEK VILLAGE COUNCIL,Koliganek,8407.25,NA,3363,140,25526,3733,5895,9790,0,4.0583,5652,0,22937.51,0,67,6,10,13,0,0,NA,50344,0,NA,0,NA,0,July,2016,2015
A3321200116225003,0,ALASKA VILLAGE ELECTRIC COOP,Kotlik,20416.25,NA,3987,0,43509,35075,11648,30927,0,4.0191,9580,0,38502.98,0,127,20,10,17,0,0,NA,135235,0,NA,0,NA,0,July,2016,2015
A3321900116225003,0,LIME VILLAGE ELECTRIC UTILITY,Lime Village,1250.73,NA,451,19,1717,1067,216,7,0,6.5996,564,1116,3722.17,0,17,1,5,1,0,0,NA,5216,0,NA,0,NA,0,July,2016,2015
A3322100116225003,0,MANOKOTAK POWER COMPANY,Manokotak,9523.33,NA,0,0,44814,17268,6024,11945,4179,3.464,7511,4807.56,26018.1,0,146,27,6,7,5,0,NA,122728,0,NA,0,NA,0,July,2016,2015
A3323000116225003,0,NAPASKIAK ELECTRIC UTILITY,Napaskiak,12197.52,NA,4246,177,35267,21366,1745,837,2865,4.0495,6908,0,27973.95,0,111,17,8,3,10,0,NA,79005,0,NA,0,NA,0,July,2016,2015
A3323100116225003,0,NATERKAQ LIGHT PLANT,Chefornak,9284.92,NA,3047,231,33821,12506,6253,28881,1042,4.5243,7493,25721.19,33900.58,0,115,11,19,15,5,0,NA,94004,0,NA,0,NA,0,July,2016,2015
A3324200116225003,0,NUNAM IQUA ELECTRIC COMPANY,Nunam Iqua,6124.55,NA,1735,106,13918,24005,10151,2110,350,3.96,4773,8519.14,18901.08,0,41,4,3,6,2,0,NA,55352,0,NA,0,NA,0,July,2016,2015
A3324500116225003,0,PEDRO BAY VILLAGE COUNCIL,Pedro Bay,2943.2,NA,1153,63,6444,9565,1401,335,0,4.3157,1978,2343.83,8536.45,0,23,11,5,1,0,0,NA,20413,0,NA,0,NA,0,July,2016,2015
A3324700116225003,0,NATIVE VILLAGE OF PERRYVILLE,Perryville,2093.5,NA,549,0,7147,15285,0,250,806,4.0999,1063,1621.02,4358.19,0,45,10,6,3,2,0,NA,39760,0,wind,714,solar,163,July,2016,2015
A3310200116225003,0,AKIACHAK NATIVE COMMUNITY,Akiachak,22090.16,NA,3900,325,47764,11593,14865,27881,7615,3.7826,10013,109436.2,37875.17,0,184,16,11,17,4,0,NA,127341,0,NA,0,NA,0,July,2016,2015
A3310900116225003,0,ALASKA POWER & TELEPHONE,Craig,8338.51,BLACK BEAR LAKE / SOUTH FORK,13486,5107,262355,795804,107988,34760,0,3.21,45332,0,145515.72,1948948,661,297,46,23,0,0,NA,648599,0,NA,0,NA,0,July,2016,2015
A3311100116225003,0,ALASKA POWER & TELEPHONE,Eagle; Eagle Village,9296.73,NA,344,108,25678,12661,389,7684,0,3.15,4040,0,12726,0,134,19,7,18,0,0,NA,52080,0,solar,3037,NA,0,July,2016,2015
A3311200116225003,0,ALASKA POWER & TELEPHONE,Haines; Covenant Life,12963.76,GOAT LAKE/KASIDAYA/IPEC/LUTAK,14800,2053,391783,392600,70071,72785,0,3.52,1137,0,4002.24,1039145,1106,338,33,29,0,0,NA,15120,0,NA,0,NA,0,July,2016,2015
A3312400116225003,0,ALASKA VILLAGE ELECTRIC COOP,Alakanuk,26194.86,NA,2615,0,54266,18042,15045,49130,0,4.0189,11377,0,36011.62,0,164,17,10,8,0,0,NA,151179,0,NA,0,NA,0,July,2016,2015
A3312500116225003,0,ALASKA VILLAGE ELECTRIC COOP,Ambler,19214.9,NA,2318,0,35377,12461,13622,14720,0,5.4374,6300,0,25257.96,0,83,12,13,8,0,0,NA,83518,0,NA,0,NA,0,July,2016,2015
A3312600116225003,0,ALASKA VILLAGE ELECTRIC COOP,Anvik,6311.77,NA,1250,0,10803,6192,4177,4403,0,3.73,2526,0,9421.98,0,41,10,8,12,0,0,NA,28332,0,NA,0,NA,0,July,2016,2015
A3312700116225003,0,ALASKA VILLAGE ELECTRIC COOP,Brevig Mission,14906.09,NA,3070,0,31701,7017,11645,19809,0,3.8365,5529,0,21212.01,0,83,9,10,15,0,0,NA,74619,0,NA,0,NA,0,July,2016,2015
A3312800116225003,0,ALASKA VILLAGE ELECTRIC COOP,Chevak,24300.02,NA,7534,0,62549,31280,17010,34259,0,3.8763,9847,0,38170.91,0,202,20,11,21,0,0,NA,128632,0,wind,33787,NA,0,July,2016,2015
A3312900116225003,0,ALASKA VILLAGE ELECTRIC COOP,Eek,14390.03,NA,1128,0,29030,13197,5833,7352,0,4.0525,4756,0,15759.96,0,105,14,9,9,0,0,NA,59900,0,NA,0,NA,0,July,2016,2015
A3313000116225003,0,ALASKA VILLAGE ELECTRIC COOP,Elim,15895.06,NA,1384,0,35530,29466,8299,16296,0,4.0779,6659,0,27154.07,0,92,17,9,19,0,0,NA,95208,0,NA,0,NA,0,July,2016,2015
A3313100116225003,0,ALASKA VILLAGE ELECTRIC COOP,Emmonak,44876.12,NA,6152,0,75642,191364,58870,38137,0,3.9997,28579,0,93873.44,0,203,50,11,30,0,0,NA,372836,0,wind,0,NA,0,July,2016,2015
A3313200116225003,0,ALASKA VILLAGE ELECTRIC COOP,Gambell,19284.35,NA,4681,0,49857,26630,10637,22648,0,4.0461,7427,0,26840.44,0,162,18,11,29,0,0,NA,100980,0,wind,21415,NA,0,July,2016,2015
A3313300116225003,0,ALASKA VILLAGE ELECTRIC COOP,Goodnews Bay,10933.92,NA,1670,0,23177,7075,3978,3163,0,4.0056,3435,0,12442.94,0,77,7,10,7,0,0,NA,41097,0,NA,0,NA,0,July,2016,2015
A3313400116225003,0,ALASKA VILLAGE ELECTRIC COOP,Grayling,9109.74,NA,2614,0,17671,8253,7077,3944,0,3.7478,3327,0,12469.26,0,63,6,10,5,0,0,NA,41953,0,NA,0,NA,0,July,2016,2015
A3313500116225003,0,ALASKA VILLAGE ELECTRIC COOP,Holy Cross,8490.17,NA,2440,0,19506,5243,5192,5334,0,3.7312,3111,0,9214.78,0,74,6,12,9,0,0,NA,38656,0,NA,0,NA,0,July,2016,2015
A3313600116225003,0,ALASKA VILLAGE ELECTRIC COOP,Hooper Bay,31391.12,NA,5116,0,72292,67860,17945,35520,0,4.066,15323,0,48583.1,0,254,40,12,30,0,0,NA,210424,0,wind,1158,NA,0,July,2016,2015
A3313700116225003,0,ALASKA VILLAGE ELECTRIC COOP,Huslia,14643.64,NA,2822,0,39767,2867,5529,10965,0,3.9264,4710,0,17070.45,0,103,8,16,12,0,0,NA,63751,0,NA,0,NA,0,July,2016,2015
A3313800116225003,0,ALASKA VILLAGE ELECTRIC COOP,Kaltag,8222.92,NA,1047,0,18721,6244,2882,16563,0,3.6607,3827,0,14009.88,0,69,10,10,14,0,0,NA,48699,0,solar,1030,NA,0,July,2016,2015
A3313900116225003,0,ALASKA VILLAGE ELECTRIC COOP,Kasigluk,23157.74,NA,11113,0,52120,18806,21689,18258,0,4.0216,13982,0,50547.73,0,118,16,9,14,0,0,NA,184982,0,wind,17913,NA,0,July,2016,2015
A3314000116225003,0,ALASKA VILLAGE ELECTRIC COOP,Kiana,22725.28,NA,2995,0,46685,17754,13132,12202,0,4.3233,7692,0,26762.78,0,123,13,12,6,0,0,NA,98978,0,NA,0,NA,0,July,2016,2015
A3314100116225003,0,ALASKA VILLAGE ELECTRIC COOP,Kivalina,15541.37,NA,4019,0,35332,8516,5994,14831,0,4.325,5656,0,24462.2,0,86,8,10,6,0,0,NA,74919,0,NA,0,NA,0,July,2016,2015
A3314200116225003,0,ALASKA VILLAGE ELECTRIC COOP,Koyuk,13062.62,NA,1241,0,29482,20233,7228,18512,0,4.0984,5642,0,23123.17,0,86,12,9,18,0,0,NA,79800,0,NA,0,NA,0,July,2016,2015
A3314400116225003,0,ALASKA VILLAGE ELECTRIC COOP,Marshall,17789.2,NA,3472,0,41674,18994,9187,27336,0,3.7249,7656,0,28517.83,0,112,20,15,8,0,0,NA,103288,0,NA,0,NA,0,July,2016,2015
A3314500116225003,0,ALASKA VILLAGE ELECTRIC COOP,Mekoryuk,9569.33,NA,3959,0,21733,10576,5217,10224,0,4.0187,3652,0,12815.6,0,85,17,11,11,0,0,NA,48992,0,wind,6429,NA,0,July,2016,2015
